date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason,gap_atr,mode
2023-09-29,-1,2023-09-29 09:35:00-04:00,2023-09-29 13:05:00-04:00,361.56,358.04,3.519999999999982,2.5874999999999773,1.3603864734299567,349.9999999999982,target,0.6743961352657017,fill
2023-10-06,1,2023-10-06 09:35:00-04:00,2023-10-06 10:30:00-04:00,356.38,358.67,2.2900000000000205,2.7407142857143185,0.8355486056815195,227.00000000000205,target,-0.5491269220745448,fill
2023-10-17,1,2023-10-17 09:35:00-04:00,2023-10-17 12:00:00-04:00,365.5,369.49,3.990000000000009,3.081428571428603,1.2948539638386545,397.0000000000009,target,-0.5955030134446005,fill
2023-11-02,-1,2023-11-02 09:35:00-04:00,2023-11-02 15:55:00-04:00,361.35,363.45,-2.099999999999966,3.174285714285702,-0.6615661566156534,-211.9999999999966,time,0.7025202520252092,fill
2023-11-14,-1,2023-11-14 09:35:00-05:00,2023-11-14 15:55:00-05:00,383.90000000000003,385.33,-1.42999999999995,2.8042857142856974,-0.5099337748344224,-144.999999999995,time,1.1500254712175242,fill
2023-11-29,-1,2023-11-29 09:35:00-05:00,2023-11-29 11:25:00-05:00,393.66,390.2,3.4600000000000364,2.2189285714285916,1.5593111218413027,344.00000000000364,target,0.5588282633188522,fill
2023-12-04,1,2023-12-04 09:35:00-05:00,2023-12-04 10:20:00-05:00,386.40999999999997,384.1475,-2.2624999999999886,2.2524999999999977,-1.0044395116537141,-228.24999999999886,stop,-0.8612652608213213,fill
2023-12-06,-1,2023-12-06 09:35:00-05:00,2023-12-06 10:20:00-05:00,388.66,387.29,1.3700000000000045,2.2524999999999977,0.608213096559381,135.00000000000045,target,0.6592674805771299,fill
2023-12-07,-1,2023-12-07 09:35:00-05:00,2023-12-07 12:20:00-05:00,388.78000000000003,390.92357142857145,-2.14357142857142,2.133571428571429,-1.0046869768998954,-216.35714285714198,stop,0.7124204887847385,fill
2023-12-21,-1,2023-12-21 09:35:00-05:00,2023-12-21 15:55:00-05:00,407.29,407.8,-0.5099999999999909,2.45214285714286,-0.20798135741333715,-52.99999999999909,time,0.8339644625691747,fill
2024-01-02,1,2024-01-02 09:35:00-05:00,2024-01-02 09:45:00-05:00,405.09999999999997,403.0875,-2.0124999999999886,2.0024999999999977,-1.0049937578027421,-203.24999999999886,stop,-0.9038701622971279,fill
2024-01-03,1,2024-01-03 09:35:00-05:00,2024-01-03 15:55:00-05:00,399.99,398.33,-1.660000000000025,2.1796428571428805,-0.761592659347865,-168.0000000000025,time,-0.6033098476159252,fill
2024-01-09,1,2024-01-09 09:35:00-05:00,2024-01-09 11:50:00-05:00,402.93,405.01,2.079999999999984,2.2421428571428805,0.9276839757884509,205.9999999999984,target,-0.6890729531697933,fill
2024-01-17,1,2024-01-17 09:35:00-05:00,2024-01-17 15:55:00-05:00,404.65,407.19,2.5400000000000205,2.309642857142876,1.099737126952219,252.00000000000205,time,-0.7273851863305915,fill
