date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason,gap_atr,mode
2023-11-14,-1,2023-11-14 09:35:00-05:00,2023-11-14 10:30:00-05:00,446.67,449.21964285714284,-2.5496428571428282,2.5396428571428373,-1.0039375615243953,-256.9642857142828,stop,1.2009562649416439,fill
2023-12-04,1,2023-12-04 09:35:00-05:00,2023-12-04 10:50:00-05:00,456.46999999999997,454.5567857142857,-1.9132142857142753,1.9032142857142844,-1.005254269093634,-193.32142857142753,stop,-0.903734284105836,fill
2023-12-21,-1,2023-12-21 09:35:00-05:00,2023-12-21 15:55:00-05:00,471.85,472.69,-0.839999999999975,2.133571428571429,-0.39370605959155164,-85.9999999999975,time,0.7827251422832221,fill
2024-01-02,1,2024-01-02 09:35:00-05:00,2024-01-02 15:00:00-05:00,472.68,470.74142857142857,-1.9385714285714357,1.9285714285714448,-1.0051851851851805,-195.85714285714357,stop,-0.8270370370370365,fill
2024-01-17,1,2024-01-17 09:35:00-05:00,2024-01-17 15:55:00-05:00,471.31,472.27,0.9599999999999795,1.9203571428571422,0.49990701134460547,93.99999999999795,time,-0.8149525757857532,fill
2024-02-13,1,2024-02-13 09:35:00-05:00,2024-02-13 14:00:00-05:00,494.88,492.9007142857143,-1.9792857142857088,1.9692857142857179,-1.005077983315193,-199.92857142857088,stop,-1.6274936525208517,fill
2024-02-22,-1,2024-02-22 09:35:00-05:00,2024-02-22 09:50:00-05:00,503.05,505.3335714285714,-2.283571428571406,2.2735714285714153,-1.0043983663210767,-230.35714285714062,stop,1.4998429154885333,fill
2024-03-06,-1,2024-03-06 09:35:00-05:00,2024-03-06 15:55:00-05:00,510.39,509.81,0.5799999999999841,2.218214285714339,0.26147158267588416,55.99999999999841,time,0.7686362904524292,fill
2024-03-15,1,2024-03-15 09:35:00-04:00,2024-03-15 12:50:00-04:00,510.84999999999997,508.60999999999996,-2.240000000000009,2.230000000000018,-1.0044843049327312,-226.0000000000009,stop,-1.0605381165919334,fill
2024-03-18,-1,2024-03-18 09:35:00-04:00,2024-03-18 15:55:00-04:00,514.71,512.88,1.830000000000041,2.362142857142885,0.7747202902933253,181.0000000000041,time,0.903840338675533,fill
2024-04-02,1,2024-04-02 09:35:00-04:00,2024-04-02 15:55:00-04:00,517.9399999999999,518.84,0.900000000000091,2.046785714285761,0.4397138370267313,88.0000000000091,time,-0.9698132961088862,fill
2024-04-04,-1,2024-04-04 09:35:00-04:00,2024-04-04 14:15:00-04:00,523.52,519.37,4.149999999999977,2.036428571428587,2.037881445106953,412.9999999999977,target,1.0189407225534797,fill
2024-04-10,1,2024-04-10 09:35:00-04:00,2024-04-10 15:55:00-04:00,513.38,514.15,0.7699999999999818,2.203571428571422,0.34943273905996036,74.99999999999818,time,-1.3205834683954416,fill
2024-04-12,1,2024-04-12 09:35:00-04:00,2024-04-12 10:40:00-04:00,515.0,512.5942857142857,-2.405714285714339,2.395714285714348,-1.0041741204531862,-242.5714285714339,stop,-0.7617769827072087,fill
2024-04-15,-1,2024-04-15 09:35:00-04:00,2024-04-15 11:20:00-04:00,514.37,510.81,3.5600000000000023,2.6575000000000273,1.3396048918156034,354.0000000000002,target,0.8071495766698048,fill
2024-04-25,1,2024-04-25 09:35:00-04:00,2024-04-25 15:55:00-04:00,498.46999999999997,503.43,4.960000000000036,3.3178571428571217,1.4949407965554564,494.00000000000364,time,-0.9448869752421944,fill
2024-05-03,-1,2024-05-03 09:35:00-04:00,2024-05-03 15:55:00-04:00,510.17,511.3,-1.1299999999999955,3.3514285714285847,-0.33716965046888053,-114.99999999999955,time,0.9130434782608711,fill
2024-05-23,-1,2024-05-23 09:35:00-04:00,2024-05-23 09:50:00-04:00,531.83,529.8100000000001,2.019999999999982,1.8196428571428669,1.110107948969562,199.99999999999818,target,0.85731108930324,fill
2024-05-29,1,2024-05-29 09:35:00-04:00,2024-05-29 15:55:00-04:00,525.64,526.1,0.4600000000000364,1.8585714285713948,0.24750192159879425,44.00000000000364,time,-1.1191391237509531,fill
2024-06-12,-1,2024-06-12 09:35:00-04:00,2024-06-12 10:25:00-04:00,541.35,543.8946428571429,-2.5446428571428896,2.5346428571428987,-1.003945329012255,-256.46428571428896,stop,0.9291249823869339,fill
2024-07-17,1,2024-07-17 09:35:00-04:00,2024-07-17 12:10:00-04:00,559.71,557.4585714285715,-2.251428571428505,2.2414285714285143,-1.004461440407899,-227.14285714285052,stop,-1.3451242829827905,fill
