datetime,open,high,low,close,volume
2023-09-06 13:30:00+0000,44.49,44.78,44.3,44.72,556140.0
2023-09-06 13:35:00+0000,44.71,44.76,44.57,44.58,315209.0
2023-09-06 13:40:00+0000,44.57,44.85,44.56,44.69,203047.0
2023-09-06 13:45:00+0000,44.7,44.73,44.56,44.62,141175.0
2023-09-06 13:50:00+0000,44.61,44.61,44.33,44.35,245880.0
2023-09-06 13:55:00+0000,44.36,44.42,44.2,44.2,197718.0
2023-09-06 14:00:00+0000,44.2,44.29,44.07,44.24,363805.0
2023-09-06 14:05:00+0000,44.24,44.35,44.22,44.3,482524.0
2023-09-06 14:10:00+0000,44.3,44.32,44.19,44.22,303875.0
2023-09-06 14:15:00+0000,44.23,44.3,44.19,44.27,237239.0
2023-09-06 14:20:00+0000,44.28,44.3,44.01,44.01,358093.0
2023-09-06 14:25:00+0000,44.01,44.02,43.91,43.92,327787.0
2023-09-06 14:30:00+0000,43.91,44.06,43.91,44.04,171413.0
2023-09-06 14:35:00+0000,44.05,44.09,43.94,43.96,104494.0
2023-09-06 14:40:00+0000,43.97,43.98,43.89,43.89,116228.0
2023-09-06 14:45:00+0000,43.89,43.92,43.83,43.85,176142.0
2023-09-06 14:50:00+0000,43.85,43.86,43.76,43.85,177599.0
2023-09-06 14:55:00+0000,43.85,43.91,43.79,43.89,123396.0
2023-09-06 15:00:00+0000,43.88,43.99,43.86,43.98,191911.0
2023-09-06 15:05:00+0000,43.98,44.01,43.89,43.9,159821.0
2023-09-06 15:10:00+0000,43.91,43.94,43.87,43.91,103401.0
2023-09-06 15:15:00+0000,43.9,43.96,43.89,43.9,147098.0
2023-09-06 15:20:00+0000,43.91,43.91,43.76,43.8,127782.0
2023-09-06 15:25:00+0000,43.8,43.88,43.78,43.79,215478.0
2023-09-06 15:30:00+0000,43.79,43.8,43.73,43.74,67923.0
2023-09-06 15:35:00+0000,43.73,43.8,43.68,43.72,158560.0
2023-09-06 15:40:00+0000,43.72,43.74,43.64,43.71,87436.0
2023-09-06 15:45:00+0000,43.71,43.78,43.67,43.76,103297.0
2023-09-06 15:50:00+0000,43.76,43.78,43.74,43.78,87071.0
2023-09-06 15:55:00+0000,43.77,43.79,43.69,43.7,130064.0
2023-09-06 16:00:00+0000,43.69,43.73,43.66,43.69,146371.0
2023-09-06 16:05:00+0000,43.7,43.7,43.64,43.65,84241.0
2023-09-06 16:10:00+0000,43.65,43.68,43.61,43.67,103441.0
2023-09-06 16:15:00+0000,43.66,43.68,43.61,43.61,58209.0
2023-09-06 16:20:00+0000,43.61,43.61,43.55,43.59,235924.0
2023-09-06 16:25:00+0000,43.59,43.62,43.51,43.54,75230.0
2023-09-06 16:30:00+0000,43.54,43.63,43.53,43.63,109039.0
2023-09-06 16:35:00+0000,43.62,43.62,43.54,43.55,59876.0
2023-09-06 16:40:00+0000,43.55,43.56,43.48,43.49,50848.0
2023-09-06 16:45:00+0000,43.5,43.53,43.49,43.52,42812.0
2023-09-06 16:50:00+0000,43.52,43.53,43.43,43.43,101043.0
2023-09-06 16:55:00+0000,43.43,43.45,43.38,43.4,281672.0
2023-09-06 17:00:00+0000,43.41,43.41,43.33,43.4,208958.0
2023-09-06 17:05:00+0000,43.39,43.48,43.37,43.46,90818.0
2023-09-06 17:10:00+0000,43.45,43.53,43.44,43.52,59610.0
2023-09-06 17:15:00+0000,43.52,43.59,43.5,43.56,118656.0
2023-09-06 17:20:00+0000,43.55,43.56,43.48,43.52,51913.0
2023-09-06 17:25:00+0000,43.52,43.52,43.44,43.47,55327.0
2023-09-06 17:30:00+0000,43.46,43.52,43.44,43.45,67909.0
2023-09-06 17:35:00+0000,43.44,43.44,43.4,43.4,63980.0
2023-09-06 17:40:00+0000,43.4,43.44,43.37,43.43,80639.0
2023-09-06 17:45:00+0000,43.43,43.46,43.41,43.43,101871.0
2023-09-06 17:50:00+0000,43.43,43.43,43.38,43.41,54313.0
2023-09-06 17:55:00+0000,43.41,43.45,43.39,43.41,119137.0
2023-09-06 18:00:00+0000,43.41,43.44,43.37,43.44,126190.0
2023-09-06 18:05:00+0000,43.44,43.49,43.39,43.45,214353.0
2023-09-06 18:10:00+0000,43.44,43.46,43.38,43.46,217090.0
2023-09-06 18:15:00+0000,43.45,43.46,43.4,43.44,103251.0
2023-09-06 18:20:00+0000,43.44,43.47,43.41,43.45,114097.0
2023-09-06 18:25:00+0000,43.46,43.52,43.45,43.51,65097.0
2023-09-06 18:30:00+0000,43.51,43.58,43.5,43.55,132311.0
2023-09-06 18:35:00+0000,43.55,43.59,43.54,43.55,90585.0
2023-09-06 18:40:00+0000,43.56,43.6,43.53,43.59,187712.0
2023-09-06 18:45:00+0000,43.6,43.61,43.58,43.59,72612.0
2023-09-06 18:50:00+0000,43.6,43.63,43.59,43.62,161120.0
2023-09-06 18:55:00+0000,43.62,43.62,43.52,43.54,264453.0
2023-09-06 19:00:00+0000,43.55,43.55,43.49,43.5,103799.0
