datetime,open,high,low,close,volume
2023-09-06 13:30:00+0000,8.52,8.535,8.42,8.4601,412680.0
2023-09-06 13:35:00+0000,8.46,8.47,8.4,8.4,264887.0
2023-09-06 13:40:00+0000,8.41,8.45,8.3757,8.415,283740.0
2023-09-06 13:45:00+0000,8.415,8.47,8.395,8.435,330655.0
2023-09-06 13:50:00+0000,8.4301,8.45,8.4115,8.4115,124124.0
2023-09-06 13:55:00+0000,8.42,8.43,8.39,8.42,81644.0
2023-09-06 14:00:00+0000,8.41,8.41,8.33,8.34,485445.0
2023-09-06 14:05:00+0000,8.335,8.34,8.3,8.3188,215121.0
2023-09-06 14:10:00+0000,8.31,8.33,8.3,8.3085,179076.0
2023-09-06 14:15:00+0000,8.31,8.36,8.31,8.3529,276615.0
2023-09-06 14:20:00+0000,8.3589,8.3699,8.32,8.33,162534.0
2023-09-06 14:25:00+0000,8.325,8.325,8.27,8.28,246911.0
2023-09-06 14:30:00+0000,8.27,8.305,8.26,8.295,223394.0
2023-09-06 14:35:00+0000,8.29,8.315,8.28,8.29,139697.0
2023-09-06 14:40:00+0000,8.295,8.32,8.29,8.315,114453.0
2023-09-06 14:45:00+0000,8.315,8.33,8.305,8.33,112529.0
2023-09-06 14:50:00+0000,8.32,8.36,8.295,8.3512,114958.0
2023-09-06 14:55:00+0000,8.36,8.37,8.35,8.3699,122318.0
2023-09-06 15:00:00+0000,8.365,8.38,8.35,8.3536,98424.0
2023-09-06 15:05:00+0000,8.36,8.37,8.35,8.355,38577.0
2023-09-06 15:10:00+0000,8.355,8.37,8.35,8.355,59257.0
2023-09-06 15:15:00+0000,8.355,8.38,8.35,8.375,43824.0
2023-09-06 15:20:00+0000,8.375,8.38,8.36,8.36,77962.0
2023-09-06 15:25:00+0000,8.365,8.39,8.36,8.375,85511.0
2023-09-06 15:30:00+0000,8.37,8.38,8.36,8.375,81573.0
2023-09-06 15:35:00+0000,8.375,8.38,8.36,8.365,60295.0
2023-09-06 15:40:00+0000,8.365,8.38,8.36,8.375,55830.0
