date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason,or_width
2023-09-06,1,2023-09-06 14:05:00-04:00,2023-09-06 15:55:00-04:00,11.5681,11.22,-0.34809999999999874,0.629999999999999,-0.5525396825396814,-36.809999999999874,time,0.5418000000000003
2023-09-07,1,2023-09-07 11:00:00-04:00,2023-09-07 15:55:00-04:00,11.15,11.370000000000001,0.22000000000000064,0.5999999999999996,0.366666666666668,20.000000000000064,time,0.5499999999999989
2023-09-08,-1,2023-09-08 10:55:00-04:00,2023-09-08 15:55:00-04:00,10.870000000000001,10.95,-0.0799999999999983,0.4999999999999982,-0.15999999999999714,-9.99999999999983,time,0.4399999999999995
2023-09-11,-1,2023-09-11 09:50:00-04:00,2023-09-11 15:55:00-04:00,10.755,10.155,0.6000000000000014,0.23499999999999943,2.5531914893617143,58.00000000000014,time,0.22000000000000064
2023-09-12,1,2023-09-12 09:50:00-04:00,2023-09-12 10:50:00-04:00,11.08,10.52,-0.5600000000000005,0.5500000000000007,-1.0181818181818179,-58.00000000000005,stop,0.45000000000000107
2023-09-13,-1,2023-09-13 10:10:00-04:00,2023-09-13 10:35:00-04:00,10.2792,10.61,-0.3308,0.3208000000000002,-1.0311720698254356,-35.08,stop,0.2599999999999998
2023-09-14,1,2023-09-14 11:05:00-04:00,2023-09-14 15:55:00-04:00,11.16,10.975,-0.1850000000000005,0.5700000000000003,-0.32456140350877266,-20.50000000000005,time,0.5199999999999996
2023-09-15,-1,2023-09-15 10:00:00-04:00,2023-09-15 15:55:00-04:00,10.73,10.78,-0.049999999999998934,0.25,-0.19999999999999574,-6.999999999999893,time,0.23000000000000043
2023-09-18,-1,2023-09-18 09:50:00-04:00,2023-09-18 15:55:00-04:00,11.1,10.946,0.15399999999999991,0.4900000000000002,0.314285714285714,13.399999999999991,time,0.4499999999999993
2023-09-19,-1,2023-09-19 09:55:00-04:00,2023-09-19 11:30:00-04:00,10.74,11.1096,-0.36960000000000015,0.35960000000000036,-1.0278086763070071,-38.960000000000015,stop,0.329600000000001
2023-09-20,1,2023-09-20 09:50:00-04:00,2023-09-20 11:20:00-04:00,10.48,10.22,-0.2599999999999998,0.25,-1.0399999999999991,-27.99999999999998,stop,0.20999999999999908
2023-09-21,1,2023-09-21 13:15:00-04:00,2023-09-21 15:55:00-04:00,9.7439,9.585,-0.15889999999999915,0.3638999999999992,-0.436658422643582,-17.889999999999915,time,0.34999999999999964
2023-09-22,-1,2023-09-22 09:55:00-04:00,2023-09-22 15:55:00-04:00,9.450000000000001,9.25,0.20000000000000107,0.3092999999999986,0.6466214031684513,18.000000000000107,time,0.28749999999999964
2023-09-25,1,2023-09-25 09:55:00-04:00,2023-09-25 15:55:00-04:00,9.235,9.26,0.025000000000000355,0.3244999999999987,0.07704160246533269,0.5000000000000355,time,0.20949999999999847
2023-09-26,-1,2023-09-26 13:45:00-04:00,2023-09-26 15:55:00-04:00,9.0,9.06,-0.0600000000000005,0.3699999999999992,-0.16216216216216384,-8.00000000000005,time,0.34999999999999964
2023-09-27,-1,2023-09-27 10:10:00-04:00,2023-09-27 15:55:00-04:00,9.24,9.02,0.22000000000000064,0.28999999999999915,0.7586206896551768,20.000000000000064,time,0.2699999999999996
2023-09-28,1,2023-09-28 09:55:00-04:00,2023-09-28 15:55:00-04:00,9.16,9.43,0.2699999999999996,0.20500000000000007,1.3170731707317047,24.999999999999957,time,0.16499999999999915
2023-09-29,-1,2023-09-29 10:10:00-04:00,2023-09-29 15:55:00-04:00,9.285,9.334999999999999,-0.049999999999998934,0.3349999999999991,-0.14925373134328082,-6.999999999999893,time,0.23999999999999844
2023-10-02,1,2023-10-02 10:00:00-04:00,2023-10-02 12:05:00-04:00,10.85,10.040000000000001,-0.8099999999999987,0.7999999999999989,-1.0124999999999997,-82.99999999999987,stop,0.738999999999999
2023-10-03,-1,2023-10-03 10:05:00-04:00,2023-10-03 15:55:00-04:00,9.3095,8.785,0.5244999999999997,0.5805000000000007,0.9035314384151578,50.449999999999974,time,0.46000000000000085
2023-10-04,-1,2023-10-04 10:10:00-04:00,2023-10-04 12:35:00-04:00,8.665000000000001,9.03,-0.36499999999999844,0.35499999999999865,-1.0281690140845066,-38.499999999999844,stop,0.28999999999999915
2023-10-05,-1,2023-10-05 09:50:00-04:00,2023-10-05 15:55:00-04:00,9.005,9.01,-0.004999999999999005,0.35999999999999943,-0.013888888888886147,-2.4999999999999005,time,0.3149999999999995
