datetime,open,high,low,close,volume
2023-08-24 13:30:00+0000,164.03,164.99,163.86,164.98,319552.0
2023-08-24 13:35:00+0000,165.0,165.66,164.9,165.64,212454.0
2023-08-24 13:40:00+0000,165.64,166.1,165.61,165.68,300794.0
2023-08-24 13:45:00+0000,165.68,166.12,165.63,165.99,245140.0
2023-08-24 13:50:00+0000,165.99,166.45,165.86,166.34,181383.0
2023-08-24 13:55:00+0000,166.33,166.67,166.28,166.47,191494.0
2023-08-24 14:00:00+0000,166.47,166.58,166.29,166.32,192224.0
2023-08-24 14:05:00+0000,166.31,166.34,165.9,165.97,171334.0
2023-08-24 14:10:00+0000,165.95,165.96,165.41,165.42,147909.0
2023-08-24 14:15:00+0000,165.39,165.55,165.31,165.47,131805.0
2023-08-24 14:20:00+0000,165.47,165.48,164.96,164.96,151164.0
2023-08-24 14:25:00+0000,164.95,165.37,164.92,165.15,133867.0
2023-08-24 14:30:00+0000,165.15,165.24,164.95,165.12,102792.0
2023-08-24 14:35:00+0000,165.12,165.41,165.1,165.27,123838.0
2023-08-24 14:40:00+0000,165.29,165.35,165.13,165.2,109013.0
2023-08-24 14:45:00+0000,165.2,165.35,164.95,165.19,118057.0
2023-08-24 14:50:00+0000,165.19,165.29,165.06,165.19,125823.0
2023-08-24 14:55:00+0000,165.2,165.39,165.19,165.24,127434.0
2023-08-24 15:00:00+0000,165.25,165.28,165.08,165.24,116919.0
2023-08-24 15:05:00+0000,165.25,165.55,165.24,165.36,166015.0
2023-08-24 15:10:00+0000,165.38,165.45,165.14,165.43,109456.0
2023-08-24 15:15:00+0000,165.45,165.52,165.29,165.41,112014.0
2023-08-24 15:20:00+0000,165.41,165.44,165.31,165.32,103154.0
2023-08-24 15:25:00+0000,165.31,165.4,165.2,165.32,139114.0
2023-08-24 15:30:00+0000,165.32,165.38,165.05,165.05,112710.0
2023-08-24 15:35:00+0000,165.06,165.17,165.01,165.06,96706.0
2023-08-24 15:40:00+0000,165.05,165.15,164.93,165.01,114356.0
2023-08-24 15:45:00+0000,165.01,165.1,164.9,165.06,76105.0
2023-08-24 15:50:00+0000,165.06,165.12,164.94,165.06,128409.0
2023-08-24 15:55:00+0000,165.06,165.12,164.8,164.98,228757.0
2023-08-24 16:00:00+0000,164.97,165.11,164.96,165.01,99367.0
2023-08-24 16:05:00+0000,165.0,165.13,164.97,165.11,112781.0
2023-08-24 16:10:00+0000,165.1,165.16,164.91,164.99,112695.0
2023-08-24 16:15:00+0000,164.99,165.11,164.92,165.01,94937.0
2023-08-24 16:20:00+0000,165.02,165.21,165.01,165.15,68852.0
2023-08-24 16:25:00+0000,165.16,165.2,164.97,165.03,78776.0
2023-08-24 16:30:00+0000,165.02,165.11,164.98,164.98,69098.0
2023-08-24 16:35:00+0000,164.97,165.06,164.87,164.91,96529.0
2023-08-24 16:40:00+0000,164.9,164.99,164.9,164.91,66505.0
2023-08-24 16:45:00+0000,164.92,165.02,164.87,164.9,89234.0
2023-08-24 16:50:00+0000,164.91,164.95,164.78,164.81,82485.0
2023-08-24 16:55:00+0000,164.81,164.86,164.74,164.82,86454.0
2023-08-24 17:00:00+0000,164.82,164.93,164.82,164.91,81476.0
2023-08-24 17:05:00+0000,164.91,165.03,164.82,165.01,99703.0
2023-08-24 17:10:00+0000,165.01,165.03,164.88,164.92,67319.0
2023-08-24 17:15:00+0000,164.91,164.96,164.78,164.82,82063.0
2023-08-24 17:20:00+0000,164.82,164.95,164.79,164.86,90881.0
2023-08-24 17:25:00+0000,164.86,164.91,164.81,164.88,78752.0
2023-08-24 17:30:00+0000,164.88,165.18,164.86,165.09,116452.0
2023-08-24 17:35:00+0000,165.09,165.34,165.07,165.3,92146.0
2023-08-24 17:40:00+0000,165.3,165.48,165.3,165.34,108672.0
2023-08-24 17:45:00+0000,165.35,165.43,165.31,165.33,85732.0
2023-08-24 17:50:00+0000,165.33,165.34,165.21,165.22,79437.0
2023-08-24 17:55:00+0000,165.22,165.3,165.2,165.28,89620.0
2023-08-24 18:00:00+0000,165.29,165.38,165.25,165.32,92870.0
2023-08-24 18:05:00+0000,165.31,165.56,165.31,165.4,122117.0
2023-08-24 18:10:00+0000,165.39,165.47,165.38,165.42,98357.0
2023-08-24 18:15:00+0000,165.42,165.49,165.28,165.28,98603.0
2023-08-24 18:20:00+0000,165.29,165.39,165.28,165.3,63381.0
2023-08-24 18:25:00+0000,165.3,165.34,165.23,165.31,72219.0
2023-08-24 18:30:00+0000,165.31,165.42,165.26,165.3,96037.0
2023-08-24 18:35:00+0000,165.31,165.33,165.22,165.3,96236.0
2023-08-24 18:40:00+0000,165.31,165.39,165.22,165.36,104345.0
2023-08-24 18:45:00+0000,165.35,165.5,165.32,165.44,121136.0
2023-08-24 18:50:00+0000,165.45,165.53,165.41,165.5,113312.0
2023-08-24 18:55:00+0000,165.49,165.63,165.47,165.54,128269.0
2023-08-24 19:00:00+0000,165.54,165.72,165.49,165.69,145560.0
2023-08-24 19:05:00+0000,165.69,165.77,165.63,165.7,169670.0
2023-08-24 19:10:00+0000,165.7,165.81,165.61,165.63,158922.0
2023-08-24 19:15:00+0000,165.62,165.65,165.4,165.47,184866.0
2023-08-24 19:20:00+0000,165.48,165.67,165.47,165.59,142585.0
2023-08-24 19:25:00+0000,165.59,165.78,165.53,165.78,244801.0
2023-08-24 19:30:00+0000,165.78,165.79,165.65,165.7,242398.0
2023-08-24 19:35:00+0000,165.7,165.74,165.44,165.46,210194.0
2023-08-24 19:40:00+0000,165.46,165.46,165.03,165.18,361074.0
2023-08-24 19:45:00+0000,165.18,165.19,164.94,164.97,529323.0
2023-08-24 19:50:00+0000,164.94,164.97,164.45,164.58,1066409.0
2023-08-24 19:55:00+0000,164.57,165.16,164.49,164.93,2324555.0
2023-08-25 13:30:00+0000,164.3,165.03,164.06,164.41,413184.0
2023-08-25 13:35:00+0000,164.41,164.95,164.4,164.78,180107.0
2023-08-25 13:40:00+0000,164.78,164.88,164.51,164.74,124716.0
2023-08-25 13:45:00+0000,164.74,165.19,164.54,164.88,165338.0
2023-08-25 13:50:00+0000,164.88,164.88,164.5,164.58,83568.0
2023-08-25 13:55:00+0000,164.55,164.83,164.43,164.8,110167.0
2023-08-25 14:00:00+0000,164.75,164.81,164.37,164.73,80320.0
2023-08-25 14:05:00+0000,164.71,164.75,164.52,164.62,98812.0
2023-08-25 14:10:00+0000,164.63,164.67,164.45,164.59,76957.0
2023-08-25 14:15:00+0000,164.59,165.02,164.58,164.7,142305.0
2023-08-25 14:20:00+0000,164.7,164.91,164.61,164.74,72931.0
2023-08-25 14:25:00+0000,164.74,165.07,164.72,164.97,79982.0
2023-08-25 14:30:00+0000,164.95,165.07,164.72,164.97,114438.0
2023-08-25 14:35:00+0000,164.98,165.31,164.96,165.22,92148.0
2023-08-25 14:40:00+0000,165.23,165.62,165.23,165.56,174372.0
2023-08-25 14:45:00+0000,165.56,165.58,165.23,165.35,105993.0
2023-08-25 14:50:00+0000,165.31,165.57,165.31,165.54,57168.0
2023-08-25 14:55:00+0000,165.52,165.71,165.48,165.64,66456.0
2023-08-25 15:00:00+0000,165.65,165.84,165.42,165.81,110765.0
2023-08-25 15:05:00+0000,165.83,166.29,165.83,166.13,129159.0
2023-08-25 15:10:00+0000,166.14,166.35,166.09,166.25,108726.0
2023-08-25 15:15:00+0000,166.24,166.26,166.06,166.18,66913.0
2023-08-25 15:20:00+0000,166.2,166.2,165.9,166.13,71824.0
2023-08-25 15:25:00+0000,166.14,166.39,166.14,166.37,64995.0
2023-08-25 15:30:00+0000,166.37,166.45,166.34,166.38,84242.0
2023-08-25 15:35:00+0000,166.39,166.65,166.37,166.61,85160.0
2023-08-25 15:40:00+0000,166.62,166.81,166.5,166.79,101653.0
