date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2023-08-25,1,2023-08-25 09:30:00-04:00,2023-08-25 15:55:00-04:00,164.31,166.16,1.8499999999999943,92.49999999999972,182.99999999999943,intraday
2023-08-28,1,2023-08-28 09:30:00-04:00,2023-08-28 15:55:00-04:00,165.01,164.27,-0.7399999999999807,-36.999999999999034,-75.99999999999807,intraday
2023-08-29,1,2023-08-29 09:30:00-04:00,2023-08-29 15:55:00-04:00,164.88,164.29000000000002,-0.589999999999975,-29.49999999999875,-60.9999999999975,intraday
2023-08-30,1,2023-08-30 09:30:00-04:00,2023-08-30 15:55:00-04:00,165.12,163.74,-1.3799999999999955,-68.99999999999977,-139.99999999999955,intraday
2023-08-31,1,2023-08-31 09:30:00-04:00,2023-08-31 15:55:00-04:00,163.38,161.69,-1.6899999999999977,-84.49999999999989,-170.99999999999977,intraday
2023-09-01,1,2023-09-01 09:30:00-04:00,2023-09-01 15:55:00-04:00,161.42999999999998,160.48000000000002,-0.9499999999999602,-47.49999999999801,-96.99999999999602,intraday
2023-09-05,1,2023-09-05 09:30:00-04:00,2023-09-05 15:55:00-04:00,160.57,160.67000000000002,0.10000000000002274,5.000000000001137,8.000000000002274,intraday
2023-09-06,1,2023-09-06 09:30:00-04:00,2023-09-06 15:55:00-04:00,159.85,158.01000000000002,-1.839999999999975,-91.99999999999875,-185.9999999999975,intraday
2023-09-07,1,2023-09-07 09:30:00-04:00,2023-09-07 15:55:00-04:00,159.12,160.02,0.9000000000000057,45.000000000000284,88.00000000000057,intraday
2023-09-08,1,2023-09-08 09:30:00-04:00,2023-09-08 15:55:00-04:00,159.6,160.61,1.0100000000000193,50.500000000000966,99.00000000000193,intraday
2023-09-11,1,2023-09-11 09:30:00-04:00,2023-09-11 15:55:00-04:00,161.07,162.65,1.5800000000000125,79.00000000000063,156.00000000000125,intraday
2023-09-12,1,2023-09-12 09:30:00-04:00,2023-09-12 15:55:00-04:00,162.17999999999998,163.60000000000002,1.4200000000000443,71.00000000000222,140.00000000000443,intraday
2023-09-13,1,2023-09-13 09:30:00-04:00,2023-09-13 15:55:00-04:00,163.76999999999998,163.99,0.22000000000002728,11.000000000001364,20.00000000000273,intraday
2023-09-14,1,2023-09-14 09:30:00-04:00,2023-09-14 15:55:00-04:00,164.69,163.78,-0.9099999999999966,-45.49999999999983,-92.99999999999966,intraday
2023-09-15,1,2023-09-15 09:30:00-04:00,2023-09-15 15:55:00-04:00,163.98999999999998,161.44,-2.549999999999983,-127.49999999999915,-256.9999999999983,intraday
2023-09-18,1,2023-09-18 09:30:00-04:00,2023-09-18 15:55:00-04:00,162.13,162.4,0.27000000000001023,13.500000000000512,25.000000000001023,intraday
2023-09-19,1,2023-09-19 09:30:00-04:00,2023-09-19 15:55:00-04:00,162.26,162.26000000000002,2.842170943040401e-14,1.4210854715202004e-12,-1.9999999999971578,intraday
2023-09-20,1,2023-09-20 09:30:00-04:00,2023-09-20 15:55:00-04:00,162.2,162.93,0.7300000000000182,36.50000000000091,71.00000000000182,intraday
2023-09-21,1,2023-09-21 09:30:00-04:00,2023-09-21 15:55:00-04:00,162.57999999999998,161.65,-0.9299999999999784,-46.49999999999892,-94.99999999999784,intraday
2023-09-22,1,2023-09-22 09:30:00-04:00,2023-09-22 15:55:00-04:00,161.31,160.49,-0.8199999999999932,-40.99999999999966,-83.99999999999932,intraday
2023-09-25,1,2023-09-25 09:30:00-04:00,2023-09-25 15:55:00-04:00,160.07999999999998,160.28,0.20000000000001705,10.000000000000853,18.000000000001705,intraday
2023-09-26,1,2023-09-26 09:30:00-04:00,2023-09-26 15:55:00-04:00,159.82,159.01000000000002,-0.8099999999999739,-40.49999999999869,-82.99999999999739,intraday
2023-09-27,1,2023-09-27 09:30:00-04:00,2023-09-27 15:55:00-04:00,158.59,157.11,-1.4799999999999898,-73.99999999999949,-149.99999999999898,intraday
2023-09-28,1,2023-09-28 09:30:00-04:00,2023-09-28 15:55:00-04:00,157.51,156.84,-0.6699999999999875,-33.499999999999375,-68.99999999999875,intraday
2023-09-29,1,2023-09-29 09:30:00-04:00,2023-09-29 15:55:00-04:00,157.38,155.79000000000002,-1.589999999999975,-79.49999999999875,-160.9999999999975,intraday
2023-10-02,1,2023-10-02 09:30:00-04:00,2023-10-02 15:55:00-04:00,155.42999999999998,155.13,-0.29999999999998295,-14.999999999999147,-31.999999999998295,intraday
2023-10-03,1,2023-10-03 09:30:00-04:00,2023-10-03 15:55:00-04:00,154.69,155.37,0.6800000000000068,34.00000000000034,66.00000000000068,intraday
2023-10-04,1,2023-10-04 09:30:00-04:00,2023-10-04 15:55:00-04:00,155.57999999999998,155.45000000000002,-0.12999999999996703,-6.4999999999983515,-14.999999999996703,intraday
2023-10-05,1,2023-10-05 09:30:00-04:00,2023-10-05 15:55:00-04:00,156.28,157.16,0.8799999999999955,43.99999999999977,85.99999999999955,intraday
2023-10-06,1,2023-10-06 09:30:00-04:00,2023-10-06 15:55:00-04:00,157.09,157.63,0.539999999999992,26.999999999999602,51.999999999999204,intraday
2023-10-09,1,2023-10-09 09:30:00-04:00,2023-10-09 15:55:00-04:00,157.19,158.53,1.3400000000000034,67.00000000000017,132.00000000000034,intraday
2023-10-10,1,2023-10-10 09:30:00-04:00,2023-10-10 15:55:00-04:00,158.39,158.34,-0.04999999999998295,-2.4999999999991473,-6.999999999998295,intraday
2023-10-11,1,2023-10-11 09:30:00-04:00,2023-10-11 15:55:00-04:00,158.47,156.15,-2.319999999999993,-115.99999999999966,-233.99999999999932,intraday
2023-10-12,1,2023-10-12 09:30:00-04:00,2023-10-12 15:55:00-04:00,155.92999999999998,156.32000000000002,0.3900000000000432,19.50000000000216,37.00000000000432,intraday
2023-10-13,1,2023-10-13 09:30:00-04:00,2023-10-13 15:55:00-04:00,156.67,156.86,0.19000000000002615,9.500000000001307,17.000000000002615,intraday
2023-10-16,1,2023-10-16 09:30:00-04:00,2023-10-16 15:55:00-04:00,157.82999999999998,157.46,-0.3699999999999761,-18.499999999998806,-38.99999999999761,intraday
2023-10-17,1,2023-10-17 09:30:00-04:00,2023-10-17 15:55:00-04:00,155.98999999999998,156.09,0.10000000000002274,5.000000000001137,8.000000000002274,intraday
2023-10-18,1,2023-10-18 09:30:00-04:00,2023-10-18 15:55:00-04:00,155.42,152.67000000000002,-2.7499999999999716,-137.49999999999858,-276.99999999999716,intraday
2023-10-19,1,2023-10-19 09:30:00-04:00,2023-10-19 15:55:00-04:00,151.67999999999998,152.28,0.6000000000000227,30.000000000001137,58.000000000002274,intraday
2023-10-20,1,2023-10-20 09:30:00-04:00,2023-10-20 15:55:00-04:00,152.75,152.98000000000002,0.2300000000000182,11.50000000000091,21.00000000000182,intraday
2023-10-23,1,2023-10-23 09:30:00-04:00,2023-10-23 15:55:00-04:00,152.87,151.36,-1.509999999999991,-75.49999999999955,-152.9999999999991,intraday
2023-10-24,1,2023-10-24 09:30:00-04:00,2023-10-24 15:55:00-04:00,150.76,151.21,0.45000000000001705,22.500000000000853,43.000000000001705,intraday
2023-10-25,1,2023-10-25 09:30:00-04:00,2023-10-25 15:55:00-04:00,151.25,151.60000000000002,0.35000000000002274,17.500000000001137,33.000000000002274,intraday
2023-10-26,1,2023-10-26 09:30:00-04:00,2023-10-26 15:55:00-04:00,151.98,148.99,-2.9899999999999807,-149.49999999999903,-300.99999999999807,intraday
2023-10-27,1,2023-10-27 09:30:00-04:00,2023-10-27 15:55:00-04:00,148.5,145.59,-2.9099999999999966,-145.49999999999983,-292.99999999999966,intraday
2023-10-30,1,2023-10-30 09:30:00-04:00,2023-10-30 15:55:00-04:00,146.1,147.03,0.9300000000000068,46.50000000000034,91.00000000000068,intraday
2023-10-31,1,2023-10-31 09:30:00-04:00,2023-10-31 15:55:00-04:00,147.54999999999998,148.3,0.7500000000000284,37.50000000000142,73.00000000000284,intraday
2023-11-01,1,2023-11-01 09:30:00-04:00,2023-11-01 15:55:00-04:00,149.2,148.71,-0.4899999999999807,-24.499999999999034,-50.99999999999807,intraday
