datetime,open,high,low,close,volume
2023-09-06 13:30:00+0000,448.4,448.49,447.55,447.75,1266243.0
2023-09-06 13:35:00+0000,447.74,447.76,447.46,447.54,739911.0
2023-09-06 13:40:00+0000,447.55,448.35,447.41,448.15,901369.0
2023-09-06 13:45:00+0000,448.16,448.51,447.71,447.81,857882.0
2023-09-06 13:50:00+0000,447.81,448.31,447.77,448.06,555462.0
2023-09-06 13:55:00+0000,448.06,448.13,447.85,447.96,450502.0
2023-09-06 14:00:00+0000,447.92,447.92,446.66,446.78,1801067.0
2023-09-06 14:05:00+0000,446.76,447.11,446.51,446.91,1016533.0
2023-09-06 14:10:00+0000,446.91,447.08,446.61,446.78,758909.0
2023-09-06 14:15:00+0000,446.78,447.29,446.69,447.24,1001950.0
2023-09-06 14:20:00+0000,447.25,447.31,446.38,446.39,960376.0
2023-09-06 14:25:00+0000,446.39,446.65,446.03,446.09,1042899.0
2023-09-06 14:30:00+0000,446.1,446.47,446.0,446.39,1045880.0
2023-09-06 14:35:00+0000,446.39,446.58,446.17,446.35,490907.0
2023-09-06 14:40:00+0000,446.36,446.5,446.15,446.16,570301.0
2023-09-06 14:45:00+0000,446.17,446.3,445.92,446.02,613707.0
2023-09-06 14:50:00+0000,446.02,446.16,445.6,446.12,815807.0
2023-09-06 14:55:00+0000,446.11,446.15,445.66,445.67,756477.0
2023-09-06 15:00:00+0000,445.69,445.79,445.55,445.75,919218.0
2023-09-06 15:05:00+0000,445.73,445.89,445.44,445.48,953394.0
2023-09-06 15:10:00+0000,445.48,445.55,445.17,445.34,706698.0
2023-09-06 15:15:00+0000,445.34,445.76,445.27,445.7,869194.0
2023-09-06 15:20:00+0000,445.7,445.79,445.49,445.71,605931.0
2023-09-06 15:25:00+0000,445.71,445.99,445.57,445.81,932945.0
2023-09-06 15:30:00+0000,445.81,445.88,445.58,445.72,527810.0
2023-09-06 15:35:00+0000,445.71,445.97,445.6,445.78,464473.0
2023-09-06 15:40:00+0000,445.78,445.99,445.69,445.96,446817.0
2023-09-06 15:45:00+0000,445.96,446.01,445.61,445.65,470217.0
2023-09-06 15:50:00+0000,445.65,445.88,445.59,445.66,384335.0
2023-09-06 15:55:00+0000,445.65,445.87,445.42,445.55,562951.0
2023-09-06 16:00:00+0000,445.55,445.67,445.45,445.62,331454.0
2023-09-06 16:05:00+0000,445.61,445.75,445.25,445.28,404967.0
2023-09-06 16:10:00+0000,445.27,445.53,445.26,445.45,363866.0
2023-09-06 16:15:00+0000,445.44,445.57,445.23,445.26,373368.0
2023-09-06 16:20:00+0000,445.27,445.45,445.2,445.4,551702.0
2023-09-06 16:25:00+0000,445.4,445.45,444.84,444.92,620052.0
2023-09-06 16:30:00+0000,444.93,445.0,444.7,445.0,645232.0
2023-09-06 16:35:00+0000,444.99,445.0,444.75,444.86,398888.0
2023-09-06 16:40:00+0000,444.86,444.89,444.33,444.39,662162.0
2023-09-06 16:45:00+0000,444.4,444.54,444.26,444.36,653356.0
2023-09-06 16:50:00+0000,444.36,444.51,444.17,444.21,724198.0
2023-09-06 16:55:00+0000,444.21,444.27,444.01,444.25,682614.0
2023-09-06 17:00:00+0000,444.25,444.26,443.81,444.07,585222.0
2023-09-06 17:05:00+0000,444.06,444.44,443.96,444.37,630881.0
2023-09-06 17:10:00+0000,444.38,444.78,444.37,444.77,602898.0
2023-09-06 17:15:00+0000,444.77,445.13,444.66,445.12,792405.0
2023-09-06 17:20:00+0000,445.13,445.19,444.88,444.96,549594.0
2023-09-06 17:25:00+0000,444.96,445.1,444.78,444.86,442986.0
2023-09-06 17:30:00+0000,444.85,445.05,444.81,444.99,330007.0
2023-09-06 17:35:00+0000,444.98,445.21,444.9,445.16,347467.0
2023-09-06 17:40:00+0000,445.16,445.25,444.86,445.16,530232.0
2023-09-06 17:45:00+0000,445.15,445.45,445.04,445.44,475759.0
2023-09-06 17:50:00+0000,445.44,445.48,445.11,445.26,519126.0
2023-09-06 17:55:00+0000,445.26,445.57,445.18,445.31,616546.0
2023-09-06 18:00:00+0000,445.31,445.57,445.16,445.3,593583.0
2023-09-06 18:05:00+0000,445.29,445.61,445.18,445.54,392449.0
2023-09-06 18:10:00+0000,445.55,445.58,445.3,445.51,382915.0
2023-09-06 18:15:00+0000,445.5,445.55,445.2,445.48,433218.0
2023-09-06 18:20:00+0000,445.47,445.47,445.31,445.39,355559.0
2023-09-06 18:25:00+0000,445.39,445.82,445.37,445.71,443233.0
2023-09-06 18:30:00+0000,445.71,446.15,445.7,445.89,836817.0
2023-09-06 18:35:00+0000,445.89,446.06,445.84,446.0,511173.0
2023-09-06 18:40:00+0000,446.01,446.1,445.87,446.08,468642.0
2023-09-06 18:45:00+0000,446.09,446.13,445.96,446.05,392961.0
2023-09-06 18:50:00+0000,446.06,446.18,446.03,446.13,419948.0
2023-09-06 18:55:00+0000,446.13,446.17,445.84,445.94,706273.0
2023-09-06 19:00:00+0000,445.94,446.02,445.49,445.54,538634.0
2023-09-06 19:05:00+0000,445.54,445.55,445.33,445.4,504435.0
2023-09-06 19:10:00+0000,445.4,445.83,445.33,445.81,598412.0
2023-09-06 19:15:00+0000,445.81,446.11,445.8,446.06,635211.0
2023-09-06 19:20:00+0000,446.06,446.2,445.93,446.12,589571.0
2023-09-06 19:25:00+0000,446.12,446.19,445.73,445.83,672985.0
2023-09-06 19:30:00+0000,445.84,446.08,445.77,446.05,623000.0
2023-09-06 19:35:00+0000,446.05,446.18,445.96,446.1,531894.0
2023-09-06 19:40:00+0000,446.09,446.18,445.97,446.11,613648.0
2023-09-06 19:45:00+0000,446.12,446.19,445.84,446.05,889331.0
2023-09-06 19:50:00+0000,446.05,446.23,445.71,445.91,1824135.0
2023-09-06 19:55:00+0000,445.92,446.4,445.86,446.2,3588576.0
2023-09-07 13:30:00+0000,443.15,443.6,442.8,443.57,1879667.0
2023-09-07 13:35:00+0000,443.57,443.96,443.44,443.94,1136834.0
2023-09-07 13:40:00+0000,443.92,444.4,443.66,444.15,928134.0
2023-09-07 13:45:00+0000,444.16,444.19,443.74,443.76,887234.0
2023-09-07 13:50:00+0000,443.77,444.1,443.22,443.26,656541.0
2023-09-07 13:55:00+0000,443.27,443.49,443.11,443.43,973339.0
2023-09-07 14:00:00+0000,443.43,443.57,442.86,443.0,858181.0
2023-09-07 14:05:00+0000,443.01,443.34,442.87,443.31,505117.0
2023-09-07 14:10:00+0000,443.32,443.85,443.25,443.42,810614.0
2023-09-07 14:15:00+0000,443.42,443.58,443.13,443.27,508979.0
2023-09-07 14:20:00+0000,443.28,443.66,443.12,443.19,680627.0
2023-09-07 14:25:00+0000,443.19,443.45,443.1,443.19,584647.0
2023-09-07 14:30:00+0000,443.19,443.3,442.75,442.83,659357.0
2023-09-07 14:35:00+0000,442.82,443.94,442.8,443.89,944275.0
2023-09-07 14:40:00+0000,443.88,444.63,443.81,444.47,1277286.0
2023-09-07 14:45:00+0000,444.47,444.66,444.24,444.25,679906.0
2023-09-07 14:50:00+0000,444.25,444.36,443.95,444.01,424812.0
2023-09-07 14:55:00+0000,444.01,444.25,443.9,444.03,666829.0
2023-09-07 15:00:00+0000,444.05,444.52,444.03,444.49,523784.0
2023-09-07 15:05:00+0000,444.49,444.63,444.28,444.5,524020.0
2023-09-07 15:10:00+0000,444.5,444.69,444.28,444.4,442708.0
2023-09-07 15:15:00+0000,444.4,444.72,444.26,444.43,511597.0
2023-09-07 15:20:00+0000,444.42,444.66,444.15,444.29,427652.0
