date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason
2025-09-08,-1,2025-09-08 12:15:00-04:00,2025-09-08 12:35:00-04:00,6560.0,6551.339285714285,8.660714285714675,3.4642857142853245,2.500000000000394,41.603571428573375,target
2025-09-08,-1,2025-09-08 13:50:00-04:00,2025-09-08 14:15:00-04:00,6551.25,6554.732142857143,-3.482142857143117,3.232142857143117,-1.0773480662983363,-19.110714285715584,stop
2025-09-09,1,2025-09-09 13:05:00-04:00,2025-09-09 14:45:00-04:00,6564.75,6572.5625,7.8125,3.125,2.5,37.3625,target
2025-09-09,1,2025-09-09 15:30:00-04:00,2025-09-09 15:30:00-04:00,6573.75,6571.696428571428,-2.0535714285715585,1.8035714285715585,-1.1386138613861285,-11.967857142857792,stop
2025-09-10,-1,2025-09-10 12:45:00-04:00,2025-09-10 12:50:00-04:00,6593.5,6596.839285714285,-3.3392857142853245,3.0892857142853245,-1.0809248554913398,-18.396428571426622,stop
2025-09-10,-1,2025-09-10 15:10:00-04:00,2025-09-10 15:40:00-04:00,6583.75,6588.125,-4.375,4.125,-1.0606060606060606,-23.575,stop
2025-09-11,1,2025-09-11 15:35:00-04:00,2025-09-11 15:40:00-04:00,6652.75,6650.214285714285,-2.5357142857146755,2.2857142857146755,-1.1093749999999813,-14.378571428573377,stop
2025-09-12,1,2025-09-12 13:50:00-04:00,2025-09-12 14:30:00-04:00,6653.5,6658.544642857143,5.044642857143117,2.017857142856883,2.5000000000004508,23.523214285715586,target
2025-09-15,-1,2025-09-15 13:00:00-04:00,2025-09-15 13:05:00-04:00,6671.0,6673.785714285715,-2.7857142857146755,2.5357142857146755,-1.0985915492957594,-15.628571428573377,stop
2025-09-15,1,2025-09-15 15:50:00-04:00,2025-09-15 15:50:00-04:00,6674.75,6671.142857142857,-3.607142857143117,3.357142857143117,-1.0744680851063773,-19.735714285715584,stop
2025-09-16,1,2025-09-16 12:55:00-04:00,2025-09-16 15:35:00-04:00,6670.0,6666.625,-3.375,3.125,-1.08,-18.575,stop
2025-09-17,-1,2025-09-17 11:40:00-04:00,2025-09-17 11:40:00-04:00,6657.5,6661.410714285715,-3.9107142857146755,3.6607142857146755,-1.068292682926822,-21.253571428573377,stop
2025-09-17,-1,2025-09-17 12:35:00-04:00,2025-09-17 13:30:00-04:00,6654.75,6658.125,-3.375,3.125,-1.08,-18.575,stop
