datetime,open,high,low,close,volume
2016-09-27 00:00:00+0000,65.41,66.41,65.11,66.36,11470862.0
2016-09-28 00:00:00+0000,66.58,66.77,65.99,66.71,9100007.0
2016-09-29 00:00:00+0000,66.7,67.21,65.35,65.65,16286492.0
2016-09-30 00:00:00+0000,66.08,67.06,66.08,66.59,16060336.0
2016-10-03 00:00:00+0000,66.35,66.92,66.26,66.51,11540393.0
2016-10-04 00:00:00+0000,66.21,67.18,66.1,66.6,15021598.0
2016-10-05 00:00:00+0000,66.89,68.07,66.8,67.69,13702617.0
2016-10-06 00:00:00+0000,67.73,67.97,67.05,67.87,14457072.0
2016-10-07 00:00:00+0000,67.79,68.18,67.4,68.11,15331347.0
2016-10-10 00:00:00+0000,68.34,69.06,68.23,68.64,11369098.0
2016-10-11 00:00:00+0000,68.5,68.82,67.93,68.31,13281535.0
2016-10-12 00:00:00+0000,68.26,68.59,68.05,68.13,9972235.0
2016-10-13 00:00:00+0000,67.46,67.87,66.82,67.74,14992359.0
2016-10-14 00:00:00+0000,68.8,69.03,67.3,67.52,21011403.0
2016-10-17 00:00:00+0000,67.42,67.79,66.73,67.17,12296571.0
2016-10-18 00:00:00+0000,67.85,68.21,67.54,67.7,10162092.0
2016-10-19 00:00:00+0000,67.81,68.5,67.81,68.35,10682337.0
2016-10-20 00:00:00+0000,68.08,68.68,67.94,68.26,12068157.0
2016-10-21 00:00:00+0000,67.81,68.53,67.7,68.49,10530520.0
2016-10-24 00:00:00+0000,68.97,69.05,68.49,68.87,8494482.0
2016-10-25 00:00:00+0000,68.88,68.93,68.38,68.8,8115652.0
2016-10-26 00:00:00+0000,68.37,69.25,68.37,69.13,8150548.0
2016-10-27 00:00:00+0000,69.49,69.77,69.1,69.23,10914060.0
2016-10-28 00:00:00+0000,69.53,69.55,68.46,69.11,11258271.0
2016-10-31 00:00:00+0000,69.43,69.58,69.23,69.26,11468097.0
2016-11-01 00:00:00+0000,69.48,69.78,68.33,68.97,13303499.0
2016-11-02 00:00:00+0000,68.65,68.85,68.01,68.68,10489923.0
