date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-04-26,1,2017-04-26,2018-02-09,,,31.560000000000013,19.59379157427938,3156.0000000000014,kbo
2018-02-15,1,2018-02-15,2018-03-02,,,-8.109999999999975,-1.2647877910214935,-810.9999999999975,kbo
2018-05-22,1,2018-05-22,2018-05-30,,,-5.219999999999988,-1.988571428571424,-521.9999999999989,kbo
2018-05-31,1,2018-05-31,2018-06-26,,,-3.1199999999999943,-1.3180446590223265,-311.99999999999943,kbo
2018-07-10,1,2018-07-10,2018-10-12,,,5.800000000000022,2.1256544502617905,580.0000000000022,kbo
2018-10-17,1,2018-10-17,2018-10-24,,,-4.559999999999992,-1.209778283115404,-455.9999999999992,kbo
2018-12-04,1,2018-12-04,2018-12-06,,,-11.319999999999954,-2.5127635960044263,-1131.9999999999955,kbo
2019-01-31,1,2019-01-31,2019-05-24,,,7.209999999999988,2.3381978225619564,720.9999999999989,kbo
2019-06-18,1,2019-06-18,2019-08-06,,,-4.680000000000025,-1.6675998981929334,-468.0000000000025,kbo
2019-08-09,1,2019-08-09,2019-08-15,,,-7.23999999999997,-1.9999999999999891,-723.999999999997,kbo
2019-09-11,1,2019-09-11,2019-10-03,,,-9.420000000000034,-2.8434670116429617,-942.0000000000034,kbo
2019-10-07,1,2019-10-07,2019-10-09,,,-1.5199999999999432,-0.48112141080712567,-151.99999999999432,kbo
2019-10-11,1,2019-10-11,2020-02-25,,,12.990000000000048,3.7084013050571083,1299.0000000000048,kbo
2020-04-30,1,2020-04-30,2020-10-29,,,20.900000000000023,3.694910973607785,2090.0000000000023,kbo
2020-11-05,1,2020-11-05,2021-07-20,,,57.96000000000003,10.202942285929824,5796.000000000003,kbo
2021-07-21,1,2021-07-21,2021-09-21,,,-5.580000000000002,-1.3851063829787245,-558.0000000000002,kbo
2021-10-18,1,2021-10-18,2021-12-01,,,-3.469999999999932,-0.7517796347879772,-346.9999999999932,kbo
2021-12-07,1,2021-12-07,2021-12-21,,,-3.7199999999999886,-0.6858949032003144,-371.99999999999886,kbo
2021-12-27,1,2021-12-27,2022-01-20,,,-8.609999999999975,-2.001993024414544,-860.9999999999975,kbo
2022-02-02,1,2022-02-02,2022-02-04,,,-3.2399999999999705,-0.4485315929991052,-323.99999999999704,kbo
2022-02-10,1,2022-02-10,2022-02-11,,,-2.359999999999975,-0.3507430997876815,-235.9999999999975,kbo
2022-03-30,1,2022-03-30,2022-04-27,,,-18.299999999999972,-3.8159070598748834,-1829.9999999999973,kbo
2022-08-01,1,2022-08-01,2022-09-06,,,-12.52,-2.516944284893742,-1252.0,kbo
2022-09-12,1,2022-09-12,2022-09-14,,,-11.039999999999981,-2.2133753401116962,-1103.9999999999982,kbo
2022-10-31,1,2022-10-31,2023-02-22,,,4.790000000000003,0.7534831460674166,479.0000000000002,kbo
2023-04-11,1,2023-04-11,2023-05-25,,,-8.44999999999995,-2.365526894621062,-844.999999999995,kbo
2023-06-05,1,2023-06-05,2023-09-22,,,2.4400000000000364,0.6665365853658629,244.00000000000364,kbo
2023-11-13,1,2023-11-13,2024-04-15,,,40.91000000000001,11.956993736951992,4091.000000000001,kbo
2024-05-10,1,2024-05-10,2024-05-31,,,-13.260000000000009,-3.665153010858831,-1326.000000000001,kbo
2024-06-03,1,2024-06-03,2024-08-06,,,-0.4900000000000273,-0.13797264682221197,-49.00000000000273,kbo
2024-08-07,1,2024-08-07,2024-08-08,,,-3.19999999999995,-0.5060431492149466,-319.999999999995,kbo
2024-08-09,1,2024-08-09,2025-01-03,,,31.630000000000038,4.7769147788565265,3163.0000000000036,kbo
2025-01-23,1,2025-01-23,2025-03-05,,,-16.349999999999984,-3.3637031594415863,-1634.9999999999984,kbo
2025-05-14,1,2025-05-14,2026-03-09,,,48.820000000000036,8.919222236721911,4882.000000000004,kbo
2026-04-20,1,2026-04-20,2026-09-16,,,28.40000000000001,4.395312845456567,2840.000000000001,kbo
