date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-07-17,1,2017-07-17,2018-02-06,,,3.1899999999999937,7.49328859060402,318.9999999999994,kbo
2018-02-07,1,2018-02-07,2018-02-09,,,-1.5400000000000102,-1.6234939759036269,-154.00000000000102,kbo
2018-02-16,1,2018-02-16,2018-02-22,,,-0.5400000000000102,-0.4183729939125707,-54.00000000000102,kbo
2018-04-18,1,2018-04-18,2018-05-30,,,-2.180000000000011,-3.0642570281124626,-218.00000000000108,kbo
2018-06-07,1,2018-06-07,2018-06-19,,,-3.6500000000000097,-5.177304964539019,-365.00000000000097,kbo
2018-09-21,1,2018-09-21,2018-10-11,,,-4.29000000000001,-7.210084033613476,-429.000000000001,kbo
2019-01-31,1,2019-01-31,2019-05-24,,,2.169999999999991,3.582547169811301,216.99999999999912,kbo
2019-06-21,1,2019-06-21,2019-07-31,,,-0.5600000000000205,-0.8838782412627165,-56.000000000002046,kbo
2019-09-12,1,2019-09-12,2020-02-24,,,0.23000000000000057,0.4225721784776931,23.000000000000057,kbo
2020-05-27,1,2020-05-27,2020-10-28,,,2.559999999999998,2.3077913715389515,255.9999999999998,kbo
2020-11-05,1,2020-11-05,2021-07-19,,,11.039999999999987,10.876847290640358,1103.9999999999986,kbo
2021-08-04,1,2021-08-04,2021-08-20,,,-1.6400000000000188,-2.1338289962825487,-164.00000000000188,kbo
2021-08-24,1,2021-08-24,2021-09-21,,,-0.12000000000000853,-0.20023837902266056,-12.000000000000853,kbo
2021-09-23,1,2021-09-23,2021-09-29,,,-2.1500000000000097,-2.4794069192751347,-215.00000000000097,kbo
2021-10-27,1,2021-10-27,2021-11-29,,,-2.8100000000000205,-4.774271844660224,-281.00000000000205,kbo
2022-01-05,1,2022-01-05,2022-01-06,,,-1.3000000000000012,-1.9782608695652184,-130.0000000000001,kbo
2022-01-13,1,2022-01-13,2022-01-19,,,-1.7000000000000068,-2.3847695390781687,-170.00000000000068,kbo
2022-08-15,1,2022-08-15,2022-09-01,,,-5.430000000000003,-6.324459234608998,-543.0000000000003,kbo
2022-11-09,1,2022-11-09,2023-03-14,,,7.649999999999995,6.702127659574468,764.9999999999995,kbo
2023-03-31,1,2023-03-31,2023-08-04,,,0.9399999999999926,0.8387507966857798,93.99999999999926,kbo
2023-08-08,1,2023-08-08,2023-08-16,,,-1.3200000000000114,-1.8171091445427883,-132.00000000000114,kbo
2023-11-15,1,2023-11-15,2024-04-19,,,5.070000000000004,6.092703862660961,507.0000000000004,kbo
2024-04-24,1,2024-04-24,2024-06-17,,,-0.39000000000000457,-0.4299212598425246,-39.000000000000455,kbo
2024-06-21,1,2024-06-21,2024-06-24,,,0.6599999999999926,0.7053435114503733,65.99999999999926,kbo
2024-07-11,1,2024-07-11,2024-07-25,,,-2.8300000000000165,-3.946215139442246,-283.00000000000165,kbo
2024-08-01,1,2024-08-01,2024-08-02,,,-2.180000000000011,-2.239178283198838,-218.00000000000108,kbo
2024-08-16,1,2024-08-16,2024-11-07,,,-0.04000000000001023,-0.0306178239475201,-4.000000000001023,kbo
2025-01-30,1,2025-01-30,2025-04-07,,,-7.230000000000007,-9.102517985611538,-723.0000000000007,kbo
2025-04-25,1,2025-04-25,2025-11-21,,,8.45999999999999,3.8479532163742625,845.999999999999,kbo
2025-11-26,1,2025-11-26,2026-03-16,,,3.2699999999999916,2.8137676705593075,326.99999999999915,kbo
2026-04-10,1,2026-04-10,2026-09-17,,,3.6099999999999968,1.792198581560281,360.99999999999966,kbo
