date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-01-20,1,2017-01-20,2017-03-13,,,-0.06000000000002046,-0.044633368756657035,-6.000000000002046,tkc
2017-03-29,1,2017-03-29,2017-05-01,,,0.9499999999999846,1.043137254901944,94.99999999999847,tkc
2017-05-03,1,2017-05-03,2017-05-26,,,1.2699999999999778,0.6717038156403354,126.99999999999778,tkc
2017-05-30,1,2017-05-30,2017-06-21,,,-2.1299999999999994,-2.2798165137614723,-212.99999999999994,tkc
2017-07-25,1,2017-07-25,2017-09-25,,,3.749999999999996,4.581151832460731,374.9999999999996,tkc
2017-10-24,1,2017-10-24,2017-10-26,,,-0.14000000000001875,-0.1461595824012129,-14.000000000001876,tkc
2017-11-22,1,2017-11-22,2017-12-11,,,-3.930000000000011,-3.624505928853774,-393.0000000000011,tkc
2017-12-28,1,2017-12-28,2018-02-08,,,2.0599999999999983,2.942857142857141,205.99999999999983,tkc
2018-02-27,1,2018-02-27,2018-02-28,,,-1.0100000000000091,-0.888190954773878,-101.00000000000091,tkc
2018-03-27,1,2018-03-27,2018-04-27,,,-2.0700000000000114,-1.997243280496218,-207.00000000000114,tkc
2018-09-07,1,2018-09-07,2018-09-28,,,-1.1400000000000188,-1.299674267101,-114.00000000000188,tkc
2018-10-12,1,2018-10-12,2018-11-16,,,0.20999999999998978,0.1901681759378951,20.999999999998977,tkc
2018-12-04,1,2018-12-04,2019-03-06,,,4.0199999999999925,4.7373737373737415,401.9999999999992,tkc
2019-04-04,1,2019-04-04,2019-04-08,,,1.8299999999999943,1.89637305699481,182.99999999999943,tkc
2019-05-16,1,2019-05-16,2019-05-30,,,-1.1100000000000176,-1.3408110440034722,-111.00000000000176,tkc
2019-06-03,1,2019-06-03,2019-09-18,,,17.800000000000004,19.77777777777772,1780.0000000000005,tkc
2019-10-31,1,2019-10-31,2019-11-08,,,-4.289999999999981,-4.044444444444428,-428.9999999999982,tkc
2019-12-13,1,2019-12-13,2020-02-14,,,10.180000000000017,9.488681757656467,1018.0000000000017,tkc
2020-02-18,1,2020-02-18,2020-03-23,,,-7.23999999999997,-6.124471299093625,-723.999999999997,tkc
2020-04-03,1,2020-04-03,2020-06-08,,,6.6300000000000345,1.715394566623553,663.0000000000034,tkc
2020-06-19,1,2020-06-19,2020-08-28,,,21.07,9.599088838268788,2107.0,tkc
2020-10-23,1,2020-10-23,2020-11-04,,,-0.1999999999999784,-0.1017072284780132,-19.99999999999784,tkc
2020-12-16,1,2020-12-16,2021-01-20,,,0.2000000000000273,0.09035172636335549,20.00000000000273,tkc
2021-04-09,1,2021-04-09,2021-06-17,,,4.230000000000029,2.3821399839099078,423.00000000000284,tkc
2021-07-22,1,2021-07-22,2021-08-12,,,-4.879999999999985,-3.363860167405199,-487.9999999999985,tkc
2021-08-26,1,2021-08-26,2021-09-20,,,-2.9599999999999977,-1.8516532618409332,-295.9999999999998,tkc
2021-10-14,1,2021-10-14,2021-12-03,,,-2.7399999999999705,-1.6151578947368248,-273.99999999999704,tkc
2021-12-30,1,2021-12-30,2022-02-08,,,1.6300000000000057,1.2131844763423807,163.00000000000057,tkc
2022-02-14,1,2022-02-14,2022-03-23,,,6.4700000000000095,4.052796420581673,647.0000000000009,tkc
2022-04-19,1,2022-04-19,2022-05-02,,,-9.619999999999965,-5.220155038759669,-961.9999999999966,tkc
2022-06-15,1,2022-06-15,2022-06-27,,,0.10000000000003297,0.04886561954626392,10.000000000003297,tkc
2022-08-09,1,2022-08-09,2022-08-29,,,-5.639999999999976,-3.168539325842681,-563.9999999999976,tkc
2022-10-11,1,2022-10-11,2022-10-20,,,-3.5800000000000023,-1.6028141989126963,-358.0000000000002,tkc
2022-11-17,1,2022-11-17,2023-02-15,,,6.780000000000013,3.04523580365737,678.0000000000013,tkc
2023-03-14,1,2023-03-14,2023-04-28,,,7.400000000000016,3.9922928709055983,740.0000000000016,tkc
