date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-03-29,1,2017-03-29,2017-04-06,,,-2.6600000000000006,-1.695038689121532,-266.00000000000006,kbo
2017-06-29,1,2017-06-29,2018-03-26,,,16.84999999999999,12.507953340402983,1684.999999999999,kbo
2018-05-10,1,2018-05-10,2018-05-21,,,-1.1800000000000108,-0.6111727709951964,-118.00000000000108,kbo
2018-05-22,1,2018-05-22,2018-05-25,,,-1.9300000000000108,-1.1019575856443775,-193.00000000000108,kbo
2018-07-17,1,2018-07-17,2018-10-12,,,-0.29000000000000964,-0.13224755700326166,-29.000000000000966,kbo
2018-12-03,1,2018-12-03,2018-12-06,,,-7.41,-3.1949491838620263,-741.0,kbo
2019-02-04,1,2019-02-04,2019-03-25,,,-4.240000000000013,-2.3829787234042628,-424.0000000000013,kbo
2019-04-02,1,2019-04-02,2019-06-03,,,1.1599999999999904,0.6061963419186208,115.99999999999903,kbo
2019-06-05,1,2019-06-05,2019-08-08,,,-0.8500000000000125,-0.4492261230653141,-85.00000000000125,kbo
2019-09-10,1,2019-09-10,2020-02-25,,,14.660000000000004,6.588764044943827,1466.0000000000005,kbo
2020-06-08,1,2020-06-08,2020-07-15,,,-12.57000000000001,-3.0185248713550634,-1257.000000000001,kbo
2020-08-11,1,2020-08-11,2020-08-19,,,-4.9800000000000075,-2.0981041227806245,-498.0000000000008,kbo
2020-08-25,1,2020-08-25,2020-09-18,,,-3.420000000000007,-1.3153846153846178,-342.0000000000007,kbo
2020-10-09,1,2020-10-09,2020-10-29,,,-5.920000000000005,-2.4637336504161746,-592.0000000000006,kbo
2020-11-03,1,2020-11-03,2021-06-18,,,46.240000000000016,17.43026386645128,4624.000000000002,kbo
2021-08-09,1,2021-08-09,2021-08-19,,,-4.360000000000003,-1.5045600197190054,-436.00000000000034,kbo
2021-08-25,1,2021-08-25,2021-09-21,,,-5.019999999999971,-1.7574393598399494,-501.99999999999716,kbo
2021-09-24,1,2021-09-24,2021-12-01,,,-0.47999999999997955,-0.14035087719297631,-47.999999999997954,kbo
2022-01-05,1,2022-01-05,2022-01-18,,,-12.079999999999973,-3.682124972784664,-1207.9999999999973,kbo
2022-08-15,1,2022-08-15,2022-09-22,,,-7.870000000000009,-3.0571587125416206,-787.0000000000009,kbo
2022-10-19,1,2022-10-19,2023-03-10,,,10.930000000000017,2.624249699879956,1093.0000000000018,kbo
2023-04-18,1,2023-04-18,2023-09-06,,,4.389999999999997,1.6097433211105276,438.99999999999966,kbo
2023-11-17,1,2023-11-17,2024-10-04,,,57.10000000000003,29.761727475800352,5710.000000000003,kbo
2024-10-14,1,2024-10-14,2025-03-07,,,21.99000000000002,4.823879661548107,2199.000000000002,kbo
2025-05-05,1,2025-05-05,2025-10-23,,,43.16000000000001,7.0473524609283915,4316.000000000001,kbo
2025-10-28,1,2025-10-28,2025-11-18,,,-5.399999999999995,-0.7189045264359056,-539.9999999999995,kbo
2025-11-28,1,2025-11-28,2025-12-10,,,-8.640000000000004,-1.1967943009795199,-864.0000000000005,kbo
2025-12-11,1,2025-12-11,2026-01-21,,,-5.849999999999982,-0.7972354716246436,-584.9999999999982,kbo
2026-02-05,1,2026-02-05,2026-02-06,,,-0.3300000000000023,-0.05009216090209293,-33.00000000000023,kbo
2026-02-09,1,2026-02-09,2026-02-12,,,-9.099999999999984,-1.3545986177565106,-909.9999999999984,kbo
2026-04-14,1,2026-04-14,2026-05-20,,,-13.159999999999991,-1.953971789161097,-1315.999999999999,kbo
2026-05-22,1,2026-05-22,2026-05-28,,,-7.999999999999961,-1.2924071082390878,-799.9999999999961,kbo
2026-06-05,1,2026-06-05,2026-09-24,,,24.25,3.8808870598994045,2425.0,kbo
