date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-01-20,-1,2017-01-20,2017-04-11,,,1.8400000000000065,4.399658411614018,184.00000000000065,tkc
2017-04-11,1,2017-04-11,2017-04-20,,,-1.539999999999996,-3.3793103448275836,-153.9999999999996,tkc
2017-04-20,-1,2017-04-20,2017-05-23,,,-0.09499999999999574,-0.19487179487178624,-9.499999999999574,tkc
2017-05-23,1,2017-05-23,2017-05-26,,,-0.8449999999999958,-1.8615263571990412,-84.49999999999957,tkc
2017-05-26,-1,2017-05-26,2017-07-24,,,0.585000000000004,1.313552526062556,58.5000000000004,tkc
2017-07-24,1,2017-07-24,2017-08-15,,,-0.7399999999999989,-1.722360764754779,-73.99999999999989,tkc
2017-08-15,-1,2017-08-15,2017-09-13,,,-0.8899999999999975,-2.247069431920648,-88.99999999999974,tkc
2017-09-13,1,2017-09-13,2017-10-30,,,0.9050000000000042,2.5314685314685437,90.50000000000043,tkc
2017-10-30,-1,2017-10-30,2017-11-10,,,-1.2749999999999955,-3.8678223185265166,-127.49999999999955,tkc
2017-11-10,1,2017-11-10,2017-11-27,,,-1.1999999999999926,-2.884120171673808,-119.99999999999926,tkc
2017-11-27,-1,2017-11-27,2017-12-04,,,-1.1199999999999943,-3.266666666666657,-111.99999999999943,tkc
2017-12-04,1,2017-12-04,2017-12-18,,,-0.46999999999999575,-1.1941923774954555,-46.999999999999574,tkc
2017-12-18,-1,2017-12-18,2017-12-22,,,-1.5549999999999966,-3.3262032085561453,-155.49999999999966,tkc
2017-12-22,1,2017-12-22,2018-02-07,,,-0.904999999999998,-1.9812353401094531,-90.4999999999998,tkc
2018-02-07,-1,2018-02-07,2018-03-19,,,1.5050000000000057,1.8250324815937713,150.50000000000057,tkc
2018-03-19,1,2018-03-19,2018-03-21,,,0.02500000000000881,0.03919372900337328,2.500000000000881,tkc
2018-03-21,-1,2018-03-21,2018-04-16,,,-2.2099999999999906,-3.5686274509803764,-220.99999999999906,tkc
2018-04-16,1,2018-04-16,2018-06-06,,,2.085000000000003,2.557161629434955,208.5000000000003,tkc
2018-06-06,-1,2018-06-06,2018-06-12,,,-0.779999999999998,-1.1327800829875505,-77.9999999999998,tkc
2018-06-12,1,2018-06-12,2018-06-15,,,-1.009999999999995,-1.4744525547445209,-100.99999999999949,tkc
2018-06-15,-1,2018-06-15,2018-07-11,,,-0.6849999999999992,-1.096626643796454,-68.49999999999991,tkc
2018-07-11,1,2018-07-11,2018-07-24,,,-0.9199999999999986,-1.190388170055451,-91.99999999999986,tkc
2018-07-24,-1,2018-07-24,2018-07-31,,,-1.2949999999999986,-2.2790697674418605,-129.49999999999986,tkc
2018-07-31,1,2018-07-31,2018-08-14,,,-1.289999999999996,-2.6288209606986856,-128.9999999999996,tkc
2018-08-14,-1,2018-08-14,2018-09-21,,,-0.09499999999999574,-0.19718309859154032,-9.499999999999574,tkc
2018-09-21,1,2018-09-21,2018-10-23,,,-2.694999999999997,-5.734042553191479,-269.4999999999997,tkc
2018-10-23,-1,2018-10-23,2019-01-17,,,4.045000000000001,5.324870709920091,404.50000000000006,tkc
2019-01-17,1,2019-01-17,2019-05-07,,,0.9699999999999953,1.4602150537634344,96.99999999999953,tkc
2019-05-07,-1,2019-05-07,2019-06-21,,,0.13499999999999404,0.25908156271417604,13.499999999999403,tkc
2019-06-21,1,2019-06-21,2019-07-25,,,0.2249999999999939,0.4642593957258545,22.49999999999939,tkc
2019-07-25,-1,2019-07-25,2019-09-11,,,1.1949999999999963,3.1038961038960937,119.49999999999963,tkc
2019-09-11,1,2019-09-11,2019-10-03,,,-2.640000000000001,-4.474576271186445,-264.0000000000001,tkc
2019-10-03,-1,2019-10-03,2019-10-30,,,-1.790000000000003,-3.0881084411583544,-179.00000000000028,tkc
2019-10-30,1,2019-10-30,2019-11-26,,,0.16499999999999518,0.32512315270934977,16.499999999999517,tkc
2019-11-26,-1,2019-11-26,2019-12-17,,,-0.745000000000005,-1.7028571428571542,-74.5000000000005,tkc
2019-12-17,1,2019-12-17,2020-01-13,,,-0.870000000000005,-1.9901960784313837,-87.0000000000005,tkc
2020-01-13,-1,2020-01-13,2020-04-15,,,13.67,31.476973684210513,1367.0,tkc
2020-04-15,1,2020-04-15,2020-06-23,,,3.73,3.252569293055122,373.0,tkc
