date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-03-31,1,2017-03-31,2017-04-03,,,-0.11000000000000341,-0.29902912621360184,-11.000000000000341,kbo
2017-05-26,1,2017-05-26,2017-09-08,,,0.2799999999999973,0.997455470737903,27.99999999999973,kbo
2017-09-20,1,2017-09-20,2018-03-23,,,2.379999999999999,7.642201834862383,237.9999999999999,kbo
2018-05-23,1,2018-05-23,2018-05-29,,,-0.7300000000000009,-2.089979550102252,-73.00000000000009,kbo
2018-07-18,1,2018-07-18,2018-10-11,,,-0.5900000000000039,-1.5128205128205225,-59.000000000000384,kbo
2018-12-04,1,2018-12-04,2018-12-06,,,-1.6900000000000017,-2.9836065573770525,-169.00000000000017,kbo
2019-01-31,1,2019-01-31,2019-06-03,,,0.1699999999999946,0.42123893805308377,16.99999999999946,kbo
2019-06-05,1,2019-06-05,2019-08-06,,,-0.13000000000000297,-0.3364140480591572,-13.000000000000298,kbo
2019-08-07,1,2019-08-07,2019-08-08,,,0.369999999999997,0.7848484848484788,36.9999999999997,kbo
2019-08-09,1,2019-08-09,2019-08-13,,,-0.5500000000000012,-1.0921985815602866,-55.000000000000114,kbo
2019-09-11,1,2019-09-11,2019-10-03,,,-1.210000000000005,-2.70607028753995,-121.0000000000005,kbo
2019-10-07,1,2019-10-07,2019-10-09,,,-0.4400000000000053,-1.1119133574007356,-44.000000000000526,kbo
2019-10-14,1,2019-10-14,2020-02-25,,,2.179999999999999,5.044628099173553,217.9999999999999,kbo
2020-06-04,1,2020-06-04,2020-09-22,,,-0.8900000000000006,-1.2779487179487181,-89.00000000000006,kbo
2020-10-08,1,2020-10-08,2020-10-28,,,-1.3200000000000043,-2.1614035087719374,-132.00000000000043,kbo
2020-11-04,1,2020-11-04,2021-06-21,,,10.979999999999993,19.68245838668372,1097.9999999999993,kbo
2021-06-28,1,2021-06-28,2021-07-09,,,-0.6799999999999966,-1.0904925544100759,-67.99999999999966,kbo
2021-07-30,1,2021-07-30,2021-09-21,,,0.030000000000004263,0.04325437693100511,3.0000000000004263,kbo
2021-09-24,1,2021-09-24,2021-12-01,,,0.5800000000000005,0.8768898488120948,58.00000000000006,kbo
2022-01-05,1,2022-01-05,2022-01-24,,,-3.1799999999999966,-4.623052959501549,-317.99999999999966,kbo
2022-02-01,1,2022-02-01,2022-02-18,,,0.04000000000000228,0.0388619014573235,4.000000000000227,kbo
2022-08-11,1,2022-08-11,2022-09-21,,,-1.9800000000000009,-3.6666666666666807,-198.00000000000009,kbo
2022-10-31,1,2022-10-31,2023-03-10,,,-0.8899999999999975,-1.0523648648648631,-88.99999999999974,kbo
2023-06-14,1,2023-06-14,2023-09-25,,,0.1300000000000057,0.3069139966273316,13.000000000000568,kbo
2023-11-15,1,2023-11-15,2024-06-17,,,5.9600000000000035,12.976671850699875,596.0000000000003,kbo
2024-06-18,1,2024-06-18,2024-06-28,,,0.0600000000000054,0.12500000000001088,6.00000000000054,kbo
2024-07-03,1,2024-07-03,2024-08-06,,,-0.7499999999999969,-1.7156862745097934,-74.99999999999969,kbo
2024-08-07,1,2024-08-07,2025-01-13,,,5.08,6.652946679139384,508.0,kbo
2025-01-21,1,2025-01-21,2025-03-10,,,-2.149999999999995,-3.031218529707944,-214.99999999999952,kbo
2025-05-13,1,2025-05-13,2025-10-17,,,0.9200000000000046,1.1448888888888946,92.00000000000045,kbo
2025-11-13,1,2025-11-13,2025-11-17,,,-1.1399999999999975,-1.7538461538461496,-113.99999999999974,kbo
2025-12-01,1,2025-12-01,2026-01-26,,,-0.0099999999999946,-0.013461538461531222,-0.99999999999946,kbo
2026-05-06,1,2026-05-06,2026-09-24,,,2.590000000000001,3.7266187050359822,259.0000000000001,kbo
