date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2017-01-20,1,2017-01-20,2017-01-26,,,-0.4900000000000131,-0.673209028459291,-49.00000000000131,tkc
2017-02-08,1,2017-02-08,2017-03-29,,,3.3399999999999856,4.95864262990455,333.9999999999986,tkc
2017-04-26,1,2017-04-26,2017-08-08,,,4.509999999999987,7.644067796610157,450.9999999999987,tkc
2017-09-05,1,2017-09-05,2017-11-06,,,0.5899999999999852,0.8098039215686047,58.99999999999852,tkc
2017-12-01,1,2017-12-01,2018-02-12,,,-0.8400000000000216,-1.2275574112735164,-84.00000000000216,tkc
2018-03-12,1,2018-03-12,2018-03-27,,,-4.970000000000017,-3.8336088154270085,-497.0000000000017,tkc
2018-04-24,1,2018-04-24,2018-05-14,,,0.6199999999999863,0.5364647713226094,61.999999999998636,tkc
2018-05-17,1,2018-05-17,2018-07-06,,,2.279999999999997,1.8921161825726145,227.99999999999972,tkc
2018-07-13,1,2018-07-13,2018-10-15,,,3.8299999999999943,4.176012461059196,382.99999999999943,tkc
2018-11-13,1,2018-11-13,2018-12-19,,,-5.4400000000000155,-3.3432835820895592,-544.0000000000016,tkc
2019-01-18,1,2019-01-18,2019-03-18,,,2.4599999999999898,1.7108792846497685,245.99999999999898,tkc
2019-03-22,1,2019-03-22,2019-04-16,,,-0.9700000000000176,-0.9157113958193003,-97.00000000000176,tkc
2019-05-07,1,2019-05-07,2019-05-31,,,-2.6700000000000057,-1.8243045387994175,-267.00000000000057,tkc
2019-06-14,1,2019-06-14,2019-07-24,,,0.5299999999999971,0.5266146202980808,52.999999999999716,tkc
2019-09-12,1,2019-09-12,2019-10-04,,,-3.1300000000000137,-2.6477341389728193,-313.00000000000136,tkc
2019-10-17,1,2019-10-17,2020-02-05,,,10.51999999999999,8.191323692992205,1051.999999999999,tkc
2020-02-14,1,2020-02-14,2020-02-26,,,-6.350000000000012,-5.05976095617531,-635.0000000000013,tkc
2020-04-08,1,2020-04-08,2020-06-23,,,9.229999999999983,2.150083194675537,922.9999999999982,tkc
2020-07-07,1,2020-07-07,2020-09-18,,,3.919999999999983,2.3716508210890117,391.9999999999983,tkc
2020-10-09,1,2020-10-09,2020-10-30,,,-6.440000000000002,-3.8010118043844825,-644.0000000000002,tkc
2020-11-13,1,2020-11-13,2020-12-11,,,0.29999999999999316,0.12658227848100975,29.999999999999318,tkc
2020-12-14,1,2020-12-14,2021-02-11,,,4.06999999999999,3.221028829847359,406.9999999999989,tkc
2021-02-12,1,2021-02-12,2021-02-16,,,1.1999999999999846,0.7828518173345657,119.99999999999847,tkc
2021-03-19,1,2021-03-19,2021-06-07,,,7.5499999999999945,4.722966934763182,754.9999999999994,tkc
2021-06-17,1,2021-06-17,2021-09-20,,,7.010000000000016,4.815505397448491,701.0000000000016,tkc
2021-10-27,1,2021-10-27,2021-11-30,,,-1.1599999999999864,-0.7718631178707127,-115.99999999999864,tkc
2021-12-16,1,2021-12-16,2022-01-14,,,-4.149999999999995,-2.304641015470048,-414.99999999999955,tkc
2022-02-11,1,2022-02-11,2022-02-25,,,-4.120000000000008,-1.906776859504135,-412.00000000000085,tkc
2022-03-10,1,2022-03-10,2022-04-25,,,4.7200000000000095,1.8561797752809037,472.0000000000009,tkc
2022-06-01,1,2022-06-01,2022-06-13,,,-9.74,-4.229528535980139,-974.0,tkc
2022-07-07,1,2022-07-07,2022-08-29,,,-3.0700000000000114,-1.2304609218436917,-307.00000000000114,tkc
2022-10-27,1,2022-10-27,2022-12-28,,,4.510000000000002,1.788668555240794,451.0000000000001,tkc
2023-04-03,1,2023-04-03,2023-05-16,,,2.0800000000000227,1.2008247422680522,208.00000000000227,tkc
2023-06-15,1,2023-06-15,2023-07-12,,,-0.009999999999980674,-0.00627240143367962,-0.9999999999980673,tkc
2023-07-21,1,2023-07-21,2023-08-28,,,-1.1699999999999773,-0.7970802919707881,-116.99999999999773,tkc
2023-11-22,1,2023-11-22,2024-03-25,,,15.26,11.115504682622278,1526.0,tkc
2024-05-13,1,2024-05-13,2024-07-11,,,2.4500000000000273,2.0035046728972215,245.00000000000273,tkc
2024-07-18,1,2024-07-18,2024-09-26,,,2.760000000000001,1.4455667789001103,276.0000000000001,tkc
2024-12-06,1,2024-12-06,2024-12-12,,,-3.1599999999999864,-2.241134751773036,-315.99999999999864,tkc
2025-01-22,1,2025-01-22,2025-03-17,,,2.960000000000018,1.6770538243626198,296.0000000000018,tkc
2025-05-13,1,2025-05-13,2025-05-15,,,-5.229999999999979,-2.050980392156855,-522.999999999998,tkc
2025-06-11,1,2025-06-11,2025-07-01,,,-1.1399999999999761,-0.708388814913433,-113.99999999999761,tkc
2025-07-02,1,2025-07-02,2025-07-22,,,-4.75999999999998,-2.7378800328676927,-475.99999999999807,tkc
2025-08-21,1,2025-08-21,2025-09-25,,,-1.1699999999999773,-0.6931866271688394,-116.99999999999773,tkc
2025-10-09,1,2025-10-09,2025-12-18,,,8.930000000000016,4.719516798792004,893.0000000000016,tkc
2025-12-26,1,2025-12-26,2026-01-23,,,2.1200000000000148,1.1991919191919234,212.00000000000148,tkc
2026-02-18,1,2026-02-18,2026-03-13,,,-6.239999999999998,-2.9553450608930953,-623.9999999999999,tkc
2026-04-21,1,2026-04-21,2026-04-27,,,-4.479999999999979,-2.0423314881146126,-447.99999999999795,tkc
2026-05-26,1,2026-05-26,2026-09-16,,,17.920000000000027,8.533333333333337,1792.0000000000027,tkc
