datetime,open,high,low,close,volume
2016-09-27 00:00:00+0000,82.59,83.34,82.29,83.24,7314054.0
2016-09-28 00:00:00+0000,83.46,87.23,83.34,86.9,24046738.0
2016-09-29 00:00:00+0000,86.92,87.2,85.67,86.46,16356490.0
2016-09-30 00:00:00+0000,86.85,87.81,86.65,87.28,10509466.0
2016-10-03 00:00:00+0000,86.94,87.2,86.54,87.05,5510855.0
2016-10-04 00:00:00+0000,87.38,87.5,86.07,86.25,6283997.0
2016-10-05 00:00:00+0000,86.83,87.17,86.7,87.0,6628760.0
2016-10-06 00:00:00+0000,87.25,87.47,86.44,87.04,6262150.0
2016-10-07 00:00:00+0000,86.95,87.4,86.42,86.74,4999886.0
2016-10-10 00:00:00+0000,87.54,88.67,87.51,88.44,8146240.0
2016-10-11 00:00:00+0000,88.08,88.19,87.3,87.74,7311450.0
2016-10-12 00:00:00+0000,87.22,87.72,86.67,87.13,5705940.0
2016-10-13 00:00:00+0000,86.35,86.87,85.43,86.56,7997904.0
2016-10-14 00:00:00+0000,87.19,87.54,86.48,86.54,5483894.0
2016-10-17 00:00:00+0000,86.48,86.79,86.07,86.54,5344142.0
2016-10-18 00:00:00+0000,87.17,87.33,86.38,86.77,4041505.0
2016-10-19 00:00:00+0000,87.2,87.85,86.88,87.17,6663494.0
2016-10-20 00:00:00+0000,86.79,87.5,86.6,87.21,5393573.0
2016-10-21 00:00:00+0000,86.42,86.82,85.69,86.62,8618670.0
2016-10-24 00:00:00+0000,86.74,87.32,86.07,86.91,6436032.0
2016-10-25 00:00:00+0000,86.67,87.65,86.6,86.72,5383772.0
2016-10-26 00:00:00+0000,86.25,87.45,85.95,87.09,6465421.0
2016-10-27 00:00:00+0000,87.28,87.66,86.8,86.92,7224409.0
2016-10-28 00:00:00+0000,85.28,86.36,84.14,84.78,15442910.0
2016-10-31 00:00:00+0000,83.9,84.4,82.99,83.32,11797588.0
2016-11-01 00:00:00+0000,83.5,83.92,83.27,83.65,9898354.0
2016-11-02 00:00:00+0000,83.3,83.88,82.94,83.45,8749165.0
2016-11-03 00:00:00+0000,83.68,83.88,83.05,83.66,6944696.0
2016-11-04 00:00:00+0000,83.46,84.33,82.76,83.57,10820505.0
2016-11-07 00:00:00+0000,84.49,85.47,84.4,85.45,10176218.0
2016-11-08 00:00:00+0000,84.73,85.83,84.49,85.31,8070841.0
2016-11-09 00:00:00+0000,84.05,86.71,83.66,86.25,12816630.0
2016-11-10 00:00:00+0000,85.91,87.99,85.66,87.05,11894958.0
2016-11-11 00:00:00+0000,86.53,86.73,84.89,85.67,10572261.0
2016-11-14 00:00:00+0000,85.3,85.65,84.32,85.28,10158418.0
2016-11-15 00:00:00+0000,85.77,87.06,85.77,86.82,10084014.0
2016-11-16 00:00:00+0000,86.74,86.78,85.58,85.75,6428417.0
2016-11-17 00:00:00+0000,86.44,86.88,85.02,85.23,6293226.0
2016-11-18 00:00:00+0000,85.21,85.65,84.83,85.28,6713729.0
2016-11-21 00:00:00+0000,86.44,86.69,86.13,86.49,5894369.0
2016-11-22 00:00:00+0000,86.69,87.24,85.97,86.68,7109597.0
2016-11-23 00:00:00+0000,86.54,87.08,86.31,86.92,4433494.0
2016-11-25 00:00:00+0000,86.71,87.14,86.54,87.12,3488706.0
2016-11-28 00:00:00+0000,86.95,87.14,86.37,86.47,5205929.0
2016-11-29 00:00:00+0000,85.42,86.08,85.08,85.9,7032865.0
2016-11-30 00:00:00+0000,87.6,88.19,87.2,87.3,15088027.0
2016-12-01 00:00:00+0000,87.98,88.5,87.24,87.24,10302465.0
2016-12-02 00:00:00+0000,87.15,87.99,86.6,87.04,7103333.0
2016-12-05 00:00:00+0000,87.39,87.82,86.92,87.48,7803719.0
2016-12-06 00:00:00+0000,87.27,87.87,86.69,87.56,8865436.0
2016-12-07 00:00:00+0000,87.63,88.15,87.2,88.07,7575846.0
2016-12-08 00:00:00+0000,88.05,88.85,87.65,88.32,7186311.0
2016-12-09 00:00:00+0000,88.64,89.0,88.18,89.0,6036351.0
2016-12-12 00:00:00+0000,90.14,91.5,90.14,90.98,12135518.0
2016-12-13 00:00:00+0000,91.89,93.22,91.17,92.58,15158566.0
2016-12-14 00:00:00+0000,92.22,92.27,90.17,90.58,11936374.0
2016-12-15 00:00:00+0000,90.1,90.98,89.76,90.89,7730440.0
2016-12-16 00:00:00+0000,91.52,91.67,90.64,91.18,11816980.0
2016-12-19 00:00:00+0000,91.38,91.54,90.2,90.42,7589489.0
2016-12-20 00:00:00+0000,90.51,90.85,90.29,90.43,4578663.0
2016-12-21 00:00:00+0000,90.68,90.9,90.18,90.28,4968383.0
