ticker,side,entry_time,exit_time,weight,pnl
QQQ,1,2018-06-04,2018-10-01,0.25,0.0751328251328256
QQQ,1,2018-11-02,2018-12-03,0.25,0.004663907188247274
QQQ,1,2019-06-04,2019-07-01,0.25,0.10047679962786371
QQQ,1,2019-08-02,2019-10-01,0.25,-0.00820887617837096
QQQ,1,2020-01-03,2020-02-03,0.25,0.04256915142991091
QQQ,1,2020-03-03,2020-05-01,0.25,-0.020173176123802206
QQQ,1,2020-06-02,2020-12-01,0.25,0.2945141199556367
QQQ,1,2021-01-05,2021-02-01,0.25,0.04583346848746306
QQQ,1,2021-10-04,2021-11-01,0.25,0.08063706348320943
QQQ,1,2021-12-02,2022-03-01,0.25,-0.11485225505443308
QQQ,1,2023-07-05,2024-01-02,0.25,0.09194716428435834
QQQ,1,2024-02-02,2024-08-01,0.25,0.08461538461538431
QQQ,1,2025-11-04,2026-01-02,0.25,-0.016300859966628445
IWM,1,2018-10-02,2018-11-01,0.25,-0.07636297990131169
IWM,1,2021-01-05,2021-06-01,0.25,0.1811072556838762
IWM,1,2024-06-04,2024-07-01,0.25,-0.009794271089674345
IWM,1,2026-08-04,2026-09-01,0.25,-0.023655119115620793
DIA,1,2019-01-03,2019-02-01,0.25,0.08310991957104497
DIA,1,2023-01-04,2023-02-01,0.25,0.02480307858817854
DIA,1,2024-02-02,2024-03-01,0.25,0.019062996432198442
XLE,1,2018-06-04,2018-07-02,0.25,-0.02374739039665974
XLE,1,2021-04-05,2021-10-01,0.25,0.07229635530770828
XLE,1,2021-11-02,2021-12-01,0.25,-0.0707157604955263
XLE,1,2022-03-02,2023-01-03,0.25,0.1660679745786109
XLE,1,2023-02-02,2023-04-03,0.25,-0.014568631914409269
XLE,1,2023-12-04,2024-01-02,0.25,0.004028436018957082
XLE,1,2026-04-02,2026-07-01,0.25,-0.12638544251447448
XLF,1,2021-08-03,2021-10-01,0.25,0.03979285908967012
XLF,1,2021-11-02,2021-12-01,0.25,-0.06779240129128383
XLF,1,2024-01-03,2024-08-01,0.25,0.1471135940409689
XLF,1,2025-01-03,2025-07-01,0.25,0.08599711280676448
XLK,1,2018-04-03,2018-06-01,0.25,0.10491140814423505
XLK,1,2018-07-03,2018-08-01,0.25,0.017923186344238173
XLK,1,2018-09-05,2018-10-01,0.25,0.0063821300358994915
XLK,1,2019-06-04,2019-10-01,0.25,0.1153362225639587
XLK,1,2020-01-03,2020-05-01,0.25,-0.034010648701510604
XLK,1,2020-10-02,2020-11-02,0.25,-0.0350755339468658
XLK,1,2021-10-04,2021-11-01,0.25,0.07027206370272054
XLK,1,2021-12-02,2022-03-01,0.25,-0.08440967800618548
XLK,1,2023-05-02,2024-02-01,0.25,0.32492719089224287
XLK,1,2024-03-04,2024-06-03,0.25,0.0010928442459374743
XLK,1,2024-08-02,2024-09-03,0.25,0.02451505994736336
XLK,1,2025-09-03,2026-02-02,0.25,0.1124215040588139
XLK,1,2026-07-02,2026-09-24,0.25,0.04970618362175938
XLV,1,2018-11-02,2019-05-01,0.25,-0.01753225272907699
XLV,1,2021-10-04,2021-11-01,0.25,0.05401782193833249
XLV,1,2022-09-02,2022-11-01,0.25,0.04147718362866537
XLV,1,2022-12-02,2023-02-01,0.25,-0.03018239722061422
XLV,1,2026-02-03,2026-03-02,0.25,0.024227936425894825
XLY,1,2018-04-03,2018-07-02,0.25,0.10544389455610448
XLY,1,2018-08-02,2018-09-04,0.25,0.06324863883847542
XLY,1,2018-10-02,2018-11-01,0.25,-0.07999657768651613
XLY,1,2019-06-04,2019-07-01,0.25,0.0834309397242996
XLY,1,2019-08-02,2019-09-03,0.25,0.0035392264262237294
XLY,1,2020-11-03,2021-01-04,0.25,0.09551951621770272
XLY,1,2022-01-04,2022-03-01,0.25,-0.17051172505459022
XLY,1,2023-08-02,2023-09-01,0.25,-0.0006478972788318549
XLY,1,2023-10-03,2023-11-01,0.25,-0.03611893583724568
XLY,1,2025-01-03,2025-05-01,0.25,-0.10909989220265892
XLP,1,2018-12-04,2019-02-01,0.25,-0.05655025704662264
XLP,1,2022-06-02,2022-08-01,0.25,0.023615635179152328
XLP,1,2022-10-04,2022-11-01,0.25,0.060552874067573814
GLD,1,2019-02-04,2019-06-03,0.25,0.00903298653117135
GLD,1,2019-07-02,2019-08-01,0.25,0.03915593814275886
GLD,1,2019-10-02,2020-01-02,0.25,0.02244477590737959
GLD,1,2020-04-02,2020-10-01,0.25,0.18266048974189197
GLD,1,2022-08-02,2022-09-01,0.25,-0.04702402511167425
GLD,1,2023-06-02,2023-08-01,0.25,-0.016727510488748765
GLD,1,2024-09-04,2025-01-02,0.25,0.06801862570172768
GLD,1,2025-03-04,2025-11-03,0.25,0.37057271342030096
