date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,18.180000000000003,18.08,-0.10000000000000497,-5.000000000000249,-12.000000000000497,long
2016-09-29,1,2016-09-28,2016-09-29,18.220000000000002,18.13,-0.09000000000000341,-4.5000000000001705,-11.000000000000341,long
2016-09-30,1,2016-09-29,2016-09-30,18.12,18.639999999999997,0.519999999999996,25.9999999999998,49.9999999999996,long
2016-10-03,1,2016-09-30,2016-10-03,18.21,18.09,-0.120000000000001,-6.00000000000005,-14.0000000000001,long
2016-10-04,1,2016-10-03,2016-10-04,17.880000000000003,17.569999999999997,-0.3100000000000058,-15.500000000000291,-33.00000000000058,long
2016-10-05,1,2016-10-04,2016-10-05,16.950000000000003,16.99,0.039999999999995595,1.9999999999997797,1.9999999999995595,long
2016-10-06,1,2016-10-05,2016-10-06,16.860000000000003,16.5,-0.360000000000003,-18.00000000000015,-38.0000000000003,long
2016-10-07,1,2016-10-06,2016-10-07,16.450000000000003,16.689999999999998,0.23999999999999488,11.999999999999744,21.99999999999949,long
2016-10-10,1,2016-10-07,2016-10-10,16.610000000000003,16.74,0.12999999999999545,6.499999999999773,10.999999999999545,long
2016-10-11,1,2016-10-10,2016-10-11,16.740000000000002,16.689999999999998,-0.05000000000000426,-2.500000000000213,-7.000000000000426,long
2016-10-12,1,2016-10-11,2016-10-12,16.57,16.59,0.019999999999999574,0.9999999999999787,-4.263256414560601e-14,long
2016-10-13,1,2016-10-12,2016-10-13,16.66,16.59,-0.07000000000000028,-3.500000000000014,-9.000000000000028,long
2016-10-14,1,2016-10-13,2016-10-14,16.62,16.549999999999997,-0.07000000000000384,-3.500000000000192,-9.000000000000384,long
2016-10-17,1,2016-10-14,2016-10-17,16.57,16.529999999999998,-0.0400000000000027,-2.000000000000135,-6.00000000000027,long
2016-10-18,1,2016-10-17,2016-10-18,16.580000000000002,16.68,0.09999999999999787,4.999999999999893,7.999999999999787,long
2016-10-19,1,2016-10-18,2016-10-19,16.73,16.79,0.05999999999999872,2.999999999999936,3.999999999999872,long
2016-10-20,1,2016-10-19,2016-10-20,16.8,16.79,-0.010000000000001563,-0.5000000000000782,-3.0000000000001563,long
2016-10-21,1,2016-10-20,2016-10-21,16.650000000000002,16.639999999999997,-0.010000000000005116,-0.5000000000002558,-3.0000000000005116,long
2016-10-24,1,2016-10-21,2016-10-24,16.66,16.95,0.28999999999999915,14.499999999999957,26.999999999999915,long
2016-10-25,1,2016-10-24,2016-10-25,16.71,16.79,0.0799999999999983,3.9999999999999147,5.9999999999998295,long
2016-10-26,1,2016-10-25,2016-10-26,16.87,16.799999999999997,-0.07000000000000384,-3.500000000000192,-9.000000000000384,long
2016-10-27,1,2016-10-26,2016-10-27,16.720000000000002,16.74,0.01999999999999602,0.999999999999801,-3.979039320256561e-13,long
2016-10-28,1,2016-10-27,2016-10-28,16.740000000000002,16.81,0.06999999999999673,3.4999999999998366,4.999999999999673,long
2016-10-31,1,2016-10-28,2016-10-31,16.880000000000003,16.93,0.04999999999999716,2.499999999999858,2.999999999999716,long
2016-11-01,1,2016-10-31,2016-11-01,16.98,17.36,0.379999999999999,18.99999999999995,35.9999999999999,long
2016-11-02,1,2016-11-01,2016-11-02,17.42,17.61,0.18999999999999773,9.499999999999886,16.999999999999773,long
2016-11-03,1,2016-11-02,2016-11-03,17.57,17.25,-0.3200000000000003,-16.000000000000014,-34.00000000000003,long
2016-11-04,1,2016-11-03,2016-11-04,17.430000000000003,17.459999999999997,0.02999999999999403,1.4999999999997016,0.9999999999994031,long
2016-11-07,1,2016-11-04,2016-11-07,17.470000000000002,17.299999999999997,-0.17000000000000526,-8.500000000000263,-19.000000000000526,long
2016-11-08,1,2016-11-07,2016-11-08,17.3,17.36,0.05999999999999872,2.999999999999936,3.999999999999872,long
2016-11-09,1,2016-11-08,2016-11-09,17.41,17.849999999999998,0.4399999999999977,21.999999999999886,41.99999999999977,long
2016-11-10,1,2016-11-09,2016-11-10,17.46,17.639999999999997,0.17999999999999616,8.999999999999808,15.999999999999616,long
2016-11-11,1,2016-11-10,2016-11-11,17.57,17.479999999999997,-0.09000000000000341,-4.5000000000001705,-11.000000000000341,long
2016-11-14,1,2016-11-11,2016-11-14,16.48,16.18,-0.3000000000000007,-15.000000000000036,-32.00000000000007,long
2016-11-15,1,2016-11-14,2016-11-15,16.01,16.029999999999998,0.01999999999999602,0.999999999999801,-3.979039320256561e-13,long
2016-11-16,1,2016-11-15,2016-11-16,16.200000000000003,16.189999999999998,-0.010000000000005116,-0.5000000000002558,-3.0000000000005116,long
2016-11-17,1,2016-11-16,2016-11-17,16.1,16.099999999999998,-3.552713678800501e-15,-1.7763568394002505e-13,-2.0000000000003553,long
2016-11-18,1,2016-11-17,2016-11-18,15.85,15.77,-0.08000000000000007,-4.0000000000000036,-10.000000000000007,long
2016-11-21,1,2016-11-18,2016-11-21,15.74,15.76,0.019999999999999574,0.9999999999999787,-4.263256414560601e-14,long
2016-11-22,1,2016-11-21,2016-11-22,15.73,15.870000000000001,0.14000000000000057,7.000000000000028,12.000000000000057,long
2016-11-23,1,2016-11-22,2016-11-23,15.81,15.49,-0.3200000000000003,-16.000000000000014,-34.00000000000003,long
2016-11-25,1,2016-11-23,2016-11-25,15.53,15.69,0.16000000000000014,8.000000000000007,14.000000000000014,long
2016-11-28,1,2016-11-25,2016-11-28,15.64,15.71,0.07000000000000028,3.500000000000014,5.000000000000028,long
2016-11-29,1,2016-11-28,2016-11-29,15.78,15.58,-0.1999999999999993,-9.999999999999964,-21.99999999999993,long
2016-11-30,1,2016-11-29,2016-11-30,15.79,15.77,-0.019999999999999574,-0.9999999999999787,-3.9999999999999574,long
2016-12-01,1,2016-11-30,2016-12-01,15.67,15.5,-0.16999999999999993,-8.499999999999996,-18.999999999999993,long
2016-12-02,1,2016-12-01,2016-12-02,15.67,15.69,0.019999999999999574,0.9999999999999787,-4.263256414560601e-14,long
2016-12-05,1,2016-12-02,2016-12-05,15.84,15.74,-0.09999999999999964,-4.999999999999982,-11.999999999999964,long
2016-12-06,1,2016-12-05,2016-12-06,15.89,15.85,-0.040000000000000924,-2.000000000000046,-6.000000000000092,long
2016-12-07,1,2016-12-06,2016-12-07,15.86,16.16,0.3000000000000007,15.000000000000036,28.00000000000007,long
2016-12-08,1,2016-12-07,2016-12-08,16.240000000000002,16.13,-0.11000000000000298,-5.500000000000149,-13.000000000000298,long
2016-12-09,1,2016-12-08,2016-12-09,16.150000000000002,16.15,-3.552713678800501e-15,-1.7763568394002505e-13,-2.0000000000003553,long
2016-12-12,1,2016-12-09,2016-12-12,15.98,16.229999999999997,0.24999999999999645,12.499999999999822,22.999999999999645,long
2016-12-13,1,2016-12-12,2016-12-13,16.200000000000003,16.169999999999998,-0.03000000000000469,-1.5000000000002345,-5.000000000000469,long
2016-12-14,1,2016-12-13,2016-12-14,16.05,16.229999999999997,0.17999999999999616,8.999999999999808,15.999999999999616,long
2016-12-15,1,2016-12-14,2016-12-15,15.94,15.24,-0.6999999999999993,-34.999999999999964,-71.99999999999993,long
2016-12-16,1,2016-12-15,2016-12-16,15.19,15.21,0.02000000000000135,1.0000000000000675,1.3500311979441904e-13,long
2016-12-19,1,2016-12-16,2016-12-19,15.28,15.24,-0.03999999999999915,-1.9999999999999574,-5.999999999999915,long
2016-12-20,1,2016-12-19,2016-12-20,15.18,14.85,-0.33000000000000007,-16.500000000000004,-35.00000000000001,long
2016-12-21,1,2016-12-20,2016-12-21,15.25,15.25,0.0,0.0,-2.0,long
2016-12-22,1,2016-12-21,2016-12-22,15.129999999999999,15.040000000000001,-0.08999999999999808,-4.499999999999904,-10.999999999999808,long
2016-12-23,1,2016-12-22,2016-12-23,14.99,14.94,-0.05000000000000071,-2.5000000000000355,-7.000000000000071,long
2016-12-27,1,2016-12-23,2016-12-27,14.92,14.97,0.05000000000000071,2.5000000000000355,3.000000000000071,long
2016-12-28,1,2016-12-27,2016-12-28,15.14,15.07,-0.07000000000000028,-3.500000000000014,-9.000000000000028,long
2016-12-29,1,2016-12-28,2016-12-29,15.209999999999999,15.200000000000001,-0.00999999999999801,-0.4999999999999005,-2.999999999999801,long
2016-12-30,1,2016-12-29,2016-12-30,15.33,15.36,0.02999999999999936,1.499999999999968,0.999999999999936,long
2017-01-03,1,2016-12-30,2017-01-03,15.12,15.24,0.120000000000001,6.00000000000005,10.0000000000001,long
2017-01-04,1,2017-01-03,2017-01-04,15.45,15.57,0.120000000000001,6.00000000000005,10.0000000000001,long
2017-01-05,1,2017-01-04,2017-01-05,15.59,15.72,0.13000000000000078,6.500000000000039,11.000000000000078,long
2017-01-06,1,2017-01-05,2017-01-06,15.77,15.56,-0.20999999999999908,-10.499999999999954,-22.999999999999908,long
2017-01-09,1,2017-01-06,2017-01-09,15.65,15.68,0.02999999999999936,1.499999999999968,0.999999999999936,long
2017-01-10,1,2017-01-09,2017-01-10,15.709999999999999,15.790000000000001,0.08000000000000185,4.000000000000092,6.000000000000185,long
2017-01-11,1,2017-01-10,2017-01-11,15.92,15.76,-0.16000000000000014,-8.000000000000007,-18.000000000000014,long
2017-01-12,1,2017-01-11,2017-01-12,15.879999999999999,15.97,0.09000000000000163,4.500000000000082,7.000000000000163,long
2017-01-13,1,2017-01-12,2017-01-13,15.92,15.81,-0.10999999999999943,-5.499999999999972,-12.999999999999943,long
2017-01-17,1,2017-01-13,2017-01-17,15.95,16.2,0.25,12.5,23.0,long
2017-01-18,1,2017-01-17,2017-01-18,16.290000000000003,16.27,-0.020000000000003126,-1.0000000000001563,-4.000000000000313,long
2017-01-19,1,2017-01-18,2017-01-19,16.200000000000003,15.94,-0.26000000000000334,-13.000000000000167,-28.000000000000334,long
2017-01-20,1,2017-01-19,2017-01-20,16.130000000000003,16.11,-0.020000000000003126,-1.0000000000001563,-4.000000000000313,long
2017-01-23,1,2017-01-20,2017-01-23,16.200000000000003,16.22,0.01999999999999602,0.999999999999801,-3.979039320256561e-13,long
2017-01-24,1,2017-01-23,2017-01-24,16.3,16.27,-0.030000000000001137,-1.5000000000000568,-5.000000000000114,long
2017-01-25,1,2017-01-24,2017-01-25,16.23,15.950000000000001,-0.27999999999999936,-13.999999999999968,-29.999999999999936,long
2017-01-26,1,2017-01-25,2017-01-26,16.110000000000003,15.93,-0.18000000000000327,-9.000000000000163,-20.000000000000327,long
2017-01-27,1,2017-01-26,2017-01-27,15.94,15.89,-0.049999999999998934,-2.4999999999999467,-6.999999999999893,long
2017-01-30,1,2017-01-27,2017-01-30,16.23,16.27,0.03999999999999915,1.9999999999999574,1.9999999999999147,long
2017-01-31,1,2017-01-30,2017-01-31,16.240000000000002,16.549999999999997,0.30999999999999517,15.499999999999758,28.999999999999517,long
2017-02-01,1,2017-01-31,2017-02-01,16.64,16.529999999999998,-0.11000000000000298,-5.500000000000149,-13.000000000000298,long
2017-02-02,1,2017-02-01,2017-02-02,16.62,16.72,0.09999999999999787,4.999999999999893,7.999999999999787,long
2017-02-03,1,2017-02-02,2017-02-03,16.57,16.479999999999997,-0.09000000000000341,-4.5000000000001705,-11.000000000000341,long
2017-02-06,1,2017-02-03,2017-02-06,16.580000000000002,16.7,0.11999999999999744,5.999999999999872,9.999999999999744,long
2017-02-07,1,2017-02-06,2017-02-07,16.830000000000002,16.75,-0.08000000000000185,-4.000000000000092,-10.000000000000185,long
2017-02-08,1,2017-02-07,2017-02-08,16.8,16.869999999999997,0.06999999999999673,3.4999999999998366,4.999999999999673,long
2017-02-09,1,2017-02-08,2017-02-09,16.85,16.88,0.029999999999997584,1.4999999999998792,0.9999999999997584,long
2017-02-10,1,2017-02-09,2017-02-10,16.76,16.74,-0.020000000000003126,-1.0000000000001563,-4.000000000000313,long
2017-02-13,1,2017-02-10,2017-02-13,17.03,16.95,-0.08000000000000185,-4.000000000000092,-10.000000000000185,long
2017-02-14,1,2017-02-13,2017-02-14,16.900000000000002,17.099999999999998,0.19999999999999574,9.999999999999787,17.999999999999574,long
2017-02-15,1,2017-02-14,2017-02-15,17.020000000000003,16.9,-0.12000000000000455,-6.000000000000227,-14.000000000000455,long
2017-02-16,1,2017-02-15,2017-02-16,17.05,17.099999999999998,0.04999999999999716,2.499999999999858,2.999999999999716,long
2017-02-17,1,2017-02-16,2017-02-17,17.16,17.049999999999997,-0.11000000000000298,-5.500000000000149,-13.000000000000298,long
2017-02-21,1,2017-02-17,2017-02-21,17.07,16.95,-0.120000000000001,-6.00000000000005,-14.0000000000001,long
2017-02-22,1,2017-02-21,2017-02-22,17.040000000000003,17.049999999999997,0.009999999999994458,0.4999999999997229,-1.0000000000005542,long
2017-02-23,1,2017-02-22,2017-02-23,17.12,17.22,0.09999999999999787,4.999999999999893,7.999999999999787,long
2017-02-24,1,2017-02-23,2017-02-24,17.25,17.36,0.10999999999999943,5.499999999999972,8.999999999999943,long
2017-02-27,1,2017-02-24,2017-02-27,17.41,17.4,-0.010000000000001563,-0.5000000000000782,-3.0000000000001563,long
2017-02-28,1,2017-02-27,2017-02-28,17.28,17.41,0.129999999999999,6.49999999999995,10.9999999999999,long
2017-03-01,1,2017-02-28,2017-03-01,17.380000000000003,17.33,-0.05000000000000426,-2.500000000000213,-7.000000000000426,long
2017-03-02,1,2017-03-01,2017-03-02,17.450000000000003,17.33,-0.12000000000000455,-6.000000000000227,-14.000000000000455,long
2017-03-03,1,2017-03-02,2017-03-03,16.810000000000002,16.799999999999997,-0.010000000000005116,-0.5000000000002558,-3.0000000000005116,long
2017-03-06,1,2017-03-03,2017-03-06,16.990000000000002,16.919999999999998,-0.07000000000000384,-3.500000000000192,-9.000000000000384,long
2017-03-07,1,2017-03-06,2017-03-07,16.84,16.63,-0.21000000000000085,-10.500000000000043,-23.000000000000085,long
2017-03-08,1,2017-03-07,2017-03-08,16.560000000000002,16.4,-0.1600000000000037,-8.000000000000185,-18.00000000000037,long
2017-03-09,1,2017-03-08,2017-03-09,16.330000000000002,16.31,-0.020000000000003126,-1.0000000000001563,-4.000000000000313,long
2017-03-10,1,2017-03-09,2017-03-10,16.07,16.06,-0.010000000000001563,-0.5000000000000782,-3.0000000000001563,long
