date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,53.12,53.21,0.09000000000000341,4.5000000000001705,7.000000000000341,long
2016-09-29,1,2016-09-28,2016-09-29,53.21,53.160000000000004,-0.04999999999999716,-2.499999999999858,-6.999999999999716,long
2016-09-30,1,2016-09-29,2016-09-30,52.69,52.9,0.21000000000000085,10.500000000000043,19.000000000000085,long
2016-10-03,1,2016-09-30,2016-10-03,53.22,53.11,-0.10999999999999943,-5.499999999999972,-12.999999999999943,long
2016-10-04,1,2016-10-03,2016-10-04,52.879999999999995,52.82,-0.05999999999999517,-2.9999999999997584,-7.999999999999517,long
2016-10-05,1,2016-10-04,2016-10-05,52.43,52.5,0.07000000000000028,3.500000000000014,5.000000000000028,long
2016-10-06,1,2016-10-05,2016-10-06,52.379999999999995,52.230000000000004,-0.14999999999999147,-7.499999999999574,-16.999999999999147,long
2016-10-07,1,2016-10-06,2016-10-07,52.48,52.480000000000004,7.105427357601002e-15,3.552713678800501e-13,-1.9999999999992895,long
2016-10-10,1,2016-10-07,2016-10-10,52.339999999999996,52.440000000000005,0.10000000000000853,5.000000000000426,8.000000000000853,long
2016-10-11,1,2016-10-10,2016-10-11,52.339999999999996,52.300000000000004,-0.03999999999999204,-1.999999999999602,-5.999999999999204,long
2016-10-12,1,2016-10-11,2016-10-12,52.07,52.14,0.07000000000000028,3.500000000000014,5.000000000000028,long
2016-10-13,1,2016-10-12,2016-10-13,52.36,51.980000000000004,-0.37999999999999545,-18.999999999999773,-39.999999999999545,long
2016-10-14,1,2016-10-13,2016-10-14,52.37,52.370000000000005,7.105427357601002e-15,3.552713678800501e-13,-1.9999999999992895,long
2016-10-17,1,2016-10-14,2016-10-17,52.379999999999995,52.38,7.105427357601002e-15,3.552713678800501e-13,-1.9999999999992895,long
2016-10-18,1,2016-10-17,2016-10-18,52.129999999999995,52.35,0.22000000000000597,11.000000000000298,20.000000000000597,long
2016-10-19,1,2016-10-18,2016-10-19,52.29,52.22,-0.07000000000000028,-3.500000000000014,-9.000000000000028,long
2016-10-20,1,2016-10-19,2016-10-20,51.989999999999995,51.940000000000005,-0.04999999999999005,-2.4999999999995026,-6.999999999999005,long
2016-10-21,1,2016-10-20,2016-10-21,51.96,52.190000000000005,0.23000000000000398,11.500000000000199,21.000000000000398,long
2016-10-24,1,2016-10-21,2016-10-24,52.239999999999995,52.28,0.04000000000000625,2.0000000000003126,2.0000000000006253,long
2016-10-25,1,2016-10-24,2016-10-25,52.58,52.78,0.20000000000000284,10.000000000000142,18.000000000000284,long
2016-10-26,1,2016-10-25,2016-10-26,52.769999999999996,52.79,0.020000000000003126,1.0000000000001563,3.126388037344441e-13,long
2016-10-27,1,2016-10-26,2016-10-27,52.699999999999996,52.660000000000004,-0.03999999999999204,-1.999999999999602,-5.999999999999204,long
2016-10-28,1,2016-10-27,2016-10-28,52.46,52.4,-0.060000000000002274,-3.0000000000001137,-8.000000000000227,long
2016-10-31,1,2016-10-28,2016-10-31,52.68,52.7,0.020000000000003126,1.0000000000001563,3.126388037344441e-13,long
2016-11-01,1,2016-10-31,2016-11-01,52.809999999999995,52.79,-0.01999999999999602,-0.999999999999801,-3.999999999999602,long
2016-11-02,1,2016-11-01,2016-11-02,52.58,52.43,-0.14999999999999858,-7.499999999999929,-16.999999999999858,long
2016-11-03,1,2016-11-02,2016-11-03,52.449999999999996,52.59,0.14000000000000767,7.000000000000384,12.000000000000767,long
2016-11-04,1,2016-11-03,2016-11-04,52.089999999999996,52.03,-0.05999999999999517,-2.9999999999997584,-7.999999999999517,long
2016-11-07,1,2016-11-04,2016-11-07,51.62,52.04,0.4200000000000017,21.000000000000085,40.00000000000017,long
2016-11-08,1,2016-11-07,2016-11-08,52.489999999999995,52.09,-0.3999999999999915,-19.999999999999574,-41.99999999999915,long
2016-11-09,1,2016-11-08,2016-11-09,52.71,51.7,-1.009999999999998,-50.4999999999999,-102.9999999999998,long
2016-11-10,1,2016-11-09,2016-11-10,51.989999999999995,51.99,7.105427357601002e-15,3.552713678800501e-13,-1.9999999999992895,long
