date,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,39.805,39.81,0.005000000000002558,0.2500000000001279,-1.4999999999997442,long
2016-09-29,1,2016-09-28,2016-09-29,39.915,39.85,-0.06499999999999773,-3.2499999999998863,-8.499999999999773,long
2016-09-30,1,2016-09-29,2016-09-30,39.71,39.865,0.15500000000000114,7.750000000000057,13.500000000000114,long
2016-10-03,1,2016-09-30,2016-10-03,40.03,39.855000000000004,-0.17499999999999716,-8.749999999999858,-19.499999999999716,long
2016-10-04,1,2016-10-03,2016-10-04,40.004999999999995,40.02,0.015000000000007674,0.7500000000003837,-0.4999999999992326,long
2016-10-05,1,2016-10-04,2016-10-05,39.864999999999995,39.995000000000005,0.13000000000000966,6.500000000000483,11.000000000000966,long
2016-10-06,1,2016-10-05,2016-10-06,40.03,39.955000000000005,-0.07499999999999574,-3.749999999999787,-9.499999999999574,long
2016-10-07,1,2016-10-06,2016-10-07,40.059999999999995,40.155,0.09500000000000597,4.750000000000298,7.500000000000597,long
2016-10-10,1,2016-10-07,2016-10-10,39.879999999999995,40.050000000000004,0.1700000000000088,8.50000000000044,15.000000000000881,long
2016-10-11,1,2016-10-10,2016-10-11,39.945,39.955000000000005,0.010000000000005116,0.5000000000002558,-0.9999999999994884,long
2016-10-12,1,2016-10-11,2016-10-12,39.46,39.480000000000004,0.020000000000003126,1.0000000000001563,3.126388037344441e-13,long
2016-10-13,1,2016-10-12,2016-10-13,39.644999999999996,39.345,-0.29999999999999716,-14.999999999999858,-31.999999999999716,long
2016-10-14,1,2016-10-13,2016-10-14,39.5,39.605000000000004,0.10500000000000398,5.250000000000199,8.500000000000398,long
2016-10-17,1,2016-10-14,2016-10-17,39.455,39.42,-0.03499999999999659,-1.7499999999998295,-5.499999999999659,long
2016-10-18,1,2016-10-17,2016-10-18,39.129999999999995,39.515,0.3850000000000051,19.250000000000256,36.50000000000051,long
2016-10-19,1,2016-10-18,2016-10-19,39.39,39.435,0.045000000000001705,2.2500000000000853,2.5000000000001705,long
2016-10-20,1,2016-10-19,2016-10-20,39.565,39.455000000000005,-0.10999999999999233,-5.499999999999616,-12.999999999999233,long
2016-10-21,1,2016-10-20,2016-10-21,39.489999999999995,39.28,-0.20999999999999375,-10.499999999999687,-22.999999999999375,long
2016-10-24,1,2016-10-21,2016-10-24,39.805,39.985,0.17999999999999972,8.999999999999986,15.999999999999972,long
2016-10-25,1,2016-10-24,2016-10-25,40.089999999999996,39.89,-0.19999999999999574,-9.999999999999787,-21.999999999999574,long
2016-10-26,1,2016-10-25,2016-10-26,39.62,39.425000000000004,-0.19499999999999318,-9.749999999999659,-21.499999999999318,long
2016-10-27,1,2016-10-26,2016-10-27,39.449999999999996,39.53,0.0800000000000054,4.00000000000027,6.00000000000054,long
2016-10-28,1,2016-10-27,2016-10-28,39.12,38.89,-0.22999999999999687,-11.499999999999844,-24.999999999999687,long
2016-10-31,1,2016-10-28,2016-10-31,39.03,39.065000000000005,0.035000000000003695,1.7500000000001847,1.5000000000003695,long
2016-11-01,1,2016-10-31,2016-11-01,39.059999999999995,39.14,0.0800000000000054,4.00000000000027,6.00000000000054,long
2016-11-02,1,2016-11-01,2016-11-02,38.785,38.665,-0.11999999999999744,-5.999999999999872,-13.999999999999744,long
2016-11-03,1,2016-11-02,2016-11-03,38.55,38.6,0.05000000000000426,2.500000000000213,3.0000000000004263,long
2016-11-04,1,2016-11-03,2016-11-04,38.449999999999996,38.395,-0.05499999999999261,-2.7499999999996305,-7.499999999999261,long
2016-11-07,1,2016-11-04,2016-11-07,38.375,38.905,0.5300000000000011,26.500000000000057,51.000000000000114,long
2016-11-08,1,2016-11-07,2016-11-08,39.26,39.24,-0.01999999999999602,-0.999999999999801,-3.999999999999602,long
2016-11-09,1,2016-11-08,2016-11-09,39.419999999999995,38.575,-0.8449999999999918,-42.24999999999959,-86.49999999999918,long
2016-11-10,1,2016-11-09,2016-11-10,39.5,39.635000000000005,0.13500000000000512,6.750000000000256,11.500000000000512,long
2016-11-11,1,2016-11-10,2016-11-11,39.644999999999996,39.475,-0.1699999999999946,-8.49999999999973,-18.99999999999946,long
2016-11-14,1,2016-11-11,2016-11-14,39.87,40.035000000000004,0.16500000000000625,8.250000000000313,14.500000000000625,long
2016-11-15,1,2016-11-14,2016-11-15,39.875,39.995000000000005,0.12000000000000455,6.000000000000227,10.000000000000455,long
2016-11-16,1,2016-11-15,2016-11-16,40.03,39.925000000000004,-0.10499999999999687,-5.249999999999844,-12.499999999999687,long
2016-11-17,1,2016-11-16,2016-11-17,40.25,40.265,0.015000000000000568,0.7500000000000284,-0.49999999999994316,long
2016-11-18,1,2016-11-17,2016-11-18,40.735,40.690000000000005,-0.0449999999999946,-2.24999999999973,-6.49999999999946,long
2016-11-21,1,2016-11-18,2016-11-21,40.61,40.665,0.054999999999999716,2.749999999999986,3.4999999999999716,long
2016-11-22,1,2016-11-21,2016-11-22,40.875,40.980000000000004,0.10500000000000398,5.250000000000199,8.500000000000398,long
2016-11-23,1,2016-11-22,2016-11-23,41.36,41.27,-0.0899999999999963,-4.499999999999815,-10.99999999999963,long
2016-11-25,1,2016-11-23,2016-11-25,41.4,41.445,0.045000000000001705,2.2500000000000853,2.5000000000001705,long
2016-11-28,1,2016-11-25,2016-11-28,41.5,41.38,-0.11999999999999744,-5.999999999999872,-13.999999999999744,long
2016-11-29,1,2016-11-28,2016-11-29,41.169999999999995,41.195,0.025000000000005684,1.2500000000002842,0.5000000000005684,long
2016-11-30,1,2016-11-29,2016-11-30,41.28,41.24,-0.03999999999999915,-1.9999999999999574,-5.999999999999915,long
2016-12-01,1,2016-11-30,2016-12-01,40.934999999999995,40.88,-0.05499999999999261,-2.7499999999996305,-7.499999999999261,long
2016-12-02,1,2016-12-01,2016-12-02,40.955,40.940000000000005,-0.014999999999993463,-0.7499999999996732,-3.4999999999993463,long
2016-12-05,1,2016-12-02,2016-12-05,40.73,40.88,0.15000000000000568,7.500000000000284,13.000000000000568,long
2016-12-06,1,2016-12-05,2016-12-06,41.175,41.185,0.010000000000005116,0.5000000000002558,-0.9999999999994884,long
2016-12-07,1,2016-12-06,2016-12-07,41.269999999999996,41.27,7.105427357601002e-15,3.552713678800501e-13,-1.9999999999992895,long
2016-12-08,1,2016-12-07,2016-12-08,42.07,42.065000000000005,-0.0049999999999954525,-0.24999999999977263,-2.4999999999995453,long
2016-12-09,1,2016-12-08,2016-12-09,42.07,42.09,0.020000000000003126,1.0000000000001563,3.126388037344441e-13,long
2016-12-12,1,2016-12-09,2016-12-12,42.165,42.06,-0.10499999999999687,-5.249999999999844,-12.499999999999687,long
2016-12-13,1,2016-12-12,2016-12-13,41.815,41.95,0.13500000000000512,6.750000000000256,11.500000000000512,long
2016-12-14,1,2016-12-13,2016-12-14,42.19,42.160000000000004,-0.02999999999999403,-1.4999999999997016,-4.999999999999403,long
2016-12-15,1,2016-12-14,2016-12-15,41.905,42.085,0.17999999999999972,8.999999999999986,15.999999999999972,long
2016-12-16,1,2016-12-15,2016-12-16,41.805,41.660000000000004,-0.14499999999999602,-7.249999999999801,-16.499999999999602,long
2016-12-19,1,2016-12-16,2016-12-19,41.355,41.43,0.07500000000000284,3.750000000000142,5.500000000000284,long
2016-12-20,1,2016-12-19,2016-12-20,41.464999999999996,41.505,0.04000000000000625,2.0000000000003126,2.0000000000006253,long
2016-12-21,1,2016-12-20,2016-12-21,41.794999999999995,41.77,-0.024999999999991473,-1.2499999999995737,-4.499999999999147,long
2016-12-22,1,2016-12-21,2016-12-22,41.775,41.68,-0.09499999999999886,-4.749999999999943,-11.499999999999886,long
2016-12-23,1,2016-12-22,2016-12-23,41.324999999999996,41.295,-0.02999999999999403,-1.4999999999997016,-4.999999999999403,long
2016-12-27,1,2016-12-23,2016-12-27,41.235,41.245000000000005,0.010000000000005116,0.5000000000002558,-0.9999999999994884,long
2016-12-28,1,2016-12-27,2016-12-28,41.394999999999996,41.465,0.07000000000000739,3.5000000000003695,5.000000000000739,long
2016-12-29,1,2016-12-28,2016-12-29,41.11,41.120000000000005,0.010000000000005116,0.5000000000002558,-0.9999999999994884,long
2016-12-30,1,2016-12-29,2016-12-30,41.055,41.165,0.10999999999999943,5.499999999999972,8.999999999999943,long
2017-01-03,1,2016-12-30,2017-01-03,40.71,41.015,0.3049999999999997,15.249999999999986,28.49999999999997,long
2017-01-04,1,2017-01-03,2017-01-04,40.949999999999996,41.11,0.1600000000000037,8.000000000000185,14.00000000000037,long
2017-01-05,1,2017-01-04,2017-01-05,41.495,41.22,-0.2749999999999986,-13.749999999999929,-29.499999999999858,long
2017-01-06,1,2017-01-05,2017-01-06,41.464999999999996,41.435,-0.02999999999999403,-1.4999999999997016,-4.999999999999403,long
2017-01-09,1,2017-01-06,2017-01-09,41.669999999999995,41.635000000000005,-0.034999999999989484,-1.7499999999994742,-5.499999999998948,long
2017-01-10,1,2017-01-09,2017-01-10,41.635,41.605000000000004,-0.02999999999999403,-1.4999999999997016,-4.999999999999403,long
2017-01-11,1,2017-01-10,2017-01-11,41.785,41.735,-0.04999999999999716,-2.499999999999858,-6.999999999999716,long
2017-01-12,1,2017-01-11,2017-01-12,41.875,41.760000000000005,-0.11499999999999488,-5.749999999999744,-13.499999999999488,long
2017-01-13,1,2017-01-12,2017-01-13,41.835,41.84,0.005000000000002558,0.2500000000001279,-1.4999999999997442,long
