date,side,entry_time,exit_time,entry,exit,pts,r_mult,regime,pnl,reason
2018-02-06,1,2018-02-05,2018-02-06,69.52000000000001,69.41,-0.11000000000001364,-5.500000000000682,bearish,-13.000000000001364,bearish
2018-02-09,1,2018-02-08,2018-02-09,68.31,68.74,0.4299999999999926,21.49999999999963,bearish,40.99999999999926,bearish
2018-02-12,1,2018-02-09,2018-02-12,68.60000000000001,69.08999999999999,0.4899999999999807,24.499999999999034,bearish,46.99999999999807,bearish
2018-02-13,1,2018-02-12,2018-02-13,69.65,69.08999999999999,-0.5600000000000165,-28.000000000000824,bearish,-58.00000000000165,bearish
2018-02-14,1,2018-02-13,2018-02-14,69.44000000000001,69.0,-0.44000000000001194,-22.000000000000597,bearish,-46.000000000001194,bearish
2018-02-22,1,2018-02-21,2018-02-22,70.42,70.69999999999999,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
2018-02-23,1,2018-02-22,2018-02-23,70.79,71.03,0.23999999999999488,11.999999999999744,bearish,21.99999999999949,bearish
2018-02-28,1,2018-02-27,2018-02-28,70.95,71.03,0.0799999999999983,3.9999999999999147,bearish,5.9999999999998295,bearish
2018-03-01,1,2018-02-28,2018-03-01,70.28,69.83,-0.45000000000000284,-22.500000000000142,bearish,-47.000000000000284,bearish
2018-03-02,1,2018-03-01,2018-03-02,69.10000000000001,68.83999999999999,-0.2600000000000193,-13.000000000000966,bearish,-28.000000000001933,bearish
2018-03-05,1,2018-03-02,2018-03-05,69.43,68.89999999999999,-0.5300000000000153,-26.500000000000767,bearish,-55.000000000001535,bearish
2018-03-06,1,2018-03-05,2018-03-06,69.80000000000001,70.33,0.5299999999999869,26.499999999999346,bearish,50.99999999999869,bearish
2018-03-07,1,2018-03-06,2018-03-07,70.21000000000001,69.85,-0.36000000000001364,-18.000000000000682,bearish,-38.000000000001364,bearish
2018-03-08,1,2018-03-07,2018-03-08,70.19000000000001,70.36999999999999,0.1799999999999784,8.99999999999892,bearish,15.99999999999784,bearish
2018-03-09,1,2018-03-08,2018-03-09,70.34,70.42,0.0799999999999983,3.9999999999999147,bearish,5.9999999999998295,bearish
2018-03-12,1,2018-03-09,2018-03-12,70.79,70.83999999999999,0.04999999999998295,2.4999999999991473,bearish,2.9999999999982947,bearish
2018-03-13,1,2018-03-12,2018-03-13,70.87,71.08999999999999,0.21999999999998465,10.999999999999233,bearish,19.999999999998465,bearish
2018-03-14,1,2018-03-13,2018-03-14,70.4,70.92,0.519999999999996,25.9999999999998,bearish,49.9999999999996,bearish
2018-03-15,1,2018-03-14,2018-03-15,70.57000000000001,70.55,-0.020000000000010232,-1.0000000000005116,bearish,-4.000000000001023,bearish
2018-03-16,1,2018-03-15,2018-03-16,70.53,70.38,-0.15000000000000568,-7.500000000000284,bearish,-17.00000000000057,bearish
2018-03-19,1,2018-03-16,2018-03-19,70.48,70.19999999999999,-0.28000000000001535,-14.000000000000767,bearish,-30.000000000001535,bearish
2018-03-20,1,2018-03-19,2018-03-20,69.91000000000001,69.80999999999999,-0.10000000000002274,-5.000000000001137,bearish,-12.000000000002274,bearish
2018-03-21,1,2018-03-20,2018-03-21,69.9,69.77,-0.13000000000000966,-6.500000000000483,bearish,-15.000000000000966,bearish
2018-03-22,1,2018-03-21,2018-03-22,70.01,69.28,-0.730000000000004,-36.5000000000002,bearish,-75.0000000000004,bearish
2018-03-23,1,2018-03-22,2018-03-23,68.71000000000001,68.83,0.11999999999999034,5.999999999999517,bearish,9.999999999999034,bearish
2018-03-26,1,2018-03-23,2018-03-26,67.95,68.97,1.019999999999996,50.9999999999998,bearish,99.9999999999996,bearish
2018-03-27,1,2018-03-26,2018-03-27,69.17,69.5,0.3299999999999983,16.499999999999915,bearish,30.99999999999983,bearish
2018-03-28,1,2018-03-27,2018-03-28,68.66000000000001,69.07,0.4099999999999824,20.49999999999912,bearish,38.99999999999824,bearish
2018-03-29,1,2018-03-28,2018-03-29,69.06,69.53999999999999,0.47999999999998977,23.99999999999949,bearish,45.99999999999898,bearish
2018-04-02,1,2018-03-29,2018-04-02,69.69000000000001,69.39999999999999,-0.29000000000002046,-14.500000000001023,bearish,-31.000000000002046,bearish
2018-04-03,1,2018-04-02,2018-04-03,68.73,69.08,0.3499999999999943,17.499999999999716,bearish,32.99999999999943,bearish
2018-04-04,1,2018-04-03,2018-04-04,69.17,68.33999999999999,-0.8300000000000125,-41.500000000000625,bearish,-85.00000000000125,bearish
2018-04-05,1,2018-04-04,2018-04-05,69.41000000000001,69.72,0.30999999999998806,15.499999999999403,bearish,28.999999999998806,bearish
2018-04-06,1,2018-04-05,2018-04-06,69.87,69.8,-0.07000000000000739,-3.5000000000003695,bearish,-9.000000000000739,bearish
2018-04-09,1,2018-04-06,2018-04-09,69.41000000000001,70.05999999999999,0.6499999999999773,32.49999999999886,bearish,62.999999999997726,bearish
2018-04-10,1,2018-04-09,2018-04-10,69.98,70.66,0.6799999999999926,33.99999999999963,bearish,65.99999999999926,bearish
2018-04-12,1,2018-04-11,2018-04-12,70.46000000000001,70.53,0.06999999999999318,3.499999999999659,bearish,4.999999999999318,bearish
2018-05-30,1,2018-05-29,2018-05-30,68.80000000000001,69.36999999999999,0.569999999999979,28.49999999999895,bearish,54.9999999999979,bearish
2018-06-01,1,2018-05-31,2018-06-01,69.41000000000001,69.91,0.4999999999999858,24.99999999999929,bearish,47.99999999999858,bearish
2018-06-19,1,2018-06-18,2018-06-19,69.51,67.14999999999999,-2.3600000000000136,-118.00000000000068,bearish,-238.00000000000136,bearish
2018-06-20,1,2018-06-19,2018-06-20,67.53,67.77,0.23999999999999488,11.999999999999744,bearish,21.99999999999949,bearish
2018-06-21,1,2018-06-20,2018-06-21,67.58,67.38,-0.20000000000000284,-10.000000000000142,bearish,-22.000000000000284,bearish
2018-06-22,1,2018-06-21,2018-06-22,67.10000000000001,67.94,0.8399999999999892,41.99999999999946,bearish,81.99999999999892,bearish
2018-06-25,1,2018-06-22,2018-06-25,67.81,67.30999999999999,-0.5000000000000142,-25.00000000000071,bearish,-52.00000000000142,bearish
2018-06-26,1,2018-06-25,2018-06-26,66.87,67.07,0.19999999999998863,9.999999999999432,bearish,17.999999999998863,bearish
2018-06-27,1,2018-06-26,2018-06-27,66.99000000000001,67.03,0.03999999999999204,1.999999999999602,bearish,1.9999999999992042,bearish
2018-06-28,1,2018-06-27,2018-06-28,66.36,66.32,-0.04000000000000625,-2.0000000000003126,bearish,-6.000000000000625,bearish
2018-06-29,1,2018-06-28,2018-06-29,66.61,67.11,0.5,25.0,bearish,48.0,bearish
2018-07-02,1,2018-06-29,2018-07-02,66.98,66.00999999999999,-0.9700000000000131,-48.500000000000654,bearish,-99.00000000000131,bearish
2018-07-03,1,2018-07-02,2018-07-03,66.37,66.88,0.5099999999999909,25.499999999999545,bearish,48.99999999999909,bearish
2018-07-05,1,2018-07-03,2018-07-05,66.57000000000001,67.16,0.5899999999999892,29.49999999999946,bearish,56.99999999999892,bearish
2018-07-06,1,2018-07-05,2018-07-06,67.23,67.3,0.06999999999999318,3.499999999999659,bearish,4.999999999999318,bearish
2018-07-09,1,2018-07-06,2018-07-09,67.59,68.11,0.519999999999996,25.9999999999998,bearish,49.9999999999996,bearish
2018-07-10,1,2018-07-09,2018-07-10,68.24000000000001,68.1,-0.14000000000001478,-7.000000000000739,bearish,-16.000000000001478,bearish
2018-07-11,1,2018-07-10,2018-07-11,68.21000000000001,67.42,-0.7900000000000063,-39.50000000000031,bearish,-81.00000000000063,bearish
2018-07-12,1,2018-07-11,2018-07-12,67.07000000000001,67.41,0.3399999999999892,16.99999999999946,bearish,31.99999999999892,bearish
2018-07-13,1,2018-07-12,2018-07-13,67.59,67.6,0.009999999999990905,0.49999999999954525,bearish,-1.0000000000009095,bearish
2018-07-16,1,2018-07-13,2018-07-16,67.80000000000001,67.75999999999999,-0.040000000000020464,-2.000000000001023,bearish,-6.000000000002046,bearish
2018-07-17,1,2018-07-16,2018-07-17,67.77000000000001,67.57,-0.20000000000001705,-10.000000000000853,bearish,-22.000000000001705,bearish
2018-07-18,1,2018-07-17,2018-07-18,67.89,67.82,-0.07000000000000739,-3.5000000000003695,bearish,-9.000000000000739,bearish
2018-07-19,1,2018-07-18,2018-07-19,67.9,67.53,-0.37000000000000455,-18.500000000000227,bearish,-39.000000000000455,bearish
2018-07-20,1,2018-07-19,2018-07-20,67.76,67.75999999999999,-1.4210854715202004e-14,-7.105427357601002e-13,bearish,-2.000000000001421,bearish
2018-07-23,1,2018-07-20,2018-07-23,68.08,68.05999999999999,-0.020000000000010232,-1.0000000000005116,bearish,-4.000000000001023,bearish
2018-07-24,1,2018-07-23,2018-07-24,68.08,68.63,0.5499999999999972,27.499999999999858,bearish,52.999999999999716,bearish
2018-07-25,1,2018-07-24,2018-07-25,68.48,68.44999999999999,-0.030000000000015348,-1.5000000000007674,bearish,-5.000000000001535,bearish
2018-07-26,1,2018-07-25,2018-07-26,68.99000000000001,68.71,-0.28000000000001535,-14.000000000000767,bearish,-30.000000000001535,bearish
2018-07-27,1,2018-07-26,2018-07-27,68.68,68.96,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
2018-07-30,1,2018-07-27,2018-07-30,68.81,69.03,0.21999999999999886,10.999999999999943,bearish,19.999999999999886,bearish
2018-07-31,1,2018-07-30,2018-07-31,68.80000000000001,69.03,0.22999999999998977,11.499999999999488,bearish,20.999999999998977,bearish
2018-08-01,1,2018-07-31,2018-08-01,68.89,68.75999999999999,-0.13000000000000966,-6.500000000000483,bearish,-15.000000000000966,bearish
2018-08-02,1,2018-08-01,2018-08-02,68.54,67.78,-0.7600000000000051,-38.000000000000256,bearish,-78.00000000000051,bearish
2018-08-03,1,2018-08-02,2018-08-03,68.09,67.80999999999999,-0.28000000000001535,-14.000000000000767,bearish,-30.000000000001535,bearish
2018-08-06,1,2018-08-03,2018-08-06,68.13000000000001,67.69,-0.44000000000001194,-22.000000000000597,bearish,-46.000000000001194,bearish
2018-08-07,1,2018-08-06,2018-08-07,67.84,68.50999999999999,0.6699999999999875,33.499999999999375,bearish,64.99999999999875,bearish
2018-08-13,1,2018-08-10,2018-08-13,66.75,66.64,-0.10999999999999943,-5.499999999999972,bearish,-12.999999999999943,bearish
2018-08-14,1,2018-08-13,2018-08-14,66.51,66.58,0.06999999999999318,3.499999999999659,bearish,4.999999999999318,bearish
2018-08-15,1,2018-08-14,2018-08-15,66.5,65.6,-0.9000000000000057,-45.000000000000284,bearish,-92.00000000000057,bearish
2018-08-16,1,2018-08-15,2018-08-16,65.54,65.96,0.4199999999999875,20.999999999999375,bearish,39.99999999999875,bearish
2018-08-17,1,2018-08-16,2018-08-17,66.0,65.96,-0.04000000000000625,-2.0000000000003126,bearish,-6.000000000000625,bearish
2018-08-20,1,2018-08-17,2018-08-20,66.39,66.63,0.23999999999999488,11.999999999999744,bearish,21.99999999999949,bearish
2018-08-21,1,2018-08-20,2018-08-21,66.75,67.16,0.4099999999999966,20.49999999999983,bearish,38.99999999999966,bearish
2018-08-22,1,2018-08-21,2018-08-22,67.16000000000001,67.44,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
2018-08-23,1,2018-08-22,2018-08-23,67.42,67.05999999999999,-0.36000000000001364,-18.000000000000682,bearish,-38.000000000001364,bearish
2018-08-24,1,2018-08-23,2018-08-24,66.94000000000001,67.22,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
2018-08-27,1,2018-08-24,2018-08-27,67.33,67.89999999999999,0.5699999999999932,28.49999999999966,bearish,54.99999999999932,bearish
