date,side,entry_time,exit_time,entry,exit,pts,r_mult,regime,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,66.37,66.57,0.19999999999998863,9.999999999999432,neutral,17.999999999998863,unfiltered
2016-09-29,1,2016-09-28,2016-09-29,66.72,66.69,-0.030000000000001137,-1.5000000000000568,neutral,-5.000000000000114,unfiltered
2016-09-30,1,2016-09-29,2016-09-30,65.66000000000001,66.07,0.4099999999999824,20.49999999999912,neutral,38.99999999999824,unfiltered
2016-10-03,1,2016-09-30,2016-10-03,66.60000000000001,66.33999999999999,-0.2600000000000193,-13.000000000000966,neutral,-28.000000000001933,unfiltered
2016-10-04,1,2016-10-03,2016-10-04,66.52000000000001,66.19999999999999,-0.3200000000000216,-16.00000000000108,neutral,-34.00000000000216,unfiltered
2016-10-05,1,2016-10-04,2016-10-05,66.61,66.88,0.269999999999996,13.499999999999801,neutral,24.999999999999602,unfiltered
2016-10-06,1,2016-10-05,2016-10-06,67.7,67.72,0.01999999999999602,0.999999999999801,neutral,-3.979039320256561e-13,unfiltered
2016-10-07,1,2016-10-06,2016-10-07,67.88000000000001,67.78,-0.10000000000000853,-5.000000000000426,neutral,-12.000000000000853,unfiltered
2016-10-10,1,2016-10-07,2016-10-10,68.12,68.33,0.20999999999999375,10.499999999999687,neutral,18.999999999999375,unfiltered
2016-10-11,1,2016-10-10,2016-10-11,68.65,68.49,-0.1600000000000108,-8.00000000000054,neutral,-18.00000000000108,unfiltered
2016-10-12,1,2016-10-11,2016-10-12,68.32000000000001,68.25,-0.07000000000000739,-3.5000000000003695,neutral,-9.000000000000739,unfiltered
2016-10-13,1,2016-10-12,2016-10-13,68.14,67.44999999999999,-0.6900000000000119,-34.5000000000006,neutral,-71.0000000000012,unfiltered
2016-10-14,1,2016-10-13,2016-10-14,67.75,68.78999999999999,1.039999999999992,51.9999999999996,neutral,101.9999999999992,unfiltered
2016-10-17,1,2016-10-14,2016-10-17,67.53,67.41,-0.12000000000000455,-6.000000000000227,neutral,-14.000000000000455,unfiltered
2016-10-18,1,2016-10-17,2016-10-18,67.18,67.83999999999999,0.6599999999999824,32.99999999999912,neutral,63.99999999999824,unfiltered
2016-10-19,1,2016-10-18,2016-10-19,67.71000000000001,67.8,0.0899999999999892,4.49999999999946,neutral,6.99999999999892,unfiltered
2016-10-20,1,2016-10-19,2016-10-20,68.36,68.07,-0.29000000000000625,-14.500000000000313,neutral,-31.000000000000625,unfiltered
2016-10-21,1,2016-10-20,2016-10-21,68.27000000000001,67.8,-0.4700000000000131,-23.500000000000654,neutral,-49.00000000000131,unfiltered
2016-10-24,1,2016-10-21,2016-10-24,68.5,68.96,0.45999999999999375,22.999999999999687,neutral,43.999999999999375,unfiltered
2016-10-25,1,2016-10-24,2016-10-25,68.88000000000001,68.86999999999999,-0.010000000000019327,-0.5000000000009663,neutral,-3.0000000000019327,unfiltered
2016-10-26,1,2016-10-25,2016-10-26,68.81,68.36,-0.45000000000000284,-22.500000000000142,neutral,-47.000000000000284,unfiltered
2016-10-27,1,2016-10-26,2016-10-27,69.14,69.47999999999999,0.3399999999999892,16.99999999999946,neutral,31.99999999999892,unfiltered
2016-10-28,1,2016-10-27,2016-10-28,69.24000000000001,69.52,0.2799999999999869,13.999999999999346,neutral,25.999999999998693,unfiltered
2016-10-31,1,2016-10-28,2016-10-31,69.12,69.42,0.29999999999999716,14.999999999999858,neutral,27.999999999999716,unfiltered
2016-11-01,1,2016-10-31,2016-11-01,69.27000000000001,69.47,0.19999999999998863,9.999999999999432,neutral,17.999999999998863,unfiltered
2016-11-02,1,2016-11-01,2016-11-02,68.98,68.64,-0.3400000000000034,-17.00000000000017,neutral,-36.00000000000034,unfiltered
2016-11-03,1,2016-11-02,2016-11-03,68.69000000000001,68.85,0.15999999999998238,7.999999999999119,neutral,13.999999999998238,unfiltered
2016-11-04,1,2016-11-03,2016-11-04,68.39,68.47999999999999,0.0899999999999892,4.49999999999946,neutral,6.99999999999892,unfiltered
2016-11-07,1,2016-11-04,2016-11-07,67.77000000000001,69.07,1.299999999999983,64.99999999999915,neutral,127.9999999999983,unfiltered
2016-11-08,1,2016-11-07,2016-11-08,69.89,69.69,-0.20000000000000284,-10.000000000000142,neutral,-22.000000000000284,unfiltered
2016-11-09,1,2016-11-08,2016-11-09,70.04,71.44999999999999,1.4099999999999824,70.49999999999912,neutral,138.99999999999824,unfiltered
2016-11-10,1,2016-11-09,2016-11-10,73.26,74.21,0.9499999999999886,47.49999999999943,neutral,92.99999999999886,unfiltered
2016-11-11,1,2016-11-10,2016-11-11,76.66000000000001,76.28999999999999,-0.37000000000001876,-18.500000000000938,neutral,-39.000000000001876,unfiltered
2016-11-14,1,2016-11-11,2016-11-14,76.7,77.24,0.539999999999992,26.999999999999602,neutral,51.999999999999204,unfiltered
2016-11-15,1,2016-11-14,2016-11-15,79.52000000000001,78.36,-1.1600000000000108,-58.00000000000054,neutral,-118.00000000000108,unfiltered
2016-11-16,1,2016-11-15,2016-11-16,79.37,78.21,-1.1600000000000108,-58.00000000000054,neutral,-118.00000000000108,unfiltered
2016-11-17,1,2016-11-16,2016-11-17,77.41000000000001,77.92,0.5099999999999909,25.499999999999545,neutral,48.99999999999909,unfiltered
2016-11-18,1,2016-11-17,2016-11-18,78.03,77.94999999999999,-0.0800000000000125,-4.000000000000625,neutral,-10.00000000000125,unfiltered
2016-11-21,1,2016-11-18,2016-11-21,77.72,77.99,0.269999999999996,13.499999999999801,neutral,24.999999999999602,unfiltered
2016-11-22,1,2016-11-21,2016-11-22,78.06,78.33,0.269999999999996,13.499999999999801,neutral,24.999999999999602,unfiltered
2016-11-23,1,2016-11-22,2016-11-23,78.54,78.83,0.28999999999999204,14.499999999999602,neutral,26.999999999999204,unfiltered
2016-11-25,1,2016-11-23,2016-11-25,78.87,79.08999999999999,0.21999999999998465,10.999999999999233,neutral,19.999999999998465,unfiltered
2016-11-28,1,2016-11-25,2016-11-28,78.84,78.17,-0.6700000000000017,-33.500000000000085,neutral,-69.00000000000017,unfiltered
2016-11-29,1,2016-11-28,2016-11-29,78.33,78.38,0.04999999999999716,2.499999999999858,neutral,2.999999999999716,unfiltered
2016-11-30,1,2016-11-29,2016-11-30,78.93,79.91,0.9799999999999898,48.99999999999949,neutral,95.99999999999898,unfiltered
2016-12-01,1,2016-11-30,2016-12-01,80.18,80.64,0.45999999999999375,22.999999999999687,neutral,43.999999999999375,unfiltered
2016-12-02,1,2016-12-01,2016-12-02,81.80000000000001,81.78999999999999,-0.010000000000019327,-0.5000000000009663,neutral,-3.0000000000019327,unfiltered
2016-12-05,1,2016-12-02,2016-12-05,81.61,82.28999999999999,0.6799999999999926,33.99999999999963,neutral,65.99999999999926,unfiltered
2016-12-06,1,2016-12-05,2016-12-06,83.27000000000001,83.58999999999999,0.31999999999997897,15.999999999998948,neutral,29.999999999997897,unfiltered
2016-12-07,1,2016-12-06,2016-12-07,83.7,83.53999999999999,-0.1600000000000108,-8.00000000000054,neutral,-18.00000000000108,unfiltered
2016-12-08,1,2016-12-07,2016-12-08,84.08,84.22,0.14000000000000057,7.000000000000028,neutral,12.000000000000057,unfiltered
2016-12-09,1,2016-12-08,2016-12-09,85.13000000000001,85.00999999999999,-0.12000000000001876,-6.000000000000938,neutral,-14.000000000001876,unfiltered
2016-12-12,1,2016-12-09,2016-12-12,85.5,85.35,-0.15000000000000568,-7.500000000000284,neutral,-17.00000000000057,unfiltered
2016-12-13,1,2016-12-12,2016-12-13,84.74000000000001,84.82,0.07999999999998408,3.999999999999204,neutral,5.999999999998408,unfiltered
2016-12-14,1,2016-12-13,2016-12-14,84.77000000000001,83.86999999999999,-0.9000000000000199,-45.000000000000995,neutral,-92.00000000000199,unfiltered
2016-12-15,1,2016-12-14,2016-12-15,84.74000000000001,85.22,0.47999999999998977,23.99999999999949,neutral,45.99999999999898,unfiltered
2016-12-16,1,2016-12-15,2016-12-16,86.01,86.28,0.269999999999996,13.499999999999801,neutral,24.999999999999602,unfiltered
2016-12-19,1,2016-12-16,2016-12-19,84.95,84.78999999999999,-0.1600000000000108,-8.00000000000054,neutral,-18.00000000000108,unfiltered
2016-12-20,1,2016-12-19,2016-12-20,85.44000000000001,85.71,0.2699999999999818,13.49999999999909,neutral,24.99999999999818,unfiltered
2016-12-21,1,2016-12-20,2016-12-21,86.54,86.42,-0.12000000000000455,-6.000000000000227,neutral,-14.000000000000455,unfiltered
2016-12-22,1,2016-12-21,2016-12-22,86.76,86.42999999999999,-0.3300000000000125,-16.500000000000625,neutral,-35.00000000000125,unfiltered
2016-12-23,1,2016-12-22,2016-12-23,86.9,86.99,0.0899999999999892,4.49999999999946,neutral,6.99999999999892,unfiltered
2016-12-27,1,2016-12-23,2016-12-27,87.06,87.03999999999999,-0.020000000000010232,-1.0000000000005116,neutral,-4.000000000001023,unfiltered
2016-12-28,1,2016-12-27,2016-12-28,87.14,87.14999999999999,0.009999999999990905,0.49999999999954525,neutral,-1.0000000000009095,unfiltered
2016-12-29,1,2016-12-28,2016-12-29,86.51,86.57,0.05999999999998806,2.999999999999403,neutral,3.9999999999988063,unfiltered
2016-12-30,1,2016-12-29,2016-12-30,85.9,86.08999999999999,0.18999999999998352,9.499999999999176,neutral,16.99999999999835,unfiltered
2017-01-03,1,2016-12-30,2017-01-03,86.30000000000001,87.33,1.029999999999987,51.499999999999346,neutral,100.99999999999869,unfiltered
2017-01-04,1,2017-01-03,2017-01-04,87.24000000000001,86.94999999999999,-0.29000000000002046,-14.500000000001023,neutral,-31.000000000002046,unfiltered
2017-01-05,1,2017-01-04,2017-01-05,86.92,86.8,-0.12000000000000455,-6.000000000000227,neutral,-14.000000000000455,unfiltered
2017-01-06,1,2017-01-05,2017-01-06,86.12,86.38,0.2599999999999909,12.999999999999545,neutral,23.99999999999909,unfiltered
2017-01-09,1,2017-01-06,2017-01-09,86.13000000000001,85.71,-0.4200000000000159,-21.000000000000796,neutral,-44.00000000000159,unfiltered
2017-01-10,1,2017-01-09,2017-01-10,86.19000000000001,86.11,-0.0800000000000125,-4.000000000000625,neutral,-10.00000000000125,unfiltered
2017-01-11,1,2017-01-10,2017-01-11,86.44000000000001,86.42,-0.020000000000010232,-1.0000000000005116,neutral,-4.000000000001023,unfiltered
2017-01-12,1,2017-01-11,2017-01-12,87.09,86.8,-0.29000000000000625,-14.500000000000313,neutral,-31.000000000000625,unfiltered
2017-01-13,1,2017-01-12,2017-01-13,86.25,87.1,0.8499999999999943,42.499999999999716,neutral,82.99999999999943,unfiltered
2017-01-17,1,2017-01-13,2017-01-17,86.71000000000001,84.92,-1.7900000000000063,-89.50000000000031,neutral,-181.00000000000063,unfiltered
2017-01-18,1,2017-01-17,2017-01-18,83.56,83.61999999999999,0.05999999999998806,2.999999999999403,neutral,3.9999999999988063,unfiltered
2017-01-19,1,2017-01-18,2017-01-19,83.95,84.05,0.09999999999999432,4.999999999999716,neutral,7.999999999999432,unfiltered
2017-01-20,1,2017-01-19,2017-01-20,83.31,83.42,0.10999999999999943,5.499999999999972,bullish,8.999999999999943,unfiltered
