date,side,entry_time,exit_time,entry,exit,pts,r_mult,regime,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,215.57999999999998,215.82000000000002,0.24000000000003752,12.000000000001876,neutral,22.00000000000375,unfiltered
2016-09-29,1,2016-09-28,2016-09-29,216.64999999999998,216.4,-0.24999999999997158,-12.499999999998579,neutral,-26.999999999997158,unfiltered
2016-09-30,1,2016-09-29,2016-09-30,214.69,215.64000000000001,0.950000000000017,47.50000000000085,neutral,93.0000000000017,unfiltered
2016-10-03,1,2016-09-30,2016-10-03,216.31,215.81,-0.5,-25.0,neutral,-52.0,unfiltered
2016-10-04,1,2016-10-03,2016-10-04,215.79,215.9,0.11000000000001364,5.500000000000682,neutral,9.000000000001364,unfiltered
2016-10-05,1,2016-10-04,2016-10-05,214.69,215.4,0.710000000000008,35.5000000000004,neutral,69.0000000000008,unfiltered
2016-10-06,1,2016-10-05,2016-10-06,215.64,215.36,-0.2799999999999727,-13.999999999998636,neutral,-29.99999999999727,unfiltered
2016-10-07,1,2016-10-06,2016-10-07,215.79,216.09,0.30000000000001137,15.000000000000568,neutral,28.000000000001137,unfiltered
2016-10-10,1,2016-10-07,2016-10-10,215.04999999999998,216.14000000000001,1.0900000000000318,54.50000000000159,neutral,107.00000000000318,unfiltered
2016-10-11,1,2016-10-10,2016-10-11,216.17,215.65,-0.5199999999999818,-25.99999999999909,neutral,-53.99999999999818,unfiltered
2016-10-12,1,2016-10-11,2016-10-12,213.44,213.58,0.14000000000001478,7.000000000000739,neutral,12.000000000001478,unfiltered
2016-10-13,1,2016-10-12,2016-10-13,213.72,212.15,-1.5699999999999932,-78.49999999999966,neutral,-158.99999999999932,unfiltered
2016-10-14,1,2016-10-13,2016-10-14,213.01999999999998,214.15,1.1300000000000239,56.500000000001194,neutral,111.00000000000239,unfiltered
2016-10-17,1,2016-10-14,2016-10-17,213.13,213.08,-0.04999999999998295,-2.4999999999991473,neutral,-6.999999999998295,unfiltered
2016-10-18,1,2016-10-17,2016-10-18,212.39,214.25,1.8600000000000136,93.00000000000068,neutral,184.00000000000136,unfiltered
2016-10-19,1,2016-10-18,2016-10-19,213.72,214.02,0.30000000000001137,15.000000000000568,neutral,28.000000000001137,unfiltered
2016-10-20,1,2016-10-19,2016-10-20,214.29,213.86,-0.4299999999999784,-21.49999999999892,neutral,-44.99999999999784,unfiltered
2016-10-21,1,2016-10-20,2016-10-21,213.89,212.94,-0.9499999999999886,-47.49999999999943,neutral,-96.99999999999886,unfiltered
2016-10-24,1,2016-10-21,2016-10-24,213.98999999999998,214.95000000000002,0.9600000000000364,48.00000000000182,neutral,94.00000000000364,unfiltered
2016-10-25,1,2016-10-24,2016-10-25,214.89999999999998,214.68,-0.21999999999997044,-10.999999999998522,neutral,-23.999999999997044,unfiltered
2016-10-26,1,2016-10-25,2016-10-26,214.17999999999998,213.20000000000002,-0.9799999999999613,-48.99999999999807,neutral,-99.99999999999613,unfiltered
2016-10-27,1,2016-10-26,2016-10-27,213.75,214.57000000000002,0.8200000000000216,41.00000000000108,neutral,80.00000000000216,unfiltered
2016-10-28,1,2016-10-27,2016-10-28,213.17999999999998,213.13,-0.04999999999998295,-2.4999999999991473,neutral,-6.999999999998295,unfiltered
2016-10-31,1,2016-10-28,2016-10-31,212.54999999999998,212.92000000000002,0.37000000000003297,18.50000000000165,neutral,35.0000000000033,unfiltered
2016-11-01,1,2016-10-31,2016-11-01,212.56,212.92000000000002,0.36000000000001364,18.000000000000682,neutral,34.000000000001364,unfiltered
2016-11-02,1,2016-11-01,2016-11-02,211.01999999999998,210.66,-0.3599999999999852,-17.99999999999926,neutral,-37.99999999999852,unfiltered
2016-11-03,1,2016-11-02,2016-11-03,209.75,209.98000000000002,0.2300000000000182,11.50000000000091,neutral,21.00000000000182,unfiltered
2016-11-04,1,2016-11-03,2016-11-04,208.79,208.9,0.11000000000001364,5.500000000000682,neutral,9.000000000001364,unfiltered
2016-11-07,1,2016-11-04,2016-11-07,208.56,211.44,2.8799999999999955,143.99999999999977,neutral,285.99999999999955,unfiltered
2016-11-08,1,2016-11-07,2016-11-08,213.16,212.69,-0.46999999999999886,-23.499999999999943,neutral,-48.999999999999886,unfiltered
2016-11-09,1,2016-11-08,2016-11-09,214.12,212.36,-1.759999999999991,-87.99999999999955,neutral,-177.9999999999991,unfiltered
2016-11-10,1,2016-11-09,2016-11-10,216.39,217.31,0.9200000000000159,46.000000000000796,neutral,90.00000000000159,unfiltered
2016-11-11,1,2016-11-10,2016-11-11,216.92999999999998,216.10000000000002,-0.8299999999999557,-41.49999999999778,neutral,-84.99999999999557,unfiltered
2016-11-14,1,2016-11-11,2016-11-14,216.42999999999998,217.02,0.5900000000000318,29.50000000000159,neutral,57.00000000000318,unfiltered
2016-11-15,1,2016-11-14,2016-11-15,216.6,217.03,0.4300000000000068,21.50000000000034,neutral,41.00000000000068,unfiltered
2016-11-16,1,2016-11-15,2016-11-16,218.29,217.55,-0.7399999999999807,-36.999999999999034,neutral,-75.99999999999807,unfiltered
2016-11-17,1,2016-11-16,2016-11-17,217.88,218.04000000000002,0.160000000000025,8.00000000000125,neutral,14.000000000002501,unfiltered
2016-11-18,1,2016-11-17,2016-11-18,219.0,219.06,0.060000000000002274,3.0000000000001137,neutral,4.000000000000227,unfiltered
2016-11-21,1,2016-11-18,2016-11-21,218.51,219.16,0.6500000000000057,32.500000000000284,neutral,63.00000000000057,unfiltered
2016-11-22,1,2016-11-21,2016-11-22,220.16,220.5,0.3400000000000034,17.00000000000017,neutral,32.00000000000034,unfiltered
2016-11-23,1,2016-11-22,2016-11-23,220.59,219.97,-0.6200000000000045,-31.000000000000227,neutral,-64.00000000000045,unfiltered
2016-11-25,1,2016-11-23,2016-11-25,220.70999999999998,221.09,0.3800000000000239,19.000000000001194,neutral,36.00000000000239,unfiltered
2016-11-28,1,2016-11-25,2016-11-28,221.53,221.16,-0.37000000000000455,-18.500000000000227,neutral,-39.000000000000455,unfiltered
2016-11-29,1,2016-11-28,2016-11-29,220.48999999999998,220.52,0.03000000000002956,1.500000000001478,neutral,1.0000000000029559,unfiltered
2016-11-30,1,2016-11-29,2016-11-30,220.92,221.62,0.700000000000017,35.00000000000085,neutral,68.0000000000017,unfiltered
