date,side,entry_time,exit_time,entry,exit,pts,r_mult,regime,pnl,reason
2017-03-23,1,2017-03-22,2017-03-23,120.63000000000001,120.82,0.18999999999998352,9.499999999999176,bullish,16.99999999999835,bullish
2017-03-27,1,2017-03-24,2017-03-27,120.89,121.82,0.9299999999999926,46.49999999999963,bullish,90.99999999999926,bullish
2017-03-28,1,2017-03-27,2017-03-28,121.44000000000001,121.78,0.3399999999999892,16.99999999999946,bullish,31.99999999999892,bullish
2017-03-29,1,2017-03-28,2017-03-29,120.63000000000001,120.92999999999999,0.29999999999998295,14.999999999999147,bullish,27.999999999998295,bullish
2017-03-30,1,2017-03-29,2017-03-30,121.35000000000001,121.05999999999999,-0.29000000000002046,-14.500000000001023,bullish,-31.000000000002046,bullish
2017-04-03,1,2017-03-31,2017-04-03,120.72,120.44,-0.28000000000000114,-14.000000000000057,bullish,-30.000000000000114,bullish
2017-04-04,1,2017-04-03,2017-04-04,121.68,121.36,-0.3200000000000074,-16.00000000000037,bullish,-34.00000000000074,bullish
2017-04-05,1,2017-04-04,2017-04-05,121.02000000000001,120.55,-0.4700000000000131,-23.500000000000654,bullish,-49.00000000000131,bullish
2017-04-06,1,2017-04-05,2017-04-06,121.39,121.22999999999999,-0.1600000000000108,-8.00000000000054,bullish,-18.00000000000108,bullish
2017-04-07,1,2017-04-06,2017-04-07,121.21000000000001,121.83,0.6199999999999903,30.999999999999517,bullish,59.999999999999034,bullish
2017-04-10,1,2017-04-07,2017-04-10,120.72,121.13,0.4099999999999966,20.49999999999983,bullish,38.99999999999966,bullish
2017-04-11,1,2017-04-10,2017-04-11,121.28,121.80999999999999,0.5299999999999869,26.499999999999346,bullish,50.99999999999869,bullish
2017-04-12,1,2017-04-11,2017-04-12,122.43,122.5,0.06999999999999318,3.499999999999659,bullish,4.999999999999318,bullish
2017-04-13,1,2017-04-12,2017-04-13,123.10000000000001,123.44,0.3399999999999892,16.99999999999946,bullish,31.99999999999892,bullish
2017-04-17,1,2017-04-13,2017-04-17,123.48,123.44,-0.04000000000000625,-2.0000000000003126,bullish,-6.000000000000625,bullish
