date,side,entry_time,exit_time,entry,exit,pts,r_mult,regime,pnl,reason
2018-02-09,1,2018-02-08,2018-02-09,80.96000000000001,81.67999999999999,0.7199999999999847,35.99999999999923,bearish,69.99999999999847,bearish
2018-02-12,1,2018-02-09,2018-02-12,82.11,82.61999999999999,0.5099999999999909,25.499999999999545,bearish,48.99999999999909,bearish
2018-02-23,1,2018-02-22,2018-02-23,84.0,84.47999999999999,0.47999999999998977,23.99999999999949,bearish,45.99999999999898,bearish
2018-03-01,1,2018-02-28,2018-03-01,84.15,84.13,-0.020000000000010232,-1.0000000000005116,bearish,-4.000000000001023,bearish
2018-03-02,1,2018-03-01,2018-03-02,82.81,82.33999999999999,-0.4700000000000131,-23.500000000000654,bearish,-49.00000000000131,bearish
2018-03-05,1,2018-03-02,2018-03-05,83.65,83.25,-0.4000000000000057,-20.000000000000284,bearish,-42.00000000000057,bearish
2018-03-06,1,2018-03-05,2018-03-06,84.41000000000001,84.58,0.1699999999999875,8.499999999999375,bearish,14.99999999999875,bearish
2018-03-07,1,2018-03-06,2018-03-07,84.29,83.55,-0.7400000000000091,-37.000000000000455,bearish,-76.00000000000091,bearish
2018-03-08,1,2018-03-07,2018-03-08,84.72,84.92999999999999,0.20999999999999375,10.499999999999687,bearish,18.999999999999375,bearish
2018-03-09,1,2018-03-08,2018-03-09,85.29,85.78999999999999,0.4999999999999858,24.99999999999929,bearish,47.99999999999858,bearish
2018-03-13,1,2018-03-12,2018-03-13,86.15,86.46,0.30999999999998806,15.499999999999403,bearish,28.999999999998806,bearish
2018-03-14,1,2018-03-13,2018-03-14,86.26,86.53999999999999,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
2018-03-15,1,2018-03-14,2018-03-15,85.84,86.11999999999999,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
2018-03-16,1,2018-03-15,2018-03-16,85.7,85.36999999999999,-0.3300000000000125,-16.500000000000625,bearish,-35.00000000000125,bearish
2018-03-19,1,2018-03-16,2018-03-19,85.4,85.22,-0.18000000000000682,-9.000000000000341,bearish,-20.000000000000682,bearish
2018-03-20,1,2018-03-19,2018-03-20,84.02000000000001,84.19,0.1699999999999875,8.499999999999375,bearish,14.99999999999875,bearish
2018-03-21,1,2018-03-20,2018-03-21,84.14,84.25999999999999,0.11999999999999034,5.999999999999517,bearish,9.999999999999034,bearish
2018-03-22,1,2018-03-21,2018-03-22,83.78,82.94999999999999,-0.8300000000000125,-41.500000000000625,bearish,-85.00000000000125,bearish
2018-03-23,1,2018-03-22,2018-03-23,81.37,81.42999999999999,0.05999999999998806,2.999999999999403,bearish,3.9999999999988063,bearish
2018-03-26,1,2018-03-23,2018-03-26,79.68,80.55999999999999,0.8799999999999812,43.99999999999906,bearish,85.99999999999812,bearish
2018-03-27,1,2018-03-26,2018-03-27,81.33,81.6,0.269999999999996,13.499999999999801,bearish,24.999999999999602,bearish
2018-03-28,1,2018-03-27,2018-03-28,80.37,80.58,0.20999999999999375,10.499999999999687,bearish,18.999999999999375,bearish
2018-03-29,1,2018-03-28,2018-03-29,80.80000000000001,81.21,0.4099999999999824,20.49999999999912,bearish,38.99999999999824,bearish
2018-04-02,1,2018-03-29,2018-04-02,81.41000000000001,81.05,-0.36000000000001364,-18.000000000000682,bearish,-38.000000000001364,bearish
2018-04-03,1,2018-04-02,2018-04-03,79.56,79.97,0.4099999999999966,20.49999999999983,bearish,38.99999999999966,bearish
2018-04-04,1,2018-04-03,2018-04-04,80.77000000000001,79.78,-0.9900000000000091,-49.500000000000455,bearish,-101.00000000000091,bearish
2018-04-05,1,2018-04-04,2018-04-05,81.92,82.19,0.269999999999996,13.499999999999801,bearish,24.999999999999602,bearish
2018-04-06,1,2018-04-05,2018-04-06,81.86,81.16,-0.7000000000000028,-35.00000000000014,bearish,-72.00000000000028,bearish
2018-04-09,1,2018-04-06,2018-04-09,79.89,80.3,0.4099999999999966,20.49999999999983,bearish,38.99999999999966,bearish
2018-04-10,1,2018-04-09,2018-04-10,80.68,81.46,0.7799999999999869,38.999999999999346,bearish,75.99999999999869,bearish
2018-04-11,1,2018-04-10,2018-04-11,82.04,81.41,-0.6300000000000097,-31.500000000000483,bearish,-65.00000000000097,bearish
2018-04-12,1,2018-04-11,2018-04-12,81.37,81.78999999999999,0.4199999999999875,20.999999999999375,bearish,39.99999999999875,bearish
2018-04-13,1,2018-04-12,2018-04-13,81.92,82.28999999999999,0.36999999999999034,18.499999999999517,bearish,34.999999999999034,bearish
2018-04-16,1,2018-04-13,2018-04-16,81.88000000000001,82.46,0.5799999999999841,28.999999999999204,bearish,55.99999999999841,bearish
2018-04-17,1,2018-04-16,2018-04-17,82.53,83.14,0.6099999999999994,30.49999999999997,bearish,58.99999999999994,bearish
2018-04-18,1,2018-04-17,2018-04-18,83.17,83.36,0.18999999999999773,9.499999999999886,bearish,16.999999999999773,bearish
2018-04-19,1,2018-04-18,2018-04-19,83.24000000000001,83.07,-0.17000000000001592,-8.500000000000796,bearish,-19.00000000000159,bearish
2018-04-20,1,2018-04-19,2018-04-20,82.54,82.58999999999999,0.04999999999998295,2.4999999999991473,bearish,2.9999999999982947,bearish
2018-04-23,1,2018-04-20,2018-04-23,82.10000000000001,82.3,0.19999999999998863,9.999999999999432,bearish,17.999999999998863,bearish
2018-04-24,1,2018-04-23,2018-04-24,82.42,82.66,0.23999999999999488,11.999999999999744,bearish,21.99999999999949,bearish
2018-04-25,1,2018-04-24,2018-04-25,81.80000000000001,81.67999999999999,-0.12000000000001876,-6.000000000000938,bearish,-14.000000000001876,bearish
2018-04-26,1,2018-04-25,2018-04-26,82.17,82.39,0.21999999999999886,10.999999999999943,bearish,19.999999999999886,bearish
2018-04-27,1,2018-04-26,2018-04-27,83.21000000000001,83.13,-0.0800000000000125,-4.000000000000625,bearish,-10.00000000000125,bearish
2018-04-30,1,2018-04-27,2018-04-30,83.55000000000001,83.89,0.3399999999999892,16.99999999999946,bearish,31.99999999999892,bearish
2018-05-01,1,2018-04-30,2018-05-01,82.27000000000001,82.14999999999999,-0.12000000000001876,-6.000000000000938,bearish,-14.000000000001876,bearish
2018-05-02,1,2018-05-01,2018-05-02,82.23,81.78,-0.45000000000000284,-22.500000000000142,bearish,-47.000000000000284,bearish
2018-05-03,1,2018-05-02,2018-05-03,81.10000000000001,80.71,-0.3900000000000148,-19.50000000000074,bearish,-41.00000000000148,bearish
2018-05-04,1,2018-05-03,2018-05-04,80.37,80.11,-0.2600000000000051,-13.000000000000256,bearish,-28.00000000000051,bearish
2018-05-07,1,2018-05-04,2018-05-07,81.01,81.25,0.23999999999999488,11.999999999999744,bearish,21.99999999999949,bearish
2018-05-08,1,2018-05-07,2018-05-08,80.89,80.67,-0.21999999999999886,-10.999999999999943,bearish,-23.999999999999886,bearish
2018-05-09,1,2018-05-08,2018-05-09,80.28,80.41,0.12999999999999545,6.499999999999773,bearish,10.999999999999545,bearish
2018-05-10,1,2018-05-09,2018-05-10,80.74000000000001,81.05999999999999,0.31999999999997897,15.999999999998948,bearish,29.999999999997897,bearish
2018-05-11,1,2018-05-10,2018-05-11,81.82000000000001,81.86999999999999,0.04999999999998295,2.4999999999991473,bearish,2.9999999999982947,bearish
2018-05-30,1,2018-05-29,2018-05-30,82.10000000000001,82.64,0.539999999999992,26.999999999999602,bearish,51.999999999999204,bearish
2018-10-25,1,2018-10-24,2018-10-25,87.30000000000001,87.27,-0.030000000000015348,-1.5000000000007674,bearish,-5.000000000001535,bearish
2018-10-26,1,2018-10-25,2018-10-26,88.43,87.58999999999999,-0.8400000000000176,-42.00000000000088,bearish,-86.00000000000176,bearish
2018-10-29,1,2018-10-26,2018-10-29,87.43,88.42,0.9899999999999949,49.499999999999744,bearish,96.99999999999949,bearish
2018-10-30,1,2018-10-29,2018-10-30,87.65,87.72999999999999,0.07999999999998408,3.999999999999204,bearish,5.999999999998408,bearish
2018-10-31,1,2018-10-30,2018-10-31,88.59,89.28,0.6899999999999977,34.499999999999886,bearish,66.99999999999977,bearish
2018-11-01,1,2018-10-31,2018-11-01,88.71000000000001,88.99,0.2799999999999869,13.999999999999346,bearish,25.999999999998693,bearish
