date,side,entry_time,exit_time,entry,exit,pts,r_mult,regime,pnl,reason
2017-01-20,1,2017-01-19,2017-01-20,84.74000000000001,85.42999999999999,0.6899999999999835,34.499999999999176,bearish,66.99999999999835,bearish
2017-01-23,1,2017-01-20,2017-01-23,85.9,85.64,-0.2600000000000051,-13.000000000000256,bearish,-28.00000000000051,bearish
2017-01-24,1,2017-01-23,2017-01-24,84.98,84.97,-0.010000000000005116,-0.5000000000002558,bearish,-3.0000000000005116,bearish
2017-01-25,1,2017-01-24,2017-01-25,85.10000000000001,85.33,0.22999999999998977,11.499999999999488,bearish,20.999999999998977,bearish
2017-01-26,1,2017-01-25,2017-01-26,85.35000000000001,85.67999999999999,0.3299999999999841,16.499999999999204,bearish,30.99999999999841,bearish
2017-01-27,1,2017-01-26,2017-01-27,85.61,85.28999999999999,-0.3200000000000074,-16.00000000000037,bearish,-34.00000000000074,bearish
2017-01-30,1,2017-01-27,2017-01-30,85.52000000000001,85.41,-0.11000000000001364,-5.500000000000682,bearish,-13.000000000001364,bearish
2017-01-31,1,2017-01-30,2017-01-31,84.87,85.05999999999999,0.18999999999998352,9.499999999999176,bearish,16.99999999999835,bearish
2017-02-01,1,2017-01-31,2017-02-01,83.9,83.99,0.0899999999999892,4.49999999999946,bearish,6.99999999999892,bearish
2017-02-02,1,2017-02-01,2017-02-02,82.95,83.19999999999999,0.2499999999999858,12.49999999999929,bearish,22.99999999999858,bearish
2017-02-03,1,2017-02-02,2017-02-03,83.46000000000001,83.53999999999999,0.07999999999998408,3.999999999999204,bearish,5.999999999998408,bearish
2017-02-06,1,2017-02-03,2017-02-06,83.55000000000001,83.53999999999999,-0.010000000000019327,-0.5000000000009663,bearish,-3.0000000000019327,bearish
2017-02-07,1,2017-02-06,2017-02-07,83.32000000000001,83.22,-0.10000000000000853,-5.000000000000426,bearish,-12.000000000000853,bearish
2017-02-08,1,2017-02-07,2017-02-08,82.78,81.97999999999999,-0.8000000000000114,-40.00000000000057,bearish,-82.00000000000114,bearish
2017-02-09,1,2017-02-08,2017-02-09,81.49000000000001,81.82,0.3299999999999841,16.499999999999204,bearish,30.99999999999841,bearish
2017-02-10,1,2017-02-09,2017-02-10,81.85000000000001,82.25,0.3999999999999915,19.999999999999574,bearish,37.99999999999915,bearish
2017-02-13,1,2017-02-10,2017-02-13,82.53,82.74,0.20999999999999375,10.499999999999687,bearish,18.999999999999375,bearish
2017-02-14,1,2017-02-13,2017-02-14,83.01,82.86,-0.15000000000000568,-7.500000000000284,bearish,-17.00000000000057,bearish
2017-02-15,1,2017-02-14,2017-02-15,82.83,82.63,-0.20000000000000284,-10.000000000000142,bearish,-22.000000000000284,bearish
2017-02-16,1,2017-02-15,2017-02-16,83.17,83.11,-0.060000000000002274,-3.0000000000001137,bearish,-8.000000000000227,bearish
2017-02-17,1,2017-02-16,2017-02-17,82.31,82.08,-0.23000000000000398,-11.500000000000199,bearish,-25.000000000000398,bearish
2017-02-21,1,2017-02-17,2017-02-21,81.77000000000001,82.14,0.36999999999999034,18.499999999999517,bearish,34.999999999999034,bearish
2017-02-22,1,2017-02-21,2017-02-22,81.9,81.64,-0.2600000000000051,-13.000000000000256,bearish,-28.00000000000051,bearish
2017-02-23,1,2017-02-22,2017-02-23,80.94000000000001,81.39,0.44999999999998863,22.49999999999943,bearish,42.99999999999886,bearish
