date,ticker,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl
2017-05-01,DIA,1,2017-04-28,2017-05-01,209.09,209.48000000000002,0.3900000000000148,19.50000000000074,37.00000000000148
2017-05-01,QQQ,1,2017-04-28,2017-05-01,136.0,136.44,0.4399999999999977,21.999999999999886,41.99999999999977
2017-05-02,DIA,1,2017-05-01,2017-05-02,208.92999999999998,209.09,0.160000000000025,8.00000000000125,14.000000000002501
2017-05-02,QQQ,1,2017-05-01,2017-05-02,137.20999999999998,137.36,0.1500000000000341,7.500000000001705,13.00000000000341
2017-05-03,DIA,1,2017-05-02,2017-05-03,209.14,208.86,-0.2799999999999727,-13.999999999998636,-29.99999999999727
2017-05-03,QQQ,1,2017-05-02,2017-05-03,137.44,137.15,-0.28999999999999204,-14.499999999999602,-30.999999999999204
2017-05-04,DIA,1,2017-05-03,2017-05-04,209.23,209.64000000000001,0.410000000000025,20.50000000000125,39.0000000000025
2017-05-04,QQQ,1,2017-05-03,2017-05-04,137.0,136.99,-0.009999999999990905,-0.49999999999954525,-2.9999999999990905
2017-05-05,DIA,1,2017-05-04,2017-05-05,209.2,209.06,-0.13999999999998636,-6.999999999999318,-15.999999999998636
2017-05-05,QQQ,1,2017-05-04,2017-05-05,137.04999999999998,137.38,0.3300000000000125,16.500000000000625,31.00000000000125
2017-05-08,DIA,1,2017-05-05,2017-05-08,209.78,209.69,-0.09000000000000341,-4.5000000000001705,-11.000000000000341
2017-05-08,QQQ,1,2017-05-05,2017-05-08,137.54999999999998,137.59,0.040000000000020464,2.000000000001023,2.0000000000020464
2017-05-09,DIA,1,2017-05-08,2017-05-09,209.92999999999998,210.13,0.20000000000001705,10.000000000000853,18.000000000001705
2017-05-09,QQQ,1,2017-05-08,2017-05-09,137.85,138.0,0.15000000000000568,7.500000000000284,13.000000000000568
2017-05-10,DIA,1,2017-05-09,2017-05-10,209.63,209.18,-0.44999999999998863,-22.49999999999943,-46.99999999999886
2017-05-10,QQQ,1,2017-05-09,2017-05-10,138.32999999999998,138.39000000000001,0.060000000000030695,3.0000000000015348,4.0000000000030695
2017-05-11,DIA,1,2017-05-10,2017-05-11,209.48999999999998,209.13,-0.3599999999999852,-17.99999999999926,-37.99999999999852
2017-05-11,QQQ,1,2017-05-10,2017-05-11,138.41,138.01000000000002,-0.39999999999997726,-19.999999999998863,-41.999999999997726
2017-05-12,DIA,1,2017-05-11,2017-05-12,209.29,208.96,-0.3299999999999841,-16.499999999999204,-34.99999999999841
2017-05-12,QQQ,1,2017-05-11,2017-05-12,138.29999999999998,138.36,0.060000000000030695,3.0000000000015348,4.0000000000030695
2017-05-15,DIA,1,2017-05-12,2017-05-15,209.01999999999998,209.39000000000001,0.37000000000003297,18.50000000000165,35.0000000000033
2017-05-15,QQQ,1,2017-05-12,2017-05-15,138.60999999999999,138.62,0.010000000000019327,0.5000000000009663,-0.9999999999980673
2017-05-16,DIA,1,2017-05-15,2017-05-16,209.94,210.31,0.37000000000000455,18.500000000000227,35.000000000000455
2017-05-16,QQQ,1,2017-05-15,2017-05-16,139.04999999999998,139.34,0.29000000000002046,14.500000000001023,27.000000000002046
2017-05-17,DIA,1,2017-05-16,2017-05-17,209.95999999999998,208.11,-1.849999999999966,-92.4999999999983,-186.9999999999966
2017-05-17,QQQ,1,2017-05-16,2017-05-17,139.63,138.52,-1.1099999999999852,-55.49999999999926,-112.99999999999852
2017-05-19,DIA,1,2017-05-18,2017-05-19,206.97,206.74,-0.22999999999998977,-11.499999999999488,-24.999999999998977
2017-05-22,DIA,1,2017-05-19,2017-05-22,207.78,208.31,0.5300000000000011,26.500000000000057,51.000000000000114
