datetime,open,high,low,close,volume
2016-09-27 00:00:00+0000,37.35,37.61,37.19,37.61,49173218.0
2016-09-28 00:00:00+0000,37.67,37.98,37.33,37.95,59442223.0
2016-09-29 00:00:00+0000,37.76,37.85,37.18,37.29,66718399.0
2016-09-30 00:00:00+0000,37.45,37.59,37.28,37.45,60462131.0
2016-10-03 00:00:00+0000,37.53,37.78,37.38,37.71,61808930.0
2016-10-04 00:00:00+0000,37.73,37.82,37.16,37.29,81099807.0
2016-10-05 00:00:00+0000,37.67,37.88,37.55,37.83,53491806.0
2016-10-06 00:00:00+0000,37.63,37.89,37.54,37.86,39784645.0
2016-10-07 00:00:00+0000,37.91,37.96,37.4,37.69,59641671.0
2016-10-10 00:00:00+0000,37.94,38.19,37.88,38.1,45687732.0
2016-10-11 00:00:00+0000,37.44,37.46,37.03,37.22,67156692.0
2016-10-12 00:00:00+0000,37.1,37.29,36.98,37.15,44679999.0
2016-10-13 00:00:00+0000,36.58,36.96,36.38,36.82,61469983.0
2016-10-14 00:00:00+0000,37.13,37.21,36.81,36.88,45961269.0
2016-10-17 00:00:00+0000,36.83,36.98,36.79,36.84,32066969.0
2016-10-18 00:00:00+0000,37.48,37.56,37.34,37.49,42108250.0
2016-10-19 00:00:00+0000,37.67,37.8,37.53,37.72,38584825.0
2016-10-20 00:00:00+0000,37.59,37.77,37.47,37.61,45451196.0
2016-10-21 00:00:00+0000,37.39,37.63,37.34,37.6,23250416.0
2016-10-24 00:00:00+0000,37.9,37.93,37.66,37.76,24644380.0
2016-10-25 00:00:00+0000,37.73,37.87,37.67,37.8,26950086.0
2016-10-26 00:00:00+0000,37.38,37.58,37.28,37.4,45222422.0
2016-10-27 00:00:00+0000,37.43,37.43,37.05,37.08,38791225.0
2016-10-28 00:00:00+0000,37.12,37.28,36.75,36.93,60101627.0
2016-10-31 00:00:00+0000,37.1,37.27,37.04,37.14,53169956.0
2016-11-01 00:00:00+0000,37.28,37.29,36.55,36.84,74736671.0
2016-11-02 00:00:00+0000,36.7,36.8,36.23,36.4,72376301.0
2016-11-03 00:00:00+0000,36.44,36.55,36.17,36.3,56519400.0
2016-11-04 00:00:00+0000,36.01,36.18,35.88,35.93,66300326.0
2016-11-07 00:00:00+0000,36.8,37.27,36.75,37.23,73196952.0
2016-11-08 00:00:00+0000,37.05,37.67,36.97,37.47,74642666.0
2016-11-09 00:00:00+0000,36.34,36.69,36.09,36.26,168416507.0
2016-11-10 00:00:00+0000,35.92,36.05,35.04,35.22,180114807.0
2016-11-11 00:00:00+0000,34.55,34.84,34.12,34.55,140471627.0
2016-11-14 00:00:00+0000,34.32,34.5,34.03,34.3,88166857.0
2016-11-15 00:00:00+0000,34.57,35.05,34.55,34.99,71774578.0
2016-11-16 00:00:00+0000,34.58,34.79,34.51,34.7,58293141.0
2016-11-17 00:00:00+0000,34.82,35.02,34.68,34.75,56920979.0
2016-11-18 00:00:00+0000,34.82,34.89,34.57,34.59,36493043.0
2016-11-21 00:00:00+0000,34.9,35.03,34.83,34.93,31974642.0
2016-11-22 00:00:00+0000,35.44,35.48,35.2,35.46,42093254.0
2016-11-23 00:00:00+0000,34.96,35.13,34.88,35.08,35136968.0
2016-11-25 00:00:00+0000,35.28,35.31,35.2,35.25,23400302.0
2016-11-28 00:00:00+0000,35.39,35.53,35.34,35.39,41473853.0
2016-11-29 00:00:00+0000,35.28,35.55,35.24,35.44,27869576.0
2016-11-30 00:00:00+0000,35.6,35.65,35.48,35.5,67408237.0
2016-12-01 00:00:00+0000,35.4,35.48,35.07,35.08,61302116.0
2016-12-02 00:00:00+0000,35.08,35.29,35.06,35.12,48844235.0
2016-12-05 00:00:00+0000,35.29,35.44,35.27,35.41,39641408.0
2016-12-06 00:00:00+0000,35.52,35.61,35.43,35.6,39421867.0
2016-12-07 00:00:00+0000,35.83,36.25,35.75,36.2,54064286.0
2016-12-08 00:00:00+0000,36.1,36.41,36.08,36.36,53215975.0
2016-12-09 00:00:00+0000,36.14,36.28,36.07,36.17,43346169.0
2016-12-12 00:00:00+0000,35.97,36.1,35.83,35.93,32124965.0
2016-12-13 00:00:00+0000,36.14,36.41,36.13,36.33,39686976.0
