date,side,entry_time,exit_time,entry,exit,pts,r_mult,pre_holiday,pnl,reason
2016-11-23,1,2016-11-23,2016-11-23,34.97,35.07,0.10000000000000142,5.000000000000071,True,8.000000000000142,pre_holiday_only
2016-12-23,1,2016-12-23,2016-12-23,34.12,34.27,0.15000000000000568,7.500000000000284,True,13.000000000000568,pre_holiday_only
2016-12-30,1,2016-12-30,2016-12-30,35.26,35.0,-0.259999999999998,-12.9999999999999,True,-27.9999999999998,pre_holiday_only
2017-01-13,1,2017-01-13,2017-01-13,36.58,36.67,0.09000000000000341,4.5000000000001705,True,7.000000000000341,pre_holiday_only
2017-02-17,1,2017-02-17,2017-02-17,38.26,38.38,0.12000000000000455,6.000000000000227,True,10.000000000000455,pre_holiday_only
2017-04-13,1,2017-04-13,2017-04-13,39.41,39.13,-0.27999999999999403,-13.999999999999702,True,-29.999999999999403,pre_holiday_only
2017-05-26,1,2017-05-26,2017-05-26,41.669999999999995,41.730000000000004,0.06000000000000938,3.000000000000469,True,4.000000000000938,pre_holiday_only
2017-07-03,1,2017-07-03,2017-07-03,41.629999999999995,41.620000000000005,-0.009999999999990905,-0.49999999999954525,True,-2.9999999999990905,pre_holiday_only
2017-09-01,1,2017-09-01,2017-09-01,45.019999999999996,45.15,0.13000000000000256,6.500000000000128,True,11.000000000000256,pre_holiday_only
2017-11-22,1,2017-11-22,2017-11-22,47.839999999999996,47.800000000000004,-0.03999999999999204,-1.999999999999602,True,-5.999999999999204,pre_holiday_only
2017-12-22,1,2017-12-22,2017-12-22,46.3,46.49,0.19000000000000483,9.500000000000242,True,17.000000000000483,pre_holiday_only
2017-12-29,1,2017-12-29,2017-12-29,47.3,47.11,-0.18999999999999773,-9.499999999999886,True,-20.999999999999773,pre_holiday_only
2018-01-12,1,2018-01-12,2018-01-12,49.16,49.5,0.3400000000000034,17.00000000000017,True,32.00000000000034,pre_holiday_only
2018-02-16,1,2018-02-16,2018-02-16,49.35,49.53,0.17999999999999972,8.999999999999986,True,15.999999999999972,pre_holiday_only
2018-03-29,1,2018-03-29,2018-03-29,47.64,48.27,0.6300000000000026,31.500000000000128,True,61.000000000000256,pre_holiday_only
2018-05-25,1,2018-05-25,2018-05-25,46.239999999999995,46.42,0.18000000000000682,9.000000000000341,True,16.000000000000682,pre_holiday_only
2018-07-03,1,2018-07-03,2018-07-03,43.19,42.92,-0.269999999999996,-13.499999999999801,True,-28.999999999999602,pre_holiday_only
2018-08-31,1,2018-08-31,2018-08-31,42.9,43.160000000000004,0.2600000000000051,13.000000000000256,True,24.00000000000051,pre_holiday_only
2018-11-21,1,2018-11-21,2018-11-21,40.22,40.2,-0.01999999999999602,-0.999999999999801,True,-3.999999999999602,pre_holiday_only
2018-12-04,1,2018-12-04,2018-12-04,41.96,41.010000000000005,-0.9499999999999957,-47.49999999999979,True,-96.99999999999957,pre_holiday_only
2018-12-24,1,2018-12-24,2018-12-24,38.449999999999996,38.15,-0.29999999999999716,-14.999999999999858,True,-31.999999999999716,pre_holiday_only
2018-12-31,1,2018-12-31,2018-12-31,39.51,39.050000000000004,-0.45999999999999375,-22.999999999999687,True,-47.999999999999375,pre_holiday_only
2019-01-18,1,2019-01-18,2019-01-18,41.53,41.54,0.00999999999999801,0.4999999999999005,True,-1.000000000000199,pre_holiday_only
2019-02-15,1,2019-02-15,2019-02-15,42.14,42.080000000000005,-0.05999999999999517,-2.9999999999997584,True,-7.999999999999517,pre_holiday_only
2019-04-18,1,2019-04-18,2019-04-18,44.44,44.550000000000004,0.11000000000000654,5.500000000000327,True,9.000000000000654,pre_holiday_only
2019-05-24,1,2019-05-24,2019-05-24,40.23,39.940000000000005,-0.28999999999999204,-14.499999999999602,True,-30.999999999999204,pre_holiday_only
2019-07-03,1,2019-07-03,2019-07-03,43.12,43.22,0.10000000000000142,5.000000000000071,True,8.000000000000142,pre_holiday_only
2019-08-30,1,2019-08-30,2019-08-30,40.22,40.18,-0.03999999999999915,-1.9999999999999574,True,-5.999999999999915,pre_holiday_only
2019-11-27,1,2019-11-27,2019-11-27,43.1,43.21,0.10999999999999943,5.499999999999972,True,8.999999999999943,pre_holiday_only
2019-12-24,1,2019-12-24,2019-12-24,44.589999999999996,44.56,-0.02999999999999403,-1.4999999999997016,True,-4.999999999999403,pre_holiday_only
2019-12-31,1,2019-12-31,2019-12-31,44.809999999999995,44.86,0.05000000000000426,2.500000000000213,True,3.0000000000004263,pre_holiday_only
2020-01-17,1,2020-01-17,2020-01-17,46.129999999999995,46.22,0.09000000000000341,4.5000000000001705,True,7.000000000000341,pre_holiday_only
2020-02-14,1,2020-02-14,2020-02-14,44.47,44.190000000000005,-0.27999999999999403,-13.999999999999702,True,-29.999999999999403,pre_holiday_only
2020-04-09,1,2020-04-09,2020-04-09,35.87,35.34,-0.529999999999994,-26.4999999999997,True,-54.9999999999994,pre_holiday_only
2020-05-22,1,2020-05-22,2020-05-22,36.629999999999995,36.42,-0.20999999999999375,-10.499999999999687,True,-22.999999999999375,pre_holiday_only
2020-07-02,1,2020-07-02,2020-07-02,41.32,41.35,0.030000000000001137,1.5000000000000568,True,1.0000000000001137,pre_holiday_only
2020-09-04,1,2020-09-04,2020-09-04,44.43,44.330000000000005,-0.09999999999999432,-4.999999999999716,True,-11.999999999999432,pre_holiday_only
2020-11-25,1,2020-11-25,2020-11-25,49.41,49.56,0.15000000000000568,7.500000000000284,True,13.000000000000568,pre_holiday_only
2020-12-24,1,2020-12-24,2020-12-24,50.22,50.120000000000005,-0.09999999999999432,-4.999999999999716,True,-11.999999999999432,pre_holiday_only
2020-12-31,1,2020-12-31,2020-12-31,52.0,51.660000000000004,-0.3399999999999963,-16.999999999999815,True,-35.99999999999963,pre_holiday_only
2021-01-15,1,2021-01-15,2021-01-15,54.57,54.34,-0.22999999999999687,-11.499999999999844,True,-24.999999999999687,pre_holiday_only
2021-02-12,1,2021-02-12,2021-02-12,57.51,57.79,0.28000000000000114,14.000000000000057,True,26.000000000000114,pre_holiday_only
2021-04-01,1,2021-04-01,2021-04-01,54.129999999999995,53.85,-0.27999999999999403,-13.999999999999702,True,-29.999999999999403,pre_holiday_only
2021-05-28,1,2021-05-28,2021-05-28,54.669999999999995,54.86,0.19000000000000483,9.500000000000242,True,17.000000000000483,pre_holiday_only
2021-07-02,1,2021-07-02,2021-07-02,54.629999999999995,54.77,0.14000000000000767,7.000000000000384,True,12.000000000000767,pre_holiday_only
2021-09-03,1,2021-09-03,2021-09-03,52.96,53.11,0.14999999999999858,7.499999999999929,True,12.999999999999858,pre_holiday_only
2021-11-24,1,2021-11-24,2021-11-24,50.15,50.38,0.23000000000000398,11.500000000000199,True,21.000000000000398,pre_holiday_only
2021-12-23,1,2021-12-23,2021-12-23,48.55,48.71,0.1600000000000037,8.000000000000185,True,14.00000000000037,pre_holiday_only
2022-01-14,1,2022-01-14,2022-01-14,50.0,50.1,0.10000000000000142,5.000000000000071,True,8.000000000000142,pre_holiday_only
2022-02-18,1,2022-02-18,2022-02-18,49.04,48.71,-0.3299999999999983,-16.499999999999915,True,-34.99999999999983,pre_holiday_only
2022-04-14,1,2022-04-14,2022-04-14,44.58,44.22,-0.35999999999999943,-17.99999999999997,True,-37.99999999999994,pre_holiday_only
2022-05-27,1,2022-05-27,2022-05-27,41.87,42.04,0.1700000000000017,8.500000000000085,True,15.00000000000017,pre_holiday_only
2022-06-17,1,2022-06-17,2022-06-17,39.96,39.660000000000004,-0.29999999999999716,-14.999999999999858,True,-31.999999999999716,pre_holiday_only
2022-07-01,1,2022-07-01,2022-07-01,39.629999999999995,39.84,0.21000000000000796,10.500000000000398,True,19.000000000000796,pre_holiday_only
2022-09-02,1,2022-09-02,2022-09-02,39.059999999999995,38.75,-0.30999999999999517,-15.499999999999758,True,-32.99999999999952,pre_holiday_only
2022-11-23,1,2022-11-23,2022-11-23,37.699999999999996,37.940000000000005,0.2400000000000091,12.000000000000455,True,22.00000000000091,pre_holiday_only
2022-12-23,1,2022-12-23,2022-12-23,37.79,37.79,0.0,0.0,True,-2.0,pre_holiday_only
2022-12-30,1,2022-12-30,2022-12-30,38.15,37.89,-0.259999999999998,-12.9999999999999,True,-27.9999999999998,pre_holiday_only
2023-01-13,1,2023-01-13,2023-01-13,40.989999999999995,41.29,0.30000000000000426,15.000000000000213,True,28.000000000000426,pre_holiday_only
2023-02-17,1,2023-02-17,2023-02-17,39.68,39.67,-0.00999999999999801,-0.4999999999999005,True,-2.999999999999801,pre_holiday_only
2023-04-06,1,2023-04-06,2023-04-06,39.15,39.38,0.23000000000000398,11.500000000000199,True,21.000000000000398,pre_holiday_only
2023-05-26,1,2023-05-26,2023-05-26,38.669999999999995,38.99,0.3200000000000074,16.00000000000037,True,30.00000000000074,pre_holiday_only
2023-06-16,1,2023-06-16,2023-06-16,41.1,40.870000000000005,-0.22999999999999687,-11.499999999999844,True,-24.999999999999687,pre_holiday_only
2023-07-03,1,2023-07-03,2023-07-03,40.04,39.99,-0.04999999999999716,-2.499999999999858,True,-6.999999999999716,pre_holiday_only
2023-09-01,1,2023-09-01,2023-09-01,39.72,39.620000000000005,-0.09999999999999432,-4.999999999999716,True,-11.999999999999432,pre_holiday_only
2023-11-22,1,2023-11-22,2023-11-22,39.559999999999995,39.510000000000005,-0.04999999999999005,-2.4999999999995026,True,-6.999999999999005,pre_holiday_only
2023-12-22,1,2023-12-22,2023-12-22,39.269999999999996,39.370000000000005,0.10000000000000853,5.000000000000426,True,8.000000000000853,pre_holiday_only
2023-12-29,1,2023-12-29,2023-12-29,40.199999999999996,40.2,7.105427357601002e-15,3.552713678800501e-13,True,-1.9999999999992895,pre_holiday_only
2024-01-12,1,2024-01-12,2024-01-12,39.37,39.190000000000005,-0.1799999999999926,-8.99999999999963,True,-19.99999999999926,pre_holiday_only
2024-02-16,1,2024-02-16,2024-02-16,40.059999999999995,40.07,0.010000000000005116,0.5000000000002558,True,-0.9999999999994884,pre_holiday_only
2024-03-28,1,2024-03-28,2024-03-28,41.03,41.07,0.03999999999999915,1.9999999999999574,True,1.9999999999999147,pre_holiday_only
2024-05-24,1,2024-05-24,2024-05-24,42.98,43.010000000000005,0.030000000000008242,1.5000000000004121,True,1.0000000000008242,pre_holiday_only
2024-06-18,1,2024-06-18,2024-06-18,42.61,42.88,0.2700000000000031,13.500000000000156,True,25.000000000000313,pre_holiday_only
2024-07-03,1,2024-07-03,2024-07-03,43.11,43.440000000000005,0.3300000000000054,16.50000000000027,True,31.00000000000054,pre_holiday_only
2024-08-30,1,2024-08-30,2024-08-30,43.51,43.36,-0.14999999999999858,-7.499999999999929,True,-16.999999999999858,pre_holiday_only
2024-11-27,1,2024-11-27,2024-11-27,43.4,43.18,-0.21999999999999886,-10.999999999999943,True,-23.999999999999886,pre_holiday_only
2024-12-24,1,2024-12-24,2024-12-24,42.519999999999996,42.63,0.11000000000000654,5.500000000000327,True,9.000000000000654,pre_holiday_only
2024-12-31,1,2024-12-31,2024-12-31,41.949999999999996,41.81,-0.13999999999999346,-6.999999999999673,True,-15.999999999999346,pre_holiday_only
2025-01-08,1,2025-01-08,2025-01-08,41.75,41.79,0.03999999999999915,1.9999999999999574,True,1.9999999999999147,pre_holiday_only
2025-01-17,1,2025-01-17,2025-01-17,41.97,42.080000000000005,0.11000000000000654,5.500000000000327,True,9.000000000000654,pre_holiday_only
2025-02-14,1,2025-02-14,2025-02-14,44.39,44.4,0.00999999999999801,0.4999999999999005,True,-1.000000000000199,pre_holiday_only
2025-04-17,1,2025-04-17,2025-04-17,42.07,41.910000000000004,-0.1599999999999966,-7.9999999999998295,True,-17.99999999999966,pre_holiday_only
2025-05-23,1,2025-05-23,2025-05-23,45.93,46.22,0.28999999999999915,14.499999999999957,True,26.999999999999915,pre_holiday_only
2025-06-18,1,2025-06-18,2025-06-18,46.629999999999995,46.59,-0.03999999999999204,-1.999999999999602,True,-5.999999999999204,pre_holiday_only
2025-07-03,1,2025-07-03,2025-07-03,48.589999999999996,48.75,0.1600000000000037,8.000000000000185,True,14.00000000000037,pre_holiday_only
2025-08-29,1,2025-08-29,2025-08-29,49.82,49.85,0.030000000000001137,1.5000000000000568,True,1.0000000000001137,pre_holiday_only
2025-11-26,1,2025-11-26,2025-11-26,54.1,54.230000000000004,0.13000000000000256,6.500000000000128,True,11.000000000000256,pre_holiday_only
2025-12-24,1,2025-12-24,2025-12-24,54.41,54.410000000000004,7.105427357601002e-15,3.552713678800501e-13,True,-1.9999999999992895,pre_holiday_only
2025-12-31,1,2025-12-31,2025-12-31,54.91,54.7,-0.20999999999999375,-10.499999999999687,True,-22.999999999999375,pre_holiday_only
2026-01-16,1,2026-01-16,2026-01-16,57.989999999999995,57.86,-0.12999999999999545,-6.499999999999773,True,-14.999999999999545,pre_holiday_only
2026-02-13,1,2026-02-13,2026-02-13,60.73,61.11,0.38000000000000256,19.000000000000128,True,36.000000000000256,pre_holiday_only
2026-04-02,1,2026-04-02,2026-04-02,55.58,56.580000000000005,1.000000000000007,50.000000000000355,True,98.00000000000071,pre_holiday_only
2026-05-22,1,2026-05-22,2026-05-22,66.01,65.86999999999999,-0.14000000000001478,-7.000000000000739,True,-16.000000000001478,pre_holiday_only
2026-06-18,1,2026-06-18,2026-06-18,70.19000000000001,70.78,0.5899999999999892,29.49999999999946,True,56.99999999999892,pre_holiday_only
2026-07-02,1,2026-07-02,2026-07-02,66.54,65.69,-0.8500000000000085,-42.500000000000426,True,-87.00000000000085,pre_holiday_only
2026-09-04,1,2026-09-04,2026-09-04,67.74000000000001,68.69,0.9499999999999886,47.49999999999943,True,92.99999999999886,pre_holiday_only
