date,side,entry_time,exit_time,entry,exit,pts,r_mult,pre_holiday,pnl,reason
2016-11-23,1,2016-11-23,2016-11-23,219.98999999999998,220.69,0.700000000000017,35.00000000000085,True,68.0000000000017,pre_holiday_only
2016-12-23,1,2016-12-23,2016-12-23,225.44,225.70000000000002,0.2600000000000193,13.000000000000966,True,24.000000000001933,pre_holiday_only
2016-12-30,1,2016-12-30,2016-12-30,224.73999999999998,223.52,-1.2199999999999704,-60.99999999999852,True,-123.99999999999704,pre_holiday_only
2017-01-13,1,2017-01-13,2017-01-13,226.73999999999998,227.04000000000002,0.3000000000000398,15.00000000000199,True,28.00000000000398,pre_holiday_only
2017-02-17,1,2017-02-17,2017-02-17,233.95999999999998,235.08,1.120000000000033,56.00000000000165,True,110.0000000000033,pre_holiday_only
2017-04-13,1,2017-04-13,2017-04-13,233.64,232.5,-1.1399999999999864,-56.99999999999932,True,-115.99999999999864,pre_holiday_only
2017-05-26,1,2017-05-26,2017-05-26,241.56,241.70000000000002,0.14000000000001478,7.000000000000739,True,12.000000000001478,pre_holiday_only
2017-07-03,1,2017-07-03,2017-07-03,242.92,242.20000000000002,-0.7199999999999704,-35.99999999999852,True,-73.99999999999704,pre_holiday_only
2017-09-01,1,2017-09-01,2017-09-01,247.92999999999998,247.83,-0.0999999999999659,-4.999999999998295,True,-11.99999999999659,pre_holiday_only
2017-11-22,1,2017-11-22,2017-11-22,260.03999999999996,259.75,-0.2899999999999636,-14.499999999998181,True,-30.999999999996362,pre_holiday_only
2017-12-22,1,2017-12-22,2017-12-22,267.59999999999997,267.5,-0.0999999999999659,-4.999999999998295,True,-11.99999999999659,pre_holiday_only
2017-12-29,1,2017-12-29,2017-12-29,268.56,266.85,-1.7099999999999795,-85.49999999999898,True,-172.99999999999795,pre_holiday_only
2018-01-12,1,2018-01-12,2018-01-12,276.43,277.91,1.4800000000000182,74.00000000000091,True,146.00000000000182,pre_holiday_only
2018-02-16,1,2018-02-16,2018-02-16,272.32,273.1,0.7800000000000296,39.00000000000148,True,76.00000000000296,pre_holiday_only
2018-03-29,1,2018-03-29,2018-03-29,261.11,263.14,2.0299999999999727,101.49999999999864,True,200.99999999999727,pre_holiday_only
2018-05-25,1,2018-05-25,2018-05-25,272.19,272.14,-0.05000000000001137,-2.5000000000005684,True,-7.000000000001137,pre_holiday_only
2018-07-03,1,2018-07-03,2018-07-03,272.88,270.89,-1.990000000000009,-99.50000000000045,True,-201.0000000000009,pre_holiday_only
2018-08-31,1,2018-08-31,2018-08-31,289.84999999999997,290.3,0.4500000000000455,22.500000000002274,True,43.00000000000455,pre_holiday_only
2018-11-21,1,2018-11-21,2018-11-21,265.87,265.01,-0.8600000000000136,-43.00000000000068,True,-88.00000000000136,pre_holiday_only
2018-12-04,1,2018-12-04,2018-12-04,278.38,270.24,-8.139999999999986,-406.9999999999993,True,-815.9999999999986,pre_holiday_only
2018-12-24,1,2018-12-24,2018-12-24,239.04,234.33,-4.7099999999999795,-235.49999999999898,True,-472.99999999999795,pre_holiday_only
2018-12-31,1,2018-12-31,2018-12-31,249.57,249.91,0.3400000000000034,17.00000000000017,True,32.00000000000034,pre_holiday_only
2019-01-18,1,2019-01-18,2019-01-18,264.99,266.45,1.4599999999999795,72.99999999999898,True,143.99999999999795,pre_holiday_only
2019-02-15,1,2019-02-15,2019-02-15,276.34999999999997,277.36,1.0100000000000477,50.50000000000239,True,99.00000000000477,pre_holiday_only
2019-04-18,1,2019-04-18,2019-04-18,290.11,290.01,-0.10000000000002274,-5.000000000001137,True,-12.000000000002274,pre_holiday_only
2019-05-24,1,2019-05-24,2019-05-24,283.75,282.77,-0.9800000000000182,-49.00000000000091,True,-100.00000000000182,pre_holiday_only
2019-07-03,1,2019-07-03,2019-07-03,297.2,298.79,1.5900000000000318,79.50000000000159,True,157.00000000000318,pre_holiday_only
2019-08-30,1,2019-08-30,2019-08-30,294.23,292.44,-1.7900000000000205,-89.50000000000102,True,-181.00000000000205,pre_holiday_only
2019-11-27,1,2019-11-27,2019-11-27,314.62,315.47,0.8500000000000227,42.50000000000114,True,83.00000000000227,pre_holiday_only
2019-12-24,1,2019-12-24,2019-12-24,321.48,321.22,-0.2599999999999909,-12.999999999999545,True,-27.99999999999909,pre_holiday_only
2019-12-31,1,2019-12-31,2019-12-31,320.53,321.85,1.32000000000005,66.0000000000025,True,130.000000000005,pre_holiday_only
2020-01-17,1,2020-01-17,2020-01-17,331.7,331.94,0.2400000000000091,12.000000000000455,True,22.00000000000091,pre_holiday_only
2020-02-14,1,2020-02-14,2020-02-14,337.46999999999997,337.59000000000003,0.12000000000006139,6.0000000000030695,True,10.000000000006139,pre_holiday_only
2020-04-09,1,2020-04-09,2020-04-09,277.59,278.19,0.6000000000000227,30.000000000001137,True,58.000000000002274,pre_holiday_only
2020-05-22,1,2020-05-22,2020-05-22,294.58,295.43,0.8500000000000227,42.50000000000114,True,83.00000000000227,pre_holiday_only
