datetime,open,high,low,close,volume
2016-09-27 00:00:00+0000,52.89,53.26,52.86,53.11,10739368.0
2016-09-28 00:00:00+0000,53.22,53.32,52.96,53.2,8803931.0
2016-09-29 00:00:00+0000,53.17,53.2,52.64,52.68,14138814.0
2016-09-30 00:00:00+0000,52.91,53.39,52.91,53.21,14560963.0
2016-10-03 00:00:00+0000,53.12,53.16,52.77,52.87,10627534.0
2016-10-04 00:00:00+0000,52.83,52.87,52.31,52.42,12417988.0
2016-10-05 00:00:00+0000,52.51,52.6,52.24,52.37,12698243.0
2016-10-06 00:00:00+0000,52.24,52.6,52.09,52.47,14962615.0
2016-10-07 00:00:00+0000,52.49,52.6,51.96,52.33,10385305.0
2016-10-10 00:00:00+0000,52.45,52.64,52.23,52.33,8121019.0
2016-10-11 00:00:00+0000,52.31,52.33,51.87,52.06,18398213.0
2016-10-12 00:00:00+0000,52.15,52.48,52.05,52.35,6758257.0
2016-10-13 00:00:00+0000,51.99,52.51,51.93,52.36,18612995.0
2016-10-14 00:00:00+0000,52.38,52.62,52.28,52.37,8947820.0
2016-10-17 00:00:00+0000,52.39,52.46,52.09,52.12,6873357.0
2016-10-18 00:00:00+0000,52.36,52.58,52.27,52.28,7509007.0
2016-10-19 00:00:00+0000,52.23,52.27,51.9,51.98,7819341.0
2016-10-20 00:00:00+0000,51.95,52.13,51.82,51.95,11584447.0
2016-10-21 00:00:00+0000,52.2,52.3,52.01,52.23,11750480.0
2016-10-24 00:00:00+0000,52.29,52.69,52.29,52.57,6612415.0
2016-10-25 00:00:00+0000,52.79,52.89,52.71,52.76,8731138.0
2016-10-26 00:00:00+0000,52.8,52.9,52.61,52.69,10809404.0
2016-10-27 00:00:00+0000,52.67,52.88,52.37,52.45,12378228.0
2016-10-28 00:00:00+0000,52.41,52.85,52.32,52.67,12054037.0
2016-10-31 00:00:00+0000,52.71,52.93,52.66,52.8,7929581.0
2016-11-01 00:00:00+0000,52.8,52.89,52.4,52.57,10660143.0
2016-11-02 00:00:00+0000,52.44,52.74,52.4,52.44,8919548.0
2016-11-03 00:00:00+0000,52.6,52.61,52.01,52.08,10057463.0
2016-11-04 00:00:00+0000,52.04,52.08,51.57,51.61,10967677.0
2016-11-07 00:00:00+0000,52.05,52.51,52.02,52.48,9257149.0
2016-11-08 00:00:00+0000,52.1,52.86,52.05,52.7,12371443.0
2016-11-09 00:00:00+0000,51.71,52.15,51.27,51.98,32112142.0
2016-11-10 00:00:00+0000,52.0,52.0,50.49,50.59,51273460.0
2016-11-11 00:00:00+0000,50.45,50.71,50.21,50.54,18748925.0
2016-11-14 00:00:00+0000,50.54,50.58,50.25,50.45,17567606.0
2016-11-15 00:00:00+0000,50.55,50.84,50.46,50.76,15476527.0
2016-11-16 00:00:00+0000,50.77,50.99,50.69,50.77,14803391.0
2016-11-17 00:00:00+0000,50.73,50.78,50.45,50.68,14886617.0
2016-11-18 00:00:00+0000,50.67,50.72,50.43,50.5,11816362.0
2016-11-21 00:00:00+0000,50.57,50.86,50.34,50.84,11477937.0
2016-11-22 00:00:00+0000,50.99,51.2,50.96,51.1,11209685.0
2016-11-23 00:00:00+0000,50.9,51.07,50.75,50.82,14106191.0
2016-11-25 00:00:00+0000,50.93,51.23,50.93,51.22,6840373.0
2016-11-28 00:00:00+0000,51.21,51.42,51.08,51.33,12480225.0
2016-11-29 00:00:00+0000,51.34,51.46,51.22,51.4,7363844.0
2016-11-30 00:00:00+0000,51.14,51.29,50.57,50.58,15340658.0
2016-12-01 00:00:00+0000,50.39,50.44,49.98,50.25,25108790.0
2016-12-02 00:00:00+0000,50.38,50.61,50.35,50.57,17298125.0
2016-12-05 00:00:00+0000,50.58,50.71,50.48,50.63,15784920.0
2016-12-06 00:00:00+0000,50.61,50.78,50.58,50.78,12115309.0
2016-12-07 00:00:00+0000,50.76,51.55,50.75,51.51,10492665.0
2016-12-08 00:00:00+0000,51.31,51.55,51.21,51.3,14960099.0
2016-12-09 00:00:00+0000,51.36,52.05,51.33,52.04,12491382.0
2016-12-12 00:00:00+0000,51.92,52.3,51.91,52.25,9229635.0
2016-12-13 00:00:00+0000,52.35,52.61,52.23,52.49,9371094.0
2016-12-14 00:00:00+0000,52.52,52.69,51.78,51.92,20937027.0
2016-12-15 00:00:00+0000,51.92,52.31,51.76,52.14,14921118.0
2016-12-16 00:00:00+0000,51.92,52.08,51.81,52.05,14831536.0
2016-12-19 00:00:00+0000,52.11,52.23,51.97,52.15,7061514.0
2016-12-20 00:00:00+0000,52.17,52.17,51.81,52.05,11798050.0
2016-12-21 00:00:00+0000,52.0,52.29,52.0,52.04,6115384.0
2016-12-22 00:00:00+0000,51.98,52.07,51.86,51.96,6017471.0
2016-12-23 00:00:00+0000,51.93,52.1,51.92,52.06,6172638.0
2016-12-27 00:00:00+0000,52.02,52.15,51.96,52.05,14490846.0
2016-12-28 00:00:00+0000,52.01,52.04,51.73,51.73,6250710.0
2016-12-29 00:00:00+0000,51.76,52.03,51.73,51.97,9397732.0
2016-12-30 00:00:00+0000,51.98,52.08,51.6,51.71,6914292.0
