datetime,open,high,low,close,volume
2016-09-27 00:00:00+0000,72.19,72.78,72.01,72.77,6979205.0
2016-09-28 00:00:00+0000,72.84,72.85,72.28,72.66,4764404.0
2016-09-29 00:00:00+0000,72.57,72.66,71.17,71.38,8466753.0
2016-09-30 00:00:00+0000,71.53,72.31,71.48,72.11,6488746.0
2016-10-03 00:00:00+0000,71.79,72.05,71.49,72.05,6683124.0
2016-10-04 00:00:00+0000,71.83,72.27,71.54,71.91,8378833.0
2016-10-05 00:00:00+0000,72.1,72.35,71.98,72.19,9720222.0
2016-10-06 00:00:00+0000,71.95,72.02,71.49,71.92,6856934.0
2016-10-07 00:00:00+0000,71.85,72.21,71.45,71.87,6669487.0
2016-10-10 00:00:00+0000,72.0,72.42,72.0,72.2,5938533.0
2016-10-11 00:00:00+0000,71.8,71.85,70.08,70.39,11847710.0
2016-10-12 00:00:00+0000,70.43,70.71,69.99,70.06,10852660.0
2016-10-13 00:00:00+0000,69.65,70.35,69.42,70.09,8297798.0
2016-10-14 00:00:00+0000,70.25,70.44,69.6,69.62,7258770.0
2016-10-17 00:00:00+0000,69.71,69.77,69.24,69.39,5820455.0
2016-10-18 00:00:00+0000,70.03,70.37,69.86,70.22,4976031.0
2016-10-19 00:00:00+0000,70.31,70.37,69.93,69.96,4137227.0
2016-10-20 00:00:00+0000,70.05,70.51,69.92,70.29,6260596.0
2016-10-21 00:00:00+0000,69.93,69.93,69.53,69.71,4291012.0
2016-10-24 00:00:00+0000,70.02,70.09,69.58,69.58,6003261.0
2016-10-25 00:00:00+0000,69.5,69.71,69.29,69.38,7196460.0
2016-10-26 00:00:00+0000,69.27,69.38,68.67,68.96,7241485.0
2016-10-27 00:00:00+0000,69.47,69.76,69.1,69.28,6690898.0
2016-10-28 00:00:00+0000,68.45,68.64,67.48,67.78,16895974.0
2016-10-31 00:00:00+0000,67.76,67.77,67.33,67.36,11159362.0
2016-11-01 00:00:00+0000,67.4,67.59,66.48,67.0,12317786.0
2016-11-02 00:00:00+0000,66.88,67.39,66.65,66.65,15137765.0
2016-11-03 00:00:00+0000,66.87,67.15,65.98,66.02,17556238.0
2016-11-04 00:00:00+0000,66.2,67.03,66.13,66.48,17970228.0
2016-11-07 00:00:00+0000,67.2,68.37,67.16,68.18,13013955.0
2016-11-08 00:00:00+0000,67.83,68.83,67.65,68.37,14001381.0
2016-11-09 00:00:00+0000,71.23,71.57,69.26,70.78,46439610.0
2016-11-10 00:00:00+0000,71.91,72.08,71.06,71.56,26866387.0
2016-11-11 00:00:00+0000,71.36,71.36,70.18,70.49,15093035.0
2016-11-14 00:00:00+0000,70.8,70.88,70.13,70.27,13347502.0
2016-11-15 00:00:00+0000,70.54,70.54,69.81,70.47,9750778.0
2016-11-16 00:00:00+0000,70.29,70.63,70.08,70.17,7078641.0
2016-11-17 00:00:00+0000,70.22,70.47,70.01,70.45,8933604.0
2016-11-18 00:00:00+0000,70.51,70.7,69.66,69.7,10506764.0
2016-11-21 00:00:00+0000,69.85,70.02,69.76,69.95,6481644.0
2016-11-22 00:00:00+0000,69.92,69.92,68.47,68.94,14091549.0
2016-11-23 00:00:00+0000,67.89,69.22,67.79,69.21,10329562.0
2016-11-25 00:00:00+0000,69.41,69.54,69.2,69.48,3876609.0
2016-11-28 00:00:00+0000,69.35,69.36,68.85,68.96,6204898.0
2016-11-29 00:00:00+0000,69.12,69.61,69.11,69.41,6743521.0
2016-11-30 00:00:00+0000,69.46,69.48,68.72,68.75,8003967.0
2016-12-01 00:00:00+0000,68.83,69.0,68.05,68.25,10853149.0
2016-12-02 00:00:00+0000,68.37,68.68,68.14,68.41,7442076.0
2016-12-05 00:00:00+0000,68.69,68.79,68.07,68.29,5461252.0
2016-12-06 00:00:00+0000,68.49,68.5,68.09,68.48,5213547.0
2016-12-07 00:00:00+0000,67.94,67.94,66.97,67.89,12085809.0
2016-12-08 00:00:00+0000,67.68,68.09,67.29,68.02,7208535.0
2016-12-09 00:00:00+0000,68.26,68.98,68.26,68.85,11554399.0
2016-12-12 00:00:00+0000,68.72,69.28,68.72,69.18,10981461.0
2016-12-13 00:00:00+0000,69.43,69.84,69.23,69.74,9993071.0
2016-12-14 00:00:00+0000,69.73,70.1,69.14,69.38,11003725.0
2016-12-15 00:00:00+0000,69.66,69.9,69.4,69.83,7688793.0
2016-12-16 00:00:00+0000,69.68,69.87,69.38,69.58,7593029.0
2016-12-19 00:00:00+0000,69.63,69.94,69.2,69.29,7120020.0
2016-12-20 00:00:00+0000,69.32,69.48,69.08,69.24,4593779.0
2016-12-21 00:00:00+0000,69.28,69.31,68.73,68.85,5103473.0
2016-12-22 00:00:00+0000,68.63,68.96,68.48,68.94,4130201.0
2016-12-23 00:00:00+0000,68.96,69.5,68.96,69.46,3966624.0
2016-12-27 00:00:00+0000,69.55,70.0,69.53,69.6,8304922.0
2016-12-28 00:00:00+0000,69.67,69.75,69.06,69.07,4086387.0
2016-12-29 00:00:00+0000,69.11,69.41,69.07,69.19,4740078.0
2016-12-30 00:00:00+0000,69.11,69.27,68.72,68.94,6119593.0
2017-01-03 00:00:00+0000,69.31,69.86,69.22,69.84,9579287.0
2017-01-04 00:00:00+0000,69.95,70.58,69.95,70.39,7875489.0
2017-01-05 00:00:00+0000,70.33,70.77,70.27,70.75,5529589.0
2017-01-06 00:00:00+0000,70.77,71.15,70.51,70.95,5298525.0
2017-01-09 00:00:00+0000,70.95,71.37,70.82,71.25,5224862.0
2017-01-10 00:00:00+0000,71.37,71.91,71.21,71.5,8428365.0
2017-01-11 00:00:00+0000,71.59,71.84,70.05,70.78,22950112.0
2017-01-12 00:00:00+0000,70.43,70.89,70.26,70.85,8852148.0
2017-01-13 00:00:00+0000,70.97,71.16,70.75,70.92,4890345.0
2017-01-17 00:00:00+0000,70.48,70.68,69.98,70.56,5745073.0
2017-01-18 00:00:00+0000,70.7,70.86,70.33,70.47,5758203.0
2017-01-19 00:00:00+0000,70.45,70.61,69.91,70.02,5952845.0
2017-01-20 00:00:00+0000,70.02,70.37,69.78,69.84,6601434.0
2017-01-23 00:00:00+0000,69.94,70.0,69.29,69.55,9552700.0
2017-01-24 00:00:00+0000,69.48,69.53,68.75,69.07,8270300.0
2017-01-25 00:00:00+0000,69.13,69.75,69.09,69.72,6169032.0
2017-01-26 00:00:00+0000,69.57,69.77,69.17,69.18,6220133.0
2017-01-27 00:00:00+0000,69.34,69.8,69.32,69.75,6258801.0
2017-01-30 00:00:00+0000,69.58,69.72,69.12,69.41,6167783.0
2017-01-31 00:00:00+0000,69.04,70.52,68.99,70.52,12154682.0
2017-02-01 00:00:00+0000,70.43,71.13,70.38,71.13,12247447.0
2017-02-02 00:00:00+0000,70.95,71.15,70.55,71.11,9995383.0
2017-02-03 00:00:00+0000,71.34,71.49,71.0,71.42,9683249.0
2017-02-06 00:00:00+0000,71.29,71.5,71.15,71.5,7588147.0
2017-02-07 00:00:00+0000,71.55,71.83,71.33,71.57,8596962.0
2017-02-08 00:00:00+0000,71.19,71.54,70.99,71.46,5434873.0
2017-02-09 00:00:00+0000,71.45,71.93,71.39,71.72,7507548.0
2017-02-10 00:00:00+0000,71.83,72.02,71.66,71.86,4013635.0
2017-02-13 00:00:00+0000,71.93,72.34,71.93,72.3,4630775.0
2017-02-14 00:00:00+0000,72.22,72.87,72.16,72.87,8894092.0
2017-02-15 00:00:00+0000,72.71,73.8,72.64,73.66,8337545.0
2017-02-16 00:00:00+0000,73.68,73.75,73.06,73.56,9637298.0
2017-02-17 00:00:00+0000,73.28,73.7,73.28,73.66,9076753.0
2017-02-21 00:00:00+0000,73.65,74.23,73.65,73.99,10105189.0
2017-02-22 00:00:00+0000,73.9,74.14,73.81,73.88,6037083.0
2017-02-23 00:00:00+0000,73.96,74.55,73.87,74.42,7746249.0
2017-02-24 00:00:00+0000,74.27,74.82,74.27,74.78,8075565.0
2017-02-27 00:00:00+0000,74.83,75.18,74.67,75.14,6776954.0
2017-02-28 00:00:00+0000,74.93,75.23,74.77,74.99,9373010.0
2017-03-01 00:00:00+0000,75.44,75.93,75.22,75.74,12478546.0
2017-03-02 00:00:00+0000,75.62,75.89,75.49,75.5,6982164.0
2017-03-03 00:00:00+0000,75.39,75.86,75.36,75.8,5992395.0
