date,side,entry_time,exit_time,entry,exit,pts,r_mult,tom,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,72.78,72.83,0.04999999999999716,2.499999999999858,True,2.999999999999716,tom_only
2016-09-29,1,2016-09-28,2016-09-29,72.67,72.55999999999999,-0.11000000000001364,-5.500000000000682,True,-13.000000000001364,tom_only
2016-10-03,1,2016-09-30,2016-10-03,72.12,71.78,-0.3400000000000034,-17.00000000000017,True,-36.00000000000034,tom_only
2016-10-04,1,2016-10-03,2016-10-04,72.06,71.82,-0.2400000000000091,-12.000000000000455,True,-26.00000000000091,tom_only
2016-10-05,1,2016-10-04,2016-10-05,71.92,72.08999999999999,0.1699999999999875,8.499999999999375,True,14.99999999999875,tom_only
2016-11-01,1,2016-10-31,2016-11-01,67.37,67.39,0.01999999999999602,0.999999999999801,True,-3.979039320256561e-13,tom_only
2016-11-02,1,2016-11-01,2016-11-02,67.01,66.86999999999999,-0.14000000000001478,-7.000000000000739,True,-16.000000000001478,tom_only
2016-11-03,1,2016-11-02,2016-11-03,66.66000000000001,66.86,0.19999999999998863,9.999999999999432,True,17.999999999998863,tom_only
2016-12-01,1,2016-11-30,2016-12-01,68.76,68.82,0.05999999999998806,2.999999999999403,True,3.9999999999988063,tom_only
2016-12-02,1,2016-12-01,2016-12-02,68.26,68.36,0.09999999999999432,4.999999999999716,True,7.999999999999432,tom_only
2016-12-05,1,2016-12-02,2016-12-05,68.42,68.67999999999999,0.2599999999999909,12.999999999999545,True,23.99999999999909,tom_only
2017-01-03,1,2016-12-30,2017-01-03,68.95,69.3,0.3499999999999943,17.499999999999716,True,32.99999999999943,tom_only
2017-01-04,1,2017-01-03,2017-01-04,69.85000000000001,69.94,0.0899999999999892,4.49999999999946,True,6.99999999999892,tom_only
2017-01-05,1,2017-01-04,2017-01-05,70.4,70.32,-0.0800000000000125,-4.000000000000625,True,-10.00000000000125,tom_only
2017-02-01,1,2017-01-31,2017-02-01,70.53,70.42,-0.10999999999999943,-5.499999999999972,True,-12.999999999999943,tom_only
2017-02-02,1,2017-02-01,2017-02-02,71.14,70.94,-0.20000000000000284,-10.000000000000142,True,-22.000000000000284,tom_only
2017-02-03,1,2017-02-02,2017-02-03,71.12,71.33,0.20999999999999375,10.499999999999687,True,18.999999999999375,tom_only
2017-03-01,1,2017-02-28,2017-03-01,75.0,75.42999999999999,0.4299999999999926,21.49999999999963,True,40.99999999999926,tom_only
2017-03-02,1,2017-03-01,2017-03-02,75.75,75.61,-0.14000000000000057,-7.000000000000028,True,-16.000000000000057,tom_only
2017-03-03,1,2017-03-02,2017-03-03,75.51,75.38,-0.13000000000000966,-6.500000000000483,True,-15.000000000000966,tom_only
2017-04-03,1,2017-03-31,2017-04-03,74.37,74.42999999999999,0.05999999999998806,2.999999999999403,True,3.9999999999988063,tom_only
2017-04-04,1,2017-04-03,2017-04-04,74.43,74.39,-0.04000000000000625,-2.0000000000003126,True,-6.000000000000625,tom_only
2017-04-05,1,2017-04-04,2017-04-05,74.39,74.47,0.0799999999999983,3.9999999999999147,True,5.9999999999998295,tom_only
2017-05-01,1,2017-04-28,2017-05-01,75.51,75.61999999999999,0.10999999999998522,5.499999999999261,True,8.999999999998522,tom_only
2017-05-02,1,2017-05-01,2017-05-02,75.68,75.72999999999999,0.04999999999998295,2.4999999999991473,True,2.9999999999982947,tom_only
2017-05-03,1,2017-05-02,2017-05-03,75.89,75.64,-0.25,-12.5,True,-27.0,tom_only
2017-06-01,1,2017-05-31,2017-06-01,76.09,76.19999999999999,0.10999999999998522,5.499999999999261,True,8.999999999998522,tom_only
2017-06-02,1,2017-06-01,2017-06-02,76.93,77.13,0.19999999999998863,9.999999999999432,True,17.999999999998863,tom_only
2017-06-05,1,2017-06-02,2017-06-05,77.43,77.41,-0.020000000000010232,-1.0000000000005116,True,-4.000000000001023,tom_only
2017-07-03,1,2017-06-30,2017-07-03,79.25,79.5,0.25,12.5,True,23.0,tom_only
2017-07-05,1,2017-07-03,2017-07-05,79.39,79.47999999999999,0.0899999999999892,4.49999999999946,True,6.99999999999892,tom_only
