date,side,entry_time,exit_time,entry,exit,pts,r_mult,tom,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,83.25,83.44999999999999,0.19999999999998863,9.999999999999432,True,17.999999999998863,tom_only
2016-09-29,1,2016-09-28,2016-09-29,86.91000000000001,86.91,-1.4210854715202004e-14,-7.105427357601002e-13,True,-2.000000000001421,tom_only
2016-10-03,1,2016-09-30,2016-10-03,87.29,86.92999999999999,-0.36000000000001364,-18.000000000000682,True,-38.000000000001364,tom_only
2016-10-04,1,2016-10-03,2016-10-04,87.06,87.36999999999999,0.30999999999998806,15.499999999999403,True,28.999999999998806,tom_only
2016-10-05,1,2016-10-04,2016-10-05,86.26,86.82,0.5599999999999881,27.999999999999403,True,53.999999999998806,tom_only
2016-11-01,1,2016-10-31,2016-11-01,83.33,83.49,0.1599999999999966,7.9999999999998295,True,13.999999999999659,tom_only
2016-11-02,1,2016-11-01,2016-11-02,83.66000000000001,83.28999999999999,-0.37000000000001876,-18.500000000000938,True,-39.000000000001876,tom_only
2016-11-03,1,2016-11-02,2016-11-03,83.46000000000001,83.67,0.20999999999999375,10.499999999999687,True,18.999999999999375,tom_only
2016-12-01,1,2016-11-30,2016-12-01,87.31,87.97,0.6599999999999966,32.99999999999983,True,63.99999999999966,tom_only
2016-12-02,1,2016-12-01,2016-12-02,87.25,87.14,-0.10999999999999943,-5.499999999999972,True,-12.999999999999943,tom_only
2016-12-05,1,2016-12-02,2016-12-05,87.05000000000001,87.38,0.3299999999999841,16.499999999999204,True,30.99999999999841,tom_only
2017-01-03,1,2016-12-30,2017-01-03,90.27000000000001,90.92999999999999,0.6599999999999824,32.99999999999912,True,63.99999999999824,tom_only
2017-01-04,1,2017-01-03,2017-01-04,90.9,91.16,0.2599999999999909,12.999999999999545,True,23.99999999999909,tom_only
2017-01-05,1,2017-01-04,2017-01-05,89.9,90.17999999999999,0.2799999999999869,13.999999999999346,True,25.999999999998693,tom_only
2017-02-01,1,2017-01-31,2017-02-01,83.9,83.99,0.0899999999999892,4.49999999999946,True,6.99999999999892,tom_only
2017-02-02,1,2017-02-01,2017-02-02,82.95,83.19999999999999,0.2499999999999858,12.49999999999929,True,22.99999999999858,tom_only
2017-02-03,1,2017-02-02,2017-02-03,83.46000000000001,83.53999999999999,0.07999999999998408,3.999999999999204,True,5.999999999998408,tom_only
2017-03-01,1,2017-02-28,2017-03-01,81.33,81.69,0.35999999999999943,17.99999999999997,True,33.99999999999994,tom_only
2017-03-02,1,2017-03-01,2017-03-02,83.03,82.78999999999999,-0.2400000000000091,-12.000000000000455,True,-26.00000000000091,tom_only
2017-03-03,1,2017-03-02,2017-03-03,83.31,83.52,0.20999999999999375,10.499999999999687,True,18.999999999999375,tom_only
2017-04-03,1,2017-03-31,2017-04-03,82.02000000000001,81.94,-0.0800000000000125,-4.000000000000625,True,-10.00000000000125,tom_only
2017-04-04,1,2017-04-03,2017-04-04,82.08,82.08999999999999,0.009999999999990905,0.49999999999954525,True,-1.0000000000009095,tom_only
2017-04-05,1,2017-04-04,2017-04-05,82.38000000000001,82.83999999999999,0.45999999999997954,22.999999999998977,True,43.999999999997954,tom_only
2017-05-01,1,2017-04-28,2017-05-01,81.66000000000001,81.5,-0.1600000000000108,-8.00000000000054,True,-18.00000000000108,tom_only
2017-05-02,1,2017-05-01,2017-05-02,82.07000000000001,82.19,0.11999999999999034,5.999999999999517,True,9.999999999999034,tom_only
2017-05-03,1,2017-05-02,2017-05-03,82.06,81.96,-0.10000000000000853,-5.000000000000426,True,-12.000000000000853,tom_only
2017-06-01,1,2017-05-31,2017-06-01,80.51,80.36,-0.15000000000000568,-7.500000000000284,True,-17.00000000000057,tom_only
2017-06-02,1,2017-06-01,2017-06-02,80.71000000000001,80.5,-0.21000000000000796,-10.500000000000398,True,-23.000000000000796,tom_only
2017-06-05,1,2017-06-02,2017-06-05,79.51,79.42999999999999,-0.0800000000000125,-4.000000000000625,True,-10.00000000000125,tom_only
2017-07-03,1,2017-06-30,2017-07-03,80.74000000000001,80.78,0.03999999999999204,1.999999999999602,True,1.9999999999992042,tom_only
2017-07-05,1,2017-07-03,2017-07-05,82.11,81.6,-0.5100000000000051,-25.500000000000256,True,-53.00000000000051,tom_only
2017-07-06,1,2017-07-05,2017-07-06,80.86,80.85,-0.010000000000005116,-0.5000000000002558,True,-3.0000000000005116,tom_only
2017-08-01,1,2017-07-31,2017-08-01,80.05000000000001,80.14999999999999,0.0999999999999801,4.999999999999005,True,7.9999999999980105,tom_only
2017-08-02,1,2017-08-01,2017-08-02,80.18,79.89,-0.29000000000000625,-14.500000000000313,True,-31.000000000000625,tom_only
2017-08-03,1,2017-08-02,2017-08-03,80.61,80.33,-0.28000000000000114,-14.000000000000057,True,-30.000000000000114,tom_only
2017-09-01,1,2017-08-31,2017-09-01,76.34,76.36,0.01999999999999602,0.999999999999801,True,-3.979039320256561e-13,tom_only
2017-09-05,1,2017-09-01,2017-09-05,76.58,76.63,0.04999999999999716,2.499999999999858,True,2.999999999999716,tom_only
2017-09-06,1,2017-09-05,2017-09-06,77.19000000000001,77.89999999999999,0.7099999999999795,35.49999999999898,True,68.99999999999795,tom_only
2017-10-02,1,2017-09-29,2017-10-02,81.99000000000001,81.28999999999999,-0.700000000000017,-35.00000000000085,True,-72.0000000000017,tom_only
2017-10-03,1,2017-10-02,2017-10-03,81.64,81.39999999999999,-0.2400000000000091,-12.000000000000455,True,-26.00000000000091,tom_only
2017-10-04,1,2017-10-03,2017-10-04,81.77000000000001,81.78999999999999,0.01999999999998181,0.9999999999990905,True,-1.8189894035458565e-12,tom_only
2017-11-01,1,2017-10-31,2017-11-01,83.36,83.38,0.01999999999999602,0.999999999999801,True,-3.979039320256561e-13,tom_only
2017-11-02,1,2017-11-01,2017-11-02,83.88000000000001,83.58999999999999,-0.29000000000002046,-14.500000000001023,True,-31.000000000002046,tom_only
2017-11-03,1,2017-11-02,2017-11-03,83.54,83.41,-0.13000000000000966,-6.500000000000483,True,-15.000000000000966,tom_only
2017-12-01,1,2017-11-30,2017-12-01,83.30000000000001,83.42999999999999,0.12999999999998124,6.499999999999062,True,10.999999999998124,tom_only
2017-12-04,1,2017-12-01,2017-12-04,83.47,83.19999999999999,-0.27000000000001023,-13.500000000000512,True,-29.000000000001023,tom_only
2017-12-05,1,2017-12-04,2017-12-05,83.58,83.49,-0.09000000000000341,-4.5000000000001705,True,-11.000000000000341,tom_only
2018-01-02,1,2017-12-29,2018-01-02,83.65,83.80999999999999,0.15999999999998238,7.999999999999119,True,13.999999999998238,tom_only
2018-01-03,1,2018-01-02,2018-01-03,85.04,85.14999999999999,0.10999999999998522,5.499999999999261,True,8.999999999998522,tom_only
2018-01-04,1,2018-01-03,2018-01-04,86.71000000000001,86.77,0.05999999999998806,2.999999999999403,True,3.9999999999988063,tom_only
2018-02-01,1,2018-01-31,2018-02-01,87.31,87.49,0.1799999999999926,8.99999999999963,True,15.999999999999261,tom_only
2018-02-02,1,2018-02-01,2018-02-02,89.08,85.11999999999999,-3.960000000000008,-198.0000000000004,True,-398.0000000000008,tom_only
2018-02-05,1,2018-02-02,2018-02-05,84.54,83.27,-1.2700000000000102,-63.50000000000051,True,-129.00000000000102,tom_only
2018-03-01,1,2018-02-28,2018-03-01,75.75,75.78,0.030000000000001137,1.5000000000000568,True,1.0000000000001137,tom_only
2018-03-02,1,2018-03-01,2018-03-02,75.21000000000001,74.88,-0.3300000000000125,-16.500000000000625,True,-35.00000000000125,tom_only
2018-03-05,1,2018-03-02,2018-03-05,75.56,75.22,-0.3400000000000034,-17.00000000000017,True,-36.00000000000034,tom_only
2018-04-02,1,2018-03-29,2018-04-02,74.62,74.25999999999999,-0.36000000000001364,-18.000000000000682,True,-38.000000000001364,tom_only
2018-04-03,1,2018-04-02,2018-04-03,73.23,73.44,0.20999999999999375,10.499999999999687,True,18.999999999999375,tom_only
2018-04-04,1,2018-04-03,2018-04-04,75.03,74.03999999999999,-0.9900000000000091,-49.500000000000455,True,-101.00000000000091,tom_only
2018-05-01,1,2018-04-30,2018-05-01,77.76,77.25,-0.5100000000000051,-25.500000000000256,True,-53.00000000000051,tom_only
2018-05-02,1,2018-05-01,2018-05-02,76.96000000000001,76.44,-0.5200000000000102,-26.00000000000051,True,-54.00000000000102,tom_only
2018-05-03,1,2018-05-02,2018-05-03,76.81,76.38,-0.4300000000000068,-21.50000000000034,True,-45.00000000000068,tom_only
2018-06-01,1,2018-05-31,2018-06-01,81.25,81.86,0.6099999999999994,30.49999999999997,True,58.99999999999994,tom_only
2018-06-04,1,2018-06-01,2018-06-04,81.84,82.03999999999999,0.19999999999998863,9.999999999999432,True,17.999999999998863,tom_only
2018-06-05,1,2018-06-04,2018-06-05,80.98,80.58,-0.4000000000000057,-20.000000000000284,True,-42.00000000000057,tom_only
2018-07-02,1,2018-06-29,2018-07-02,82.74000000000001,81.88,-0.8600000000000136,-43.00000000000068,True,-88.00000000000136,tom_only
2018-07-03,1,2018-07-02,2018-07-03,81.77000000000001,82.57,0.799999999999983,39.99999999999915,True,77.9999999999983,tom_only
2018-07-05,1,2018-07-03,2018-07-05,82.25,82.58,0.3299999999999983,16.499999999999915,True,30.99999999999983,tom_only
2018-08-01,1,2018-07-31,2018-08-01,81.52000000000001,80.88,-0.6400000000000148,-32.00000000000074,True,-66.00000000000148,tom_only
2018-08-02,1,2018-08-01,2018-08-02,80.4,79.88,-0.5200000000000102,-26.00000000000051,True,-54.00000000000102,tom_only
2018-08-03,1,2018-08-02,2018-08-03,79.92,79.96,0.03999999999999204,1.999999999999602,True,1.9999999999992042,tom_only
2018-09-04,1,2018-08-31,2018-09-04,80.18,80.36,0.1799999999999926,8.99999999999963,True,15.999999999999261,tom_only
2018-09-05,1,2018-09-04,2018-09-05,80.30000000000001,79.89,-0.4100000000000108,-20.50000000000054,True,-43.00000000000108,tom_only
2018-09-06,1,2018-09-05,2018-09-06,81.37,81.1,-0.27000000000001023,-13.500000000000512,True,-29.000000000001023,tom_only
2018-10-01,1,2018-09-28,2018-10-01,85.03,85.33999999999999,0.30999999999998806,15.499999999999403,True,28.999999999998806,tom_only
2018-10-02,1,2018-10-01,2018-10-02,85.82000000000001,85.78999999999999,-0.030000000000015348,-1.5000000000007674,True,-5.000000000001535,tom_only
2018-10-03,1,2018-10-02,2018-10-03,86.47,86.52,0.04999999999999716,2.499999999999858,True,2.999999999999716,tom_only
2018-11-01,1,2018-10-31,2018-11-01,79.69000000000001,79.82,0.12999999999998124,6.499999999999062,True,10.999999999998124,tom_only
2018-11-02,1,2018-11-01,2018-11-02,80.68,81.75,1.0699999999999932,53.49999999999966,True,104.99999999999932,tom_only
2018-11-05,1,2018-11-02,2018-11-05,81.96000000000001,82.49,0.5299999999999869,26.499999999999346,True,50.99999999999869,tom_only
2018-12-03,1,2018-11-30,2018-12-03,79.51,80.22999999999999,0.7199999999999847,35.99999999999923,True,69.99999999999847,tom_only
2018-12-04,1,2018-12-03,2018-12-04,81.23,81.36999999999999,0.13999999999998636,6.999999999999318,True,11.999999999998636,tom_only
2018-12-06,1,2018-12-04,2018-12-06,79.44000000000001,77.99,-1.450000000000017,-72.50000000000085,True,-147.0000000000017,tom_only
2019-01-02,1,2018-12-31,2019-01-02,68.2,67.33999999999999,-0.8600000000000136,-43.00000000000068,True,-88.00000000000136,tom_only
2019-01-03,1,2019-01-02,2019-01-03,69.7,69.99,0.28999999999999204,14.499999999999602,True,26.999999999999204,tom_only
2019-01-04,1,2019-01-03,2019-01-04,68.63000000000001,69.63,0.9999999999999858,49.99999999999929,True,97.99999999999858,tom_only
2019-02-01,1,2019-01-31,2019-02-01,73.29,74.91,1.6199999999999903,80.99999999999952,True,159.99999999999903,tom_only
2019-02-04,1,2019-02-01,2019-02-04,75.93,75.75,-0.18000000000000682,-9.000000000000341,True,-20.000000000000682,tom_only
2019-02-05,1,2019-02-04,2019-02-05,74.83,75.17,0.3400000000000034,17.00000000000017,True,32.00000000000034,tom_only
2019-03-01,1,2019-02-28,2019-03-01,79.04,79.36999999999999,0.3299999999999841,16.499999999999204,True,30.99999999999841,tom_only
2019-03-04,1,2019-03-01,2019-03-04,80.01,80.22999999999999,0.21999999999998465,10.999999999999233,True,19.999999999998465,tom_only
2019-03-05,1,2019-03-04,2019-03-05,80.32000000000001,80.1,-0.22000000000001307,-11.000000000000654,True,-24.000000000001307,tom_only
2019-04-01,1,2019-03-29,2019-04-01,80.81,81.22,0.4099999999999966,20.49999999999983,True,38.99999999999966,tom_only
2019-04-02,1,2019-04-01,2019-04-02,81.74000000000001,81.74,-1.4210854715202004e-14,-7.105427357601002e-13,True,-2.000000000001421,tom_only
2019-04-03,1,2019-04-02,2019-04-03,81.39,81.75999999999999,0.36999999999999034,18.499999999999517,True,34.999999999999034,tom_only
2019-05-01,1,2019-04-30,2019-05-01,80.29,79.92999999999999,-0.36000000000001364,-18.000000000000682,True,-38.000000000001364,tom_only
2019-05-02,1,2019-05-01,2019-05-02,78.68,78.27,-0.4100000000000108,-20.50000000000054,True,-43.00000000000108,tom_only
2019-05-03,1,2019-05-02,2019-05-03,77.30000000000001,77.78,0.47999999999998977,23.99999999999949,True,45.99999999999898,tom_only
2019-06-03,1,2019-05-31,2019-06-03,70.78,71.08,0.29999999999999716,14.999999999999858,True,27.999999999999716,tom_only
2019-06-04,1,2019-06-03,2019-06-04,71.89,72.44,0.5499999999999972,27.499999999999858,True,52.999999999999716,tom_only
2019-06-05,1,2019-06-04,2019-06-05,73.60000000000001,73.63,0.029999999999986926,1.4999999999993463,True,0.9999999999986926,tom_only
2019-07-01,1,2019-06-28,2019-07-01,76.64,77.05999999999999,0.4199999999999875,20.999999999999375,True,39.99999999999875,tom_only
2019-07-02,1,2019-07-01,2019-07-02,76.57000000000001,76.13,-0.44000000000001194,-22.000000000000597,True,-46.000000000001194,tom_only
2019-07-03,1,2019-07-02,2019-07-03,75.73,75.80999999999999,0.07999999999998408,3.999999999999204,True,5.999999999998408,tom_only
2019-08-01,1,2019-07-31,2019-08-01,74.37,73.69,-0.6800000000000068,-34.00000000000034,True,-70.00000000000068,tom_only
2019-08-02,1,2019-08-01,2019-08-02,72.47,72.6,0.12999999999999545,6.499999999999773,True,10.999999999999545,tom_only
2019-08-05,1,2019-08-02,2019-08-05,71.76,70.77,-0.9900000000000091,-49.500000000000455,True,-101.00000000000091,tom_only
2019-09-03,1,2019-08-30,2019-09-03,68.49000000000001,67.88,-0.6100000000000136,-30.500000000000682,True,-63.000000000001364,tom_only
2019-09-04,1,2019-09-03,2019-09-04,68.57000000000001,69.49,0.9199999999999875,45.999999999999375,True,89.99999999999875,tom_only
2019-09-05,1,2019-09-04,2019-09-05,69.30000000000001,69.83,0.5299999999999869,26.499999999999346,True,50.99999999999869,tom_only
2019-10-01,1,2019-09-30,2019-10-01,70.62,70.82,0.19999999999998863,9.999999999999432,True,17.999999999998863,tom_only
2019-10-02,1,2019-10-01,2019-10-02,68.96000000000001,68.25999999999999,-0.700000000000017,-35.00000000000085,True,-72.0000000000017,tom_only
2019-10-03,1,2019-10-02,2019-10-03,67.16000000000001,66.99,-0.17000000000001592,-8.500000000000796,True,-19.00000000000159,tom_only
2019-11-01,1,2019-10-31,2019-11-01,67.58,68.39,0.8100000000000023,40.500000000000114,True,79.00000000000023,tom_only
