sector,pair,p_value_train,p_value_adj_bh,half_life_train,tradable,sharpe_test,cagr_test,max_dd_test,n_trades_test
health_care_equipment,ABT/BAX,0.4144,0.966,40.4,False,,,,
health_care_equipment,ABT/BDX,0.1534,0.966,20.5,False,,,,
health_care_equipment,ABT/BSX,0.2738,0.966,32.7,False,,,,
health_care_equipment,ABT/DXCM,0.597,0.966,53.1,False,,,,
health_care_equipment,ABT/EW,0.8535,0.966,114.7,False,,,,
health_care_equipment,BAX/BDX,0.6364,0.966,51.2,False,,,,
health_care_equipment,BAX/BSX,0.6457,0.966,52.9,False,,,,
health_care_equipment,BAX/DXCM,0.705,0.966,60.1,False,,,,
health_care_equipment,BAX/EW,0.9007,0.966,128.2,False,,,,
health_care_equipment,BDX/BSX,0.3878,0.966,30.6,False,,,,
health_care_equipment,BDX/DXCM,0.6237,0.966,53.9,False,,,,
health_care_equipment,BDX/EW,0.7221,0.966,58.9,False,,,,
health_care_equipment,BSX/DXCM,0.5746,0.966,60.8,False,,,,
health_care_equipment,BSX/EW,0.7991,0.966,187.8,False,,,,
health_care_equipment,DXCM/EW,0.5566,0.966,19.8,False,,,,
semiconductors,AMD/ADI,0.8083,0.966,93.6,False,,,,
semiconductors,AMD/AVGO,0.8081,0.966,74.3,False,,,,
semiconductors,AMD/FSLR,0.5606,0.966,35.6,False,,,,
semiconductors,AMD/INTC,0.7439,0.966,59.7,False,,,,
semiconductors,AMD/MRVL,0.8755,0.966,94.0,False,,,,
semiconductors,ADI/AVGO,0.0687,0.966,17.1,False,,,,
semiconductors,ADI/FSLR,0.2171,0.966,23.9,False,,,,
semiconductors,ADI/INTC,0.1386,0.966,22.5,False,,,,
semiconductors,ADI/MRVL,0.4737,0.966,38.4,False,,,,
semiconductors,AVGO/FSLR,0.9869,0.9933,173.0,False,,,,
semiconductors,AVGO/INTC,0.9903,0.9933,138.5,False,,,,
semiconductors,AVGO/MRVL,0.9895,0.9933,188.0,False,,,,
semiconductors,FSLR/INTC,0.5647,0.966,43.4,False,,,,
semiconductors,FSLR/MRVL,0.5465,0.966,41.3,False,,,,
semiconductors,INTC/MRVL,0.6988,0.966,49.4,False,,,,
electric_utilities,LNT/AEP,0.1241,0.966,28.3,False,,,,
electric_utilities,LNT/CEG,0.1244,0.966,27.8,False,,,,
electric_utilities,LNT/DUK,0.0653,0.966,24.8,False,,,,
electric_utilities,LNT/EIX,0.9137,0.966,132.4,False,,,,
electric_utilities,LNT/ETR,0.1198,0.966,20.7,False,,,,
electric_utilities,AEP/CEG,0.0975,0.966,21.8,False,,,,
electric_utilities,AEP/DUK,0.0015,0.342,12.7,False,,,,
electric_utilities,AEP/EIX,0.9147,0.966,140.3,False,,,,
electric_utilities,AEP/ETR,0.5786,0.966,34.1,False,,,,
electric_utilities,CEG/DUK,0.0538,0.966,22.9,False,,,,
electric_utilities,CEG/EIX,0.8528,0.966,110.6,False,,,,
electric_utilities,CEG/ETR,0.1234,0.966,33.8,False,,,,
electric_utilities,DUK/EIX,0.8963,0.966,146.5,False,,,,
electric_utilities,DUK/ETR,0.3642,0.966,36.9,False,,,,
electric_utilities,EIX/ETR,0.7625,0.966,76.0,False,,,,
application_software,ADBE/ADSK,0.3689,0.966,36.7,False,,,,
application_software,ADBE/CDNS,0.4104,0.966,37.7,False,,,,
application_software,ADBE/DDOG,0.7309,0.966,83.3,False,,,,
application_software,ADBE/FICO,0.8073,0.966,89.1,False,,,,
application_software,ADBE/INTU,0.548,0.966,44.9,False,,,,
application_software,ADSK/CDNS,0.5552,0.966,51.8,False,,,,
application_software,ADSK/DDOG,0.4128,0.966,40.3,False,,,,
application_software,ADSK/FICO,0.6319,0.966,42.7,False,,,,
application_software,ADSK/INTU,0.6588,0.966,50.7,False,,,,
application_software,CDNS/DDOG,0.0771,0.966,17.3,False,,,,
application_software,CDNS/FICO,0.3594,0.966,32.3,False,,,,
application_software,CDNS/INTU,0.1518,0.966,20.9,False,,,,
application_software,DDOG/FICO,0.5706,0.966,41.9,False,,,,
application_software,DDOG/INTU,0.5526,0.966,30.3,False,,,,
application_software,FICO/INTU,0.674,0.966,75.6,False,,,,
industrial_machinery_and_supplies_and_components,DOV/FTV,0.4379,0.966,72.0,False,,,,
industrial_machinery_and_supplies_and_components,DOV/HUBB,0.4998,0.966,33.7,False,,,,
industrial_machinery_and_supplies_and_components,DOV/IEX,0.5118,0.966,66.7,False,,,,
industrial_machinery_and_supplies_and_components,DOV/ITW,0.7583,0.966,62.2,False,,,,
industrial_machinery_and_supplies_and_components,DOV/IR,0.5528,0.966,43.6,False,,,,
industrial_machinery_and_supplies_and_components,FTV/HUBB,0.592,0.966,44.9,False,,,,
industrial_machinery_and_supplies_and_components,FTV/IEX,0.0807,0.966,18.6,False,,,,
industrial_machinery_and_supplies_and_components,FTV/ITW,0.609,0.966,48.2,False,,,,
industrial_machinery_and_supplies_and_components,FTV/IR,0.3689,0.966,37.3,False,,,,
industrial_machinery_and_supplies_and_components,HUBB/IEX,0.804,0.966,67.6,False,,,,
industrial_machinery_and_supplies_and_components,HUBB/ITW,0.1871,0.966,25.0,False,,,,
industrial_machinery_and_supplies_and_components,HUBB/IR,0.9045,0.966,65.7,False,,,,
industrial_machinery_and_supplies_and_components,IEX/ITW,0.8694,0.966,105.8,False,,,,
industrial_machinery_and_supplies_and_components,IEX/IR,0.8695,0.966,78.1,False,,,,
industrial_machinery_and_supplies_and_components,ITW/IR,0.5178,0.966,28.1,False,,,,
aerospace_and_defense,AXON/BA,0.9003,0.966,252.9,False,,,,
aerospace_and_defense,AXON/GE,0.7506,0.966,47.0,False,,,,
aerospace_and_defense,AXON/GD,0.8209,0.966,119.6,False,,,,
aerospace_and_defense,AXON/HWM,0.1191,0.966,24.1,False,,,,
aerospace_and_defense,BA/GE,0.666,0.966,58.9,False,,,,
aerospace_and_defense,BA/GD,0.696,0.966,58.8,False,,,,
aerospace_and_defense,BA/HWM,0.6518,0.966,58.5,False,,,,
aerospace_and_defense,GE/GD,0.5932,0.966,47.4,False,,,,
aerospace_and_defense,GE/HWM,0.668,0.966,24.7,False,,,,
aerospace_and_defense,GD/HWM,0.4532,0.966,43.8,False,,,,
multi-utilities,AEE/CNP,0.716,0.966,75.8,False,,,,
multi-utilities,AEE/CMS,0.5816,0.966,63.4,False,,,,
multi-utilities,AEE/ED,0.86,0.966,90.5,False,,,,
multi-utilities,AEE/D,0.7192,0.966,77.5,False,,,,
multi-utilities,AEE/DTE,0.4349,0.966,60.6,False,,,,
multi-utilities,CNP/CMS,0.8752,0.966,112.8,False,,,,
multi-utilities,CNP/ED,0.7293,0.966,129.6,False,,,,
multi-utilities,CNP/D,0.8339,0.966,97.7,False,,,,
multi-utilities,CNP/DTE,0.6907,0.966,68.0,False,,,,
multi-utilities,CMS/ED,0.4245,0.966,38.5,False,,,,
multi-utilities,CMS/D,0.165,0.966,20.7,False,,,,
multi-utilities,CMS/DTE,0.3224,0.966,22.0,False,,,,
multi-utilities,ED/D,0.5337,0.966,40.7,False,,,,
multi-utilities,ED/DTE,0.353,0.966,29.8,False,,,,
multi-utilities,D/DTE,0.2404,0.966,24.5,False,,,,
asset_management_and_custody_banks,AMP/APO,0.045,0.966,13.0,False,,,,
asset_management_and_custody_banks,AMP/ARES,0.0896,0.966,16.1,False,,,,
asset_management_and_custody_banks,AMP/BLK,0.8994,0.966,57.1,False,,,,
asset_management_and_custody_banks,AMP/BX,0.258,0.966,27.9,False,,,,
asset_management_and_custody_banks,AMP/BNY,0.9104,0.966,69.1,False,,,,
asset_management_and_custody_banks,APO/ARES,0.3737,0.966,28.4,False,,,,
asset_management_and_custody_banks,APO/BLK,0.9209,0.9681,72.3,False,,,,
asset_management_and_custody_banks,APO/BX,0.5131,0.966,32.0,False,,,,
asset_management_and_custody_banks,APO/BNY,0.8912,0.966,68.1,False,,,,
asset_management_and_custody_banks,ARES/BLK,0.8981,0.966,42.6,False,,,,
asset_management_and_custody_banks,ARES/BX,0.3489,0.966,27.0,False,,,,
asset_management_and_custody_banks,ARES/BNY,0.8757,0.966,39.4,False,,,,
asset_management_and_custody_banks,BLK/BX,0.5822,0.966,30.5,False,,,,
asset_management_and_custody_banks,BLK/BNY,0.1741,0.966,22.5,False,,,,
asset_management_and_custody_banks,BX/BNY,0.6363,0.966,36.8,False,,,,
oil_and_gas_exploration_and_production,APA/COP,0.2294,0.966,35.9,False,,,,
oil_and_gas_exploration_and_production,APA/DVN,0.4796,0.966,60.3,False,,,,
oil_and_gas_exploration_and_production,APA/FANG,0.1818,0.966,75.3,False,,,,
oil_and_gas_exploration_and_production,APA/EOG,0.3988,0.966,83.5,False,,,,
oil_and_gas_exploration_and_production,APA/EQT,0.0801,0.966,23.2,False,,,,
oil_and_gas_exploration_and_production,COP/DVN,0.0341,0.966,14.9,False,,,,
oil_and_gas_exploration_and_production,COP/FANG,0.4301,0.966,47.5,False,,,,
oil_and_gas_exploration_and_production,COP/EOG,0.8336,0.966,100.3,False,,,,
oil_and_gas_exploration_and_production,COP/EQT,0.0051,0.5809,12.8,False,,,,
oil_and_gas_exploration_and_production,DVN/FANG,0.2242,0.966,62.0,False,,,,
oil_and_gas_exploration_and_production,DVN/EOG,0.8624,0.966,126.1,False,,,,
oil_and_gas_exploration_and_production,DVN/EQT,0.0104,0.7852,14.4,False,,,,
oil_and_gas_exploration_and_production,FANG/EOG,0.6474,0.966,69.2,False,,,,
oil_and_gas_exploration_and_production,FANG/EQT,0.1607,0.966,21.5,False,,,,
oil_and_gas_exploration_and_production,EOG/EQT,0.0169,0.9562,16.9,False,,,,
technology_hardware_storage_and_peripherals,AAPL/DELL,0.4674,0.966,54.2,False,,,,
technology_hardware_storage_and_peripherals,AAPL/HPE,0.11,0.966,23.4,False,,,,
